Start,1/1/1962
End,9/11/2009
Frequency,D
Name,MSCI EAFE U$ - TOT RETURN IND (~U$)
Code,MSEAFE$(RI)~U$
CURRENCY,U$
12/31/1969,100
1/1/1970,100
1/2/1970,100
1/5/1970,100
1/6/1970,100
1/7/1970,100
1/8/1970,100
1/9/1970,100
1/12/1970,100
1/13/1970,100
1/14/1970,100
1/15/1970,100
1/16/1970,100
1/19/1970,100
1/20/1970,100
1/21/1970,100
1/22/1970,100
1/23/1970,100
1/26/1970,100
1/27/1970,100
1/28/1970,100
1/29/1970,100
1/30/1970,98.92
2/2/1970,98.92
2/3/1970,98.92
2/4/1970,98.92
2/5/1970,98.92
2/6/1970,98.92
2/9/1970,98.92
2/10/1970,98.92
2/11/1970,98.92
2/12/1970,98.92
2/13/1970,98.92
2/16/1970,98.92
2/17/1970,98.92
2/18/1970,98.92
2/19/1970,98.92
2/20/1970,98.92
2/23/1970,98.92
2/24/1970,98.92
2/25/1970,98.92
2/26/1970,98.92
2/27/1970,96.682
3/2/1970,96.682
3/3/1970,96.682
3/4/1970,96.682
3/5/1970,96.682
3/6/1970,96.682
3/9/1970,96.682
3/10/1970,96.682
3/11/1970,96.682
3/12/1970,96.682
3/13/1970,96.682
3/16/1970,96.682
3/17/1970,96.682
3/18/1970,96.682
3/19/1970,96.682
3/20/1970,96.682
3/23/1970,96.682
3/24/1970,96.682
3/25/1970,96.682
3/26/1970,96.682
3/27/1970,96.682
3/30/1970,96.682
3/31/1970,98.234
4/1/1970,98.234
4/2/1970,98.234
4/3/1970,98.234
4/6/1970,98.234
4/7/1970,98.234
4/8/1970,98.234
4/9/1970,98.234
4/10/1970,98.234
4/13/1970,98.234
4/14/1970,98.234
4/15/1970,98.234
4/16/1970,98.234
4/17/1970,98.234
4/20/1970,98.234
4/21/1970,98.234
4/22/1970,98.234
4/23/1970,98.234
4/24/1970,98.234
4/27/1970,98.234
4/28/1970,98.234
4/29/1970,98.234
4/30/1970,90.098
5/1/1970,90.098
5/4/1970,90.098
5/5/1970,90.098
5/6/1970,90.098
5/7/1970,90.098
5/8/1970,90.098
5/11/1970,90.098
5/12/1970,90.098
5/13/1970,90.098
5/14/1970,90.098
5/15/1970,90.098
5/18/1970,90.098
5/19/1970,90.098
5/20/1970,90.098
5/21/1970,90.098
5/22/1970,90.098
5/25/1970,90.098
5/26/1970,90.098
5/27/1970,90.098
5/28/1970,90.098
5/29/1970,85.658
6/1/1970,85.658
6/2/1970,85.658
6/3/1970,85.658
6/4/1970,85.658
6/5/1970,85.658
6/8/1970,85.658
6/9/1970,85.658
6/10/1970,85.658
6/11/1970,85.658
6/12/1970,85.658
6/15/1970,85.658
6/16/1970,85.658
6/17/1970,85.658
6/18/1970,85.658
6/19/1970,85.658
6/22/1970,85.658
6/23/1970,85.658
6/24/1970,85.658
6/25/1970,85.658
6/26/1970,85.658
6/29/1970,85.658
6/30/1970,87.566
7/1/1970,87.566
7/2/1970,87.566
7/3/1970,87.566
7/6/1970,87.566
7/7/1970,87.566
7/8/1970,87.566
7/9/1970,87.566
7/10/1970,87.566
7/13/1970,87.566
7/14/1970,87.566
7/15/1970,87.566
7/16/1970,87.566
7/17/1970,87.566
7/20/1970,87.566
7/21/1970,87.566
7/22/1970,87.566
7/23/1970,87.566
7/24/1970,87.566
7/27/1970,87.566
7/28/1970,87.566
7/29/1970,87.566
7/30/1970,87.566
7/31/1970,91.099
8/3/1970,91.099
8/4/1970,91.099
8/5/1970,91.099
8/6/1970,91.099
8/7/1970,91.099
8/10/1970,91.099
8/11/1970,91.099
8/12/1970,91.099
8/13/1970,91.099
