Start,1/1/1969
End,9/11/2009
Frequency,D
Name,S&P GSCI Commodity Total Return - RETURN IND. (OFCL) (~U$)
Code,GSCITOT(TR)~U$
CURRENCY,U$
12/31/1969,100
1/1/1970,100
1/2/1970,100
1/5/1970,100.06
1/6/1970,100.46
1/7/1970,100.67
1/8/1970,101.01
1/9/1970,100.31
1/12/1970,100.21
1/13/1970,100.48
1/14/1970,101.17
1/15/1970,101.22
1/16/1970,101.03
1/19/1970,101.54
1/20/1970,102.06
1/21/1970,101.38
1/22/1970,100.87
1/23/1970,100.92
1/26/1970,100.47
1/27/1970,100.96
1/28/1970,101.23
1/29/1970,101.64
1/30/1970,101.78
2/2/1970,101.67
2/3/1970,101.52
2/4/1970,101.38
2/5/1970,101.41
2/6/1970,101.45
2/9/1970,102.53
2/10/1970,102.53
2/11/1970,103.32
2/12/1970,103.25
2/13/1970,103.37
2/16/1970,103.85
2/17/1970,103.37
2/18/1970,103.81
2/19/1970,104.07
2/20/1970,104.64
2/23/1970,104.64
2/24/1970,104.97
2/25/1970,104.48
2/26/1970,104.69
2/27/1970,104.86
3/2/1970,104.53
3/3/1970,105.29
3/4/1970,105.79
3/5/1970,106.72
3/6/1970,106.66
3/9/1970,106.69
3/10/1970,106.78
3/11/1970,107.99
3/12/1970,107.66
3/13/1970,107.29
3/16/1970,107.74
3/17/1970,106.92
3/18/1970,107.39
3/19/1970,107.52
3/20/1970,107.42
3/23/1970,106.89
3/24/1970,106.32
3/25/1970,106.77
3/26/1970,107.18
3/27/1970,107.18
3/30/1970,106.51
3/31/1970,106.38
4/1/1970,105.95
4/2/1970,106.29
4/3/1970,106.53
4/6/1970,106.51
4/7/1970,107.03
4/8/1970,106.77
4/9/1970,105.64
4/10/1970,105.26
4/13/1970,105.55
4/14/1970,104.83
4/15/1970,105.25
4/16/1970,105.61
4/17/1970,105.53
4/20/1970,105.42
4/21/1970,105.33
4/22/1970,105.43
4/23/1970,106.02
4/24/1970,107.09
4/27/1970,107.18
4/28/1970,106.74
4/29/1970,105.98
4/30/1970,106.05
5/1/1970,105.73
5/4/1970,104.86
5/5/1970,104.71
5/6/1970,104.52
5/7/1970,105.25
5/8/1970,105.51
5/11/1970,105.41
5/12/1970,105.1
5/13/1970,105.36
5/14/1970,104.08
5/15/1970,104.42
5/18/1970,105.06
5/19/1970,104.77
5/20/1970,104.7
5/21/1970,105.47
5/22/1970,105.44
5/25/1970,103.4
5/26/1970,102.33
5/27/1970,103.37
5/28/1970,102.9
5/29/1970,102.9
6/1/1970,103.88
6/2/1970,103.3
6/3/1970,103.7
6/4/1970,104.38
6/5/1970,104.2
6/8/1970,104.44
6/9/1970,105.01
6/10/1970,105.67
6/11/1970,106.33
6/12/1970,106.55
6/15/1970,106.21
6/16/1970,107.21
6/17/1970,106.89
6/18/1970,107.06
6/19/1970,107.01
6/22/1970,107.32
6/23/1970,107.38
6/24/1970,107.77
6/25/1970,109.14
6/26/1970,109.28
6/29/1970,110.15
6/30/1970,110.2
7/1/1970,109.43
7/2/1970,109.56
7/3/1970,109.56
7/6/1970,109.36
7/7/1970,109.44
7/8/1970,110.45
7/9/1970,110.66
7/10/1970,110.9
7/13/1970,110.91
7/14/1970,109.7
7/15/1970,110.15
7/16/1970,110.24
7/17/1970,110.09
7/20/1970,109.56
7/21/1970,109.68
7/22/1970,110.39
7/23/1970,110.68
7/24/1970,110.13
7/27/1970,109.78
7/28/1970,108.76
7/29/1970,109.29
7/30/1970,109.04
7/31/1970,109.07
8/3/1970,109.48
8/4/1970,109.57
8/5/1970,109
8/6/1970,109.04
8/7/1970,109.05
