Start,1/1/1952
End,9/11/2009
Frequency,D
Name,US TREASURY BILL 2ND MARKET 3 MONTHS - MIDDLE RATE
Code,Y74748
CURRENCY,U$
1/8/1954,1.3
1/11/1954,1.3
1/12/1954,1.3
1/13/1954,1.3
1/14/1954,1.3
1/15/1954,1.28
1/18/1954,1.28
1/19/1954,1.28
1/20/1954,1.28
1/21/1954,1.28
1/22/1954,1.11
1/25/1954,1.11
1/26/1954,1.11
1/27/1954,1.11
1/28/1954,1.11
1/29/1954,1.01
2/1/1954,1.01
2/2/1954,1.01
2/3/1954,1.01
2/4/1954,1.01
2/5/1954,0.99
2/8/1954,0.99
2/9/1954,0.99
2/10/1954,0.99
2/11/1954,0.99
2/12/1954,0.91
2/15/1954,0.91
2/16/1954,0.91
2/17/1954,0.91
2/18/1954,0.91
2/19/1954,0.98
2/22/1954,0.98
2/23/1954,0.98
2/24/1954,0.98
2/25/1954,0.98
2/26/1954,0.98
3/1/1954,0.98
3/2/1954,0.98
3/3/1954,0.98
3/4/1954,0.98
3/5/1954,1.03
3/8/1954,1.03
3/9/1954,1.03
3/10/1954,1.03
3/11/1954,1.03
3/12/1954,1.04
3/15/1954,1.04
3/16/1954,1.04
3/17/1954,1.04
3/18/1954,1.04
3/19/1954,1.02
3/22/1954,1.02
3/23/1954,1.02
3/24/1954,1.02
3/25/1954,1.02
3/26/1954,1.03
3/29/1954,1.03
3/30/1954,1.03
3/31/1954,1.03
4/1/1954,1.03
4/2/1954,1.03
4/5/1954,1.03
4/6/1954,1.03
4/7/1954,1.03
4/8/1954,1.03
4/9/1954,1
4/12/1954,1
4/13/1954,1
4/14/1954,1
4/15/1954,1
4/16/1954,1.04
4/19/1954,1.04
4/20/1954,1.04
4/21/1954,1.04
4/22/1954,1.04
4/23/1954,0.99
4/26/1954,0.99
4/27/1954,0.99
4/28/1954,0.99
4/29/1954,0.99
4/30/1954,0.82
5/3/1954,0.82
5/4/1954,0.82
5/5/1954,0.82
5/6/1954,0.82
5/7/1954,0.75
5/10/1954,0.75
5/11/1954,0.75
5/12/1954,0.75
5/13/1954,0.75
5/14/1954,0.8
5/17/1954,0.8
5/18/1954,0.8
5/19/1954,0.8
5/20/1954,0.8
5/21/1954,0.79
5/24/1954,0.79
5/25/1954,0.79
5/26/1954,0.79
5/27/1954,0.79
5/28/1954,0.71
5/31/1954,0.71
6/1/1954,0.71
6/2/1954,0.71
6/3/1954,0.71
6/4/1954,0.69
6/7/1954,0.69
6/8/1954,0.69
6/9/1954,0.69
6/10/1954,0.69
6/11/1954,0.61
6/14/1954,0.61
6/15/1954,0.61
6/16/1954,0.61
6/17/1954,0.61
6/18/1954,0.63
6/21/1954,0.63
6/22/1954,0.63
6/23/1954,0.63
6/24/1954,0.63
6/25/1954,0.62
6/28/1954,0.62
6/29/1954,0.62
6/30/1954,0.62
7/1/1954,0.62
7/2/1954,0.65
7/5/1954,0.65
7/6/1954,0.65
7/7/1954,0.65
7/8/1954,0.65
7/9/1954,0.66
7/12/1954,0.66
7/13/1954,0.66
7/14/1954,0.66
7/15/1954,0.66
7/16/1954,0.72
7/19/1954,0.72
7/20/1954,0.72
7/21/1954,0.72
7/22/1954,0.72
7/23/1954,0.74
7/26/1954,0.74
7/27/1954,0.74
7/28/1954,0.74
7/29/1954,0.74
7/30/1954,0.78
8/2/1954,0.78
8/3/1954,0.78
8/4/1954,0.78
8/5/1954,0.78
8/6/1954,0.79
8/9/1954,0.79
8/10/1954,0.79
8/11/1954,0.79
8/12/1954,0.79
8/13/1954,0.91
8/16/1954,0.91
8/17/1954,0.91
8/18/1954,0.91
