Start,8/21/1989
End,8/21/2009
Frequency,D
Name,DAX 30 PERFORMANCE - TOT RETURN IND (~U$)
Code,DAXINDX(RI)~U$
CURRENCY,U$
8/21/1989,1606.8
8/22/1989,1611.81
8/23/1989,1586.03
8/24/1989,1589.79
8/25/1989,1606.76
8/28/1989,1598.24
8/29/1989,1611.83
8/30/1989,1593.76
8/31/1989,1596.55
9/1/1989,1590.95
9/4/1989,1605.16
9/5/1989,1608.36
9/6/1989,1618.32
9/7/1989,1617.76
9/8/1989,1637.92
9/11/1989,1616.65
9/12/1989,1599.82
9/13/1989,1589.98
9/14/1989,1601.85
9/15/1989,1559.82
9/18/1989,1608.07
9/19/1989,1617.59
9/20/1989,1625.54
9/21/1989,1621.73
9/22/1989,1633.52
9/25/1989,1679.14
9/26/1989,1666.75
9/27/1989,1654.96
9/28/1989,1648.64
9/29/1989,1645.3
10/2/1989,1646.49
10/3/1989,1661.99
10/4/1989,1680.55
10/5/1989,1676.86
10/6/1989,1680.75
10/9/1989,1701.97
10/10/1989,1687.46
10/11/1989,1637.44
10/12/1989,1652.82
10/13/1989,1643.84
10/16/1989,1453.15
10/17/1989,1557.25
10/18/1989,1573.08
10/19/1989,1611.96
10/20/1989,1607.97
10/23/1989,1606.68
10/24/1989,1602.78
10/25/1989,1573.77
10/26/1989,1577.01
10/27/1989,1563.52
10/30/1989,1560.98
10/31/1989,1564.67
11/1/1989,1570.94
11/2/1989,1544.01
11/3/1989,1534.87
11/6/1989,1536.04
11/7/1989,1514.86
11/8/1989,1528.18
11/9/1989,1547.98
11/10/1989,1571.01
11/13/1989,1608.32
11/14/1989,1591.66
11/15/1989,1594.22
11/16/1989,1630.65
11/17/1989,1626.22
11/20/1989,1632.63
11/21/1989,1627.68
11/22/1989,1636.17
11/23/1989,1652.32
11/24/1989,1685.65
11/27/1989,1698.85
11/28/1989,1696.69
11/29/1989,1714.6
11/30/1989,1733.45
12/1/1989,1770.12
12/4/1989,1794.48
12/5/1989,1790.8
12/6/1989,1837.08
12/7/1989,1835.66
12/8/1989,1822.94
12/11/1989,1831.19
12/12/1989,1864.86
12/13/1989,1841.98
12/14/1989,1827.41
12/15/1989,1848.72
12/18/1989,1851.74
12/19/1989,1855.1
12/20/1989,1882.25
12/21/1989,1900.16
12/22/1989,1943.34
12/25/1989,1943.34
12/26/1989,1943.34
12/27/1989,2049.78
12/28/1989,2075.27
12/29/1989,2070.18
1/1/1990,2070.18
1/2/1990,2076.36
1/3/1990,2125.4
1/4/1990,2134.11
1/5/1990,2118.31
1/8/1990,2159.77
1/9/1990,2169.35
1/10/1990,2142.05
1/11/1990,2157.63
1/12/1990,2161.44
1/15/1990,2124.08
1/16/1990,2065.34
1/17/1990,2086.75
1/18/1990,2037.08
1/19/1990,2034.93
1/22/1990,2021.43
1/23/1990,2076.29
1/24/1990,2036.54
1/25/1990,2072.72
1/26/1990,2072.27
1/29/1990,2108.89
1/30/1990,2110.5
1/31/1990,2112.62
2/1/1990,2162.46
2/2/1990,2216.46
2/5/1990,2271.9
2/6/1990,2285.99
2/7/1990,2245.62
2/8/1990,2239.54
2/9/1990,2202.68
2/12/1990,2178.67
2/13/1990,2147.69
2/14/1990,2144.43
2/15/1990,2154.92
2/16/1990,2207.23
2/19/1990,2180.04
2/20/1990,2130.86
2/21/1990,2123.21
2/22/1990,2134.07
2/23/1990,2086.1
2/26/1990,2056.24
2/27/1990,2095.08
2/28/1990,2086.28
3/1/1990,2036.32
3/2/1990,2069.14
3/5/1990,2104.35
3/6/1990,2094.58
3/7/1990,2113.83
3/8/1990,2138.86
3/9/1990,2133.77
3/12/1990,2111.33
3/13/1990,2127.67
3/14/1990,2126.58
3/15/1990,2158.68
3/16/1990,2181.29
3/19/1990,2216.28
3/20/1990,2201.07
3/21/1990,2219.93
3/22/1990,2201.74
3/23/1990,2208.83
3/26/1990,2212.3
3/27/1990,2202.08
3/28/1990,2207.68
3/29/1990,2250.84
3/30/1990,2281.69
4/2/1990,2218.1
4/3/1990,2264.83
4/4/1990,2257.8
4/5/1990,2253.55
