Start,1/1/1969
End,9/11/2009
Frequency,D
Name,ML US DOM MASTER($) - TOT RETURN IND (~U$)
Code,MLDOMEM(RI)~U$
CURRENCY,U$
12/31/1975,100
1/1/1976,100
1/2/1976,100
1/5/1976,100
1/6/1976,100
1/7/1976,100
1/8/1976,100
1/9/1976,100
1/12/1976,100
1/13/1976,100
1/14/1976,100
1/15/1976,100
1/16/1976,100
1/19/1976,100
1/20/1976,100
1/21/1976,100
1/22/1976,100
1/23/1976,100
1/26/1976,100
1/27/1976,100
1/28/1976,100
1/29/1976,100
1/30/1976,100
2/2/1976,100
2/3/1976,100
2/4/1976,100
2/5/1976,100
2/6/1976,100
2/9/1976,100
2/10/1976,100
2/11/1976,100
2/12/1976,100
2/13/1976,100
2/16/1976,100
2/17/1976,100
2/18/1976,100
2/19/1976,100
2/20/1976,100
2/23/1976,100
2/24/1976,100
2/25/1976,100
2/26/1976,100
2/27/1976,100
3/1/1976,100
3/2/1976,100
3/3/1976,100
3/4/1976,100
3/5/1976,100
3/8/1976,100
3/9/1976,100
3/10/1976,100
3/11/1976,100
3/12/1976,100
3/15/1976,100
3/16/1976,100
3/17/1976,100
3/18/1976,100
3/19/1976,100
3/22/1976,100
3/23/1976,100
3/24/1976,100
3/25/1976,100
3/26/1976,100
3/29/1976,100
3/30/1976,100
3/31/1976,103.806
4/1/1976,103.806
4/2/1976,103.806
4/5/1976,103.806
4/6/1976,103.806
4/7/1976,103.806
4/8/1976,103.806
4/9/1976,103.806
4/12/1976,103.806
4/13/1976,103.806
4/14/1976,103.806
4/15/1976,103.806
4/16/1976,103.806
4/19/1976,103.806
4/20/1976,103.806
4/21/1976,103.806
4/22/1976,103.806
4/23/1976,103.806
4/26/1976,103.806
4/27/1976,103.806
4/28/1976,103.806
4/29/1976,103.806
4/30/1976,104.216
5/3/1976,104.216
5/4/1976,104.216
5/5/1976,104.216
5/6/1976,104.216
5/7/1976,104.216
5/10/1976,104.216
5/11/1976,104.216
5/12/1976,104.216
5/13/1976,104.216
5/14/1976,104.216
5/17/1976,104.216
5/18/1976,104.216
5/19/1976,104.216
5/20/1976,104.216
5/21/1976,104.216
5/24/1976,104.216
5/25/1976,104.216
5/26/1976,104.216
5/27/1976,104.216
5/28/1976,104.216
5/31/1976,103.393
6/1/1976,103.393
6/2/1976,103.393
6/3/1976,103.393
6/4/1976,103.393
6/7/1976,103.393
6/8/1976,103.393
6/9/1976,103.393
6/10/1976,103.393
6/11/1976,103.393
6/14/1976,103.393
6/15/1976,103.393
6/16/1976,103.393
6/17/1976,103.393
6/18/1976,103.393
6/21/1976,103.393
6/22/1976,103.393
6/23/1976,103.393
6/24/1976,103.393
6/25/1976,103.393
6/28/1976,103.393
6/29/1976,103.393
6/30/1976,104.884
7/1/1976,104.884
7/2/1976,104.884
7/5/1976,104.884
7/6/1976,104.884
7/7/1976,104.884
7/8/1976,104.884
7/9/1976,104.884
7/12/1976,104.884
7/13/1976,104.884
7/14/1976,104.884
7/15/1976,104.884
7/16/1976,104.884
7/19/1976,104.884
7/20/1976,104.884
7/21/1976,104.884
7/22/1976,104.884
7/23/1976,104.884
7/26/1976,104.884
7/27/1976,104.884
7/28/1976,104.884
7/29/1976,104.884
7/30/1976,104.884
8/2/1976,104.884
8/3/1976,104.884
8/4/1976,104.884
8/5/1976,104.884
8/6/1976,104.884
8/9/1976,104.884
8/10/1976,104.884
8/11/1976,104.884
8/12/1976,104.884
8/13/1976,104.884
8/16/1976,104.884
8/17/1976,104.884
8/18/1976,104.884
8/19/1976,104.884
8/20/1976,104.884
8/23/1976,104.884
8/24/1976,104.884
