Start,8/31/1989
End,8/31/2009
Frequency,D
Name,MSCI EAFE U$ - TOT RETURNIND (~U$)
Code,MSEAFE$(RI)~U$
CURRENCY,U$
8/31/1989,1859.935
9/1/1989,1859.935
9/4/1989,1859.935
9/5/1989,1859.935
9/6/1989,1859.935
9/7/1989,1859.935
9/8/1989,1859.935
9/11/1989,1859.935
9/12/1989,1859.935
9/13/1989,1859.935
9/14/1989,1859.935
9/15/1989,1859.935
9/18/1989,1859.935
9/19/1989,1859.935
9/20/1989,1859.935
9/21/1989,1859.935
9/22/1989,1859.935
9/25/1989,1859.935
9/26/1989,1859.935
9/27/1989,1859.935
9/28/1989,1859.935
9/29/1989,1945
10/2/1989,1945
10/3/1989,1945
10/4/1989,1945
10/5/1989,1945
10/6/1989,1945
10/9/1989,1945
10/10/1989,1945
10/11/1989,1945
10/12/1989,1945
10/13/1989,1945
10/16/1989,1945
10/17/1989,1945
10/18/1989,1945
10/19/1989,1945
10/20/1989,1945
10/23/1989,1945
10/24/1989,1945
10/25/1989,1945
10/26/1989,1945
10/27/1989,1945
10/30/1989,1945
10/31/1989,1867.234
11/1/1989,1867.234
11/2/1989,1867.234
11/3/1989,1867.234
11/6/1989,1867.234
11/7/1989,1867.234
11/8/1989,1867.234
11/9/1989,1867.234
11/10/1989,1867.234
11/13/1989,1867.234
11/14/1989,1867.234
11/15/1989,1867.234
11/16/1989,1867.234
11/17/1989,1867.234
11/20/1989,1867.234
11/21/1989,1867.234
11/22/1989,1867.234
11/23/1989,1867.234
11/24/1989,1867.234
11/27/1989,1867.234
11/28/1989,1867.234
11/29/1989,1867.234
11/30/1989,1961.482
12/1/1989,1961.482
12/4/1989,1961.482
12/5/1989,1961.482
12/6/1989,1961.482
12/7/1989,1961.482
12/8/1989,1961.482
12/11/1989,1961.482
12/12/1989,1961.482
12/13/1989,1961.482
12/14/1989,1961.482
12/15/1989,1961.482
12/18/1989,1961.482
12/19/1989,1961.482
12/20/1989,1961.482
12/21/1989,1961.482
12/22/1989,1961.482
12/25/1989,1961.482
12/26/1989,1961.482
12/27/1989,1961.482
12/28/1989,1961.482
12/29/1989,2034.327
1/1/1990,2034.327
1/2/1990,2034.327
1/3/1990,2034.327
1/4/1990,2034.327
1/5/1990,2034.327
1/8/1990,2034.327
1/9/1990,2034.327
1/10/1990,2034.327
1/11/1990,2034.327
1/12/1990,2034.327
1/15/1990,2034.327
1/16/1990,2034.327
1/17/1990,2034.327
1/18/1990,2034.327
1/19/1990,2034.327
1/22/1990,2034.327
1/23/1990,2034.327
1/24/1990,2034.327
1/25/1990,2034.327
1/26/1990,2034.327
1/29/1990,2034.327
1/30/1990,2034.327
1/31/1990,1959.045
2/1/1990,1959.045
2/2/1990,1959.045
2/5/1990,1959.045
2/6/1990,1959.045
2/7/1990,1959.045
2/8/1990,1959.045
2/9/1990,1959.045
2/12/1990,1959.045
2/13/1990,1959.045
2/14/1990,1959.045
2/15/1990,1959.045
2/16/1990,1959.045
2/19/1990,1959.045
2/20/1990,1959.045
2/21/1990,1959.045
2/22/1990,1959.045
2/23/1990,1959.045
2/26/1990,1959.045
2/27/1990,1959.045
2/28/1990,1822.729
3/1/1990,1822.729
3/2/1990,1822.729
3/5/1990,1822.729
3/6/1990,1822.729
3/7/1990,1822.729
3/8/1990,1822.729
3/9/1990,1822.729
3/12/1990,1822.729
3/13/1990,1822.729
3/14/1990,1822.729
3/15/1990,1822.729
3/16/1990,1822.729
3/19/1990,1822.729
3/20/1990,1822.729
3/21/1990,1822.729
3/22/1990,1822.729
3/23/1990,1822.729
3/26/1990,1822.729
3/27/1990,1822.729
3/28/1990,1822.729
3/29/1990,1822.729
3/30/1990,1633.218
4/2/1990,1633.218
4/3/1990,1633.218
4/4/1990,1633.218
4/5/1990,1633.218
4/6/1990,1633.218
4/9/1990,1633.218
4/10/1990,1633.218
4/11/1990,1633.218
4/12/1990,1633.218
4/13/1990,1633.218
4/16/1990,1633.218
4/17/1990,1633.218
4/18/1990,1633.218
4/19/1990,1633.218
4/20/1990,1633.218
4/23/1990,1633.218
4/24/1990,1633.218
4/25/1990,1633.218
4/26/1990,1633.218
4/27/1990,1633.218
4/30/1990,1620.691
5/1/1990,1620.691
5/2/1990,1620.691
5/3/1990,1620.691
5/4/1990,1620.691
5/7/1990,1620.691
5/8/1990,1620.691
5/9/1990,1620.691
5/10/1990,1620.691
5/11/1990,1620.691
5/14/1990,1620.691
5/15/1990,1620.691
5/16/1990,1620.691
5/17/1990,1620.691
5/18/1990,1620.691
5/21/1990,1620.691
5/22/1990,1620.691
5/23/1990,1620.691
5/24/1990,1620.691
5/25/1990,1620.691
5/28/1990,1620.691
5/29/1990,1620.691
5/30/1990,1620.691
5/31/1990,1806.109
6/1/1990,1806.109
6/4/1990,1806.109
6/5/1990,1806.109
6/6/1990,1806.109
6/7/1990,1806.109
6/8/1990,1806.109
6/11/1990,1806.109
6/12/1990,1806.109
6/13/1990,1806.109
6/14/1990,1806.109
6/15/1990,1806.109
6/18/1990,1806.109
6/19/1990,1806.109
6/20/1990,1806.109
6/21/1990,1806.109
6/22/1990,1806.109
6/25/1990,1806.109
6/26/1990,1806.109
6/27/1990,1806.109
6/28/1990,1806.109
6/29/1990,1790.634
7/2/1990,1790.634
7/3/1990,1790.634
7/4/1990,1790.634
7/5/1990,1790.634
7/6/1990,1790.634
7/9/1990,1790.634
7/10/1990,1790.634
7/11/1990,1790.634
7/12/1990,1790.634
7/13/1990,1790.634
7/16/1990,1790.634
7/17/1990,1790.634
7/18/1990,1790.634
7/19/1990,1790.634
7/20/1990,1790.634
7/23/1990,1790.634
7/24/1990,1790.634
7/25/1990,1790.634
7/26/1990,1790.634
7/27/1990,1790.634
7/30/1990,1790.634
7/31/1990,1816.319
8/1/1990,1816.319
8/2/1990,1816.319
8/3/1990,1816.319
8/6/1990,1816.319
8/7/1990,1816.319
8/8/1990,1816.319
8/9/1990,1816.319
8/10/1990,1816.319
8/13/1990,1816.319
8/14/1990,1816.319
8/15/1990,1816.319
8/16/1990,1816.319
8/17/1990,1816.319
8/20/1990,1816.319
8/21/1990,1816.319
