Start,8/31/1989
End,8/31/2009
Frequency,D
Name,MSCI AC EAFE + EM U$ - TOT RETURN IND (~U$)
Code,MSEEMF$(RI)~U$
CURRENCY,U$
8/31/1989,130.965
9/1/1989,130.965
9/4/1989,130.965
9/5/1989,130.965
9/6/1989,130.965
9/7/1989,130.965
9/8/1989,130.965
9/11/1989,130.965
9/12/1989,130.965
9/13/1989,130.965
9/14/1989,130.965
9/15/1989,130.965
9/18/1989,130.965
9/19/1989,130.965
9/20/1989,130.965
9/21/1989,130.965
9/22/1989,130.965
9/25/1989,130.965
9/26/1989,130.965
9/27/1989,130.965
9/28/1989,130.965
9/29/1989,137.152
10/2/1989,137.152
10/3/1989,137.152
10/4/1989,137.152
10/5/1989,137.152
10/6/1989,137.152
10/9/1989,137.152
10/10/1989,137.152
10/11/1989,137.152
10/12/1989,137.152
10/13/1989,137.152
10/16/1989,137.152
10/17/1989,137.152
10/18/1989,137.152
10/19/1989,137.152
10/20/1989,137.152
10/23/1989,137.152
10/24/1989,137.152
10/25/1989,137.152
10/26/1989,137.152
10/27/1989,137.152
10/30/1989,137.152
10/31/1989,131.823
11/1/1989,131.823
11/2/1989,131.823
11/3/1989,131.823
11/6/1989,131.823
11/7/1989,131.823
11/8/1989,131.823
11/9/1989,131.823
11/10/1989,131.823
11/13/1989,131.823
11/14/1989,131.823
11/15/1989,131.823
11/16/1989,131.823
11/17/1989,131.823
11/20/1989,131.823
11/21/1989,131.823
11/22/1989,131.823
11/23/1989,131.823
11/24/1989,131.823
11/27/1989,131.823
11/28/1989,131.823
11/29/1989,131.823
11/30/1989,138.174
12/1/1989,138.174
12/4/1989,138.174
12/5/1989,138.174
12/6/1989,138.174
12/7/1989,138.174
12/8/1989,138.174
12/11/1989,138.174
12/12/1989,138.174
12/13/1989,138.174
12/14/1989,138.174
12/15/1989,138.174
12/18/1989,138.174
12/19/1989,138.174
12/20/1989,138.174
12/21/1989,138.174
12/22/1989,138.174
12/25/1989,138.174
12/26/1989,138.174
12/27/1989,138.174
12/28/1989,138.174
12/29/1989,143.514
1/1/1990,143.514
1/2/1990,143.514
1/3/1990,143.514
1/4/1990,143.514
1/5/1990,143.514
1/8/1990,143.514
1/9/1990,143.514
1/10/1990,143.514
1/11/1990,143.514
1/12/1990,143.514
1/15/1990,143.514
1/16/1990,143.514
1/17/1990,143.514
1/18/1990,143.514
1/19/1990,143.514
1/22/1990,143.514
1/23/1990,143.514
1/24/1990,143.514
1/25/1990,143.514
1/26/1990,143.514
1/29/1990,143.514
1/30/1990,143.514
1/31/1990,138.404
2/1/1990,138.404
2/2/1990,138.404
2/5/1990,138.404
2/6/1990,138.404
2/7/1990,138.404
2/8/1990,138.404
2/9/1990,138.404
2/12/1990,138.404
2/13/1990,138.404
2/14/1990,138.404
2/15/1990,138.404
2/16/1990,138.404
2/19/1990,138.404
2/20/1990,138.404
2/21/1990,138.404
2/22/1990,138.404
2/23/1990,138.404
2/26/1990,138.404
2/27/1990,138.404
2/28/1990,129.077
3/1/1990,129.077
3/2/1990,129.077
3/5/1990,129.077
3/6/1990,129.077
3/7/1990,129.077
3/8/1990,129.077
3/9/1990,129.077
3/12/1990,129.077
3/13/1990,129.077
3/14/1990,129.077
3/15/1990,129.077
3/16/1990,129.077
3/19/1990,129.077
3/20/1990,129.077
3/21/1990,129.077
3/22/1990,129.077
3/23/1990,129.077
3/26/1990,129.077
3/27/1990,129.077
3/28/1990,129.077
3/29/1990,129.077
3/30/1990,115.515
4/2/1990,115.515
4/3/1990,115.515
4/4/1990,115.515
4/5/1990,115.515
4/6/1990,115.515
4/9/1990,115.515
4/10/1990,115.515
4/11/1990,115.515
4/12/1990,115.515
4/13/1990,115.515
4/16/1990,115.515
4/17/1990,115.515
4/18/1990,115.515
4/19/1990,115.515
4/20/1990,115.515
4/23/1990,115.515
4/24/1990,115.515
4/25/1990,115.515
4/26/1990,115.515
4/27/1990,115.515
4/30/1990,114.925
5/1/1990,114.925
5/2/1990,114.925
5/3/1990,114.925
5/4/1990,114.925
5/7/1990,114.925
5/8/1990,114.925
5/9/1990,114.925
5/10/1990,114.925
5/11/1990,114.925
5/14/1990,114.925
5/15/1990,114.925
5/16/1990,114.925
5/17/1990,114.925
5/18/1990,114.925
5/21/1990,114.925
5/22/1990,114.925
5/23/1990,114.925
5/24/1990,114.925
5/25/1990,114.925
5/28/1990,114.925
5/29/1990,114.925
5/30/1990,114.925
5/31/1990,127.952
6/1/1990,127.952
6/4/1990,127.952
6/5/1990,127.952
6/6/1990,127.952
6/7/1990,127.952
6/8/1990,127.952
6/11/1990,127.952
6/12/1990,127.952
6/13/1990,127.952
6/14/1990,127.952
6/15/1990,127.952
6/18/1990,127.952
6/19/1990,127.952
6/20/1990,127.952
6/21/1990,127.952
6/22/1990,127.952
6/25/1990,127.952
6/26/1990,127.952
6/27/1990,127.952
6/28/1990,127.952
6/29/1990,127.01
7/2/1990,127.01
7/3/1990,127.01
7/4/1990,127.01
7/5/1990,127.01
7/6/1990,127.01
7/9/1990,127.01
7/10/1990,127.01
7/11/1990,127.01
7/12/1990,127.01
7/13/1990,127.01
7/16/1990,127.01
7/17/1990,127.01
7/18/1990,127.01
7/19/1990,127.01
7/20/1990,127.01
7/23/1990,127.01
7/24/1990,127.01
7/25/1990,127.01
7/26/1990,127.01
7/27/1990,127.01
7/30/1990,127.01
7/31/1990,129.067
8/1/1990,129.067
8/2/1990,129.067
8/3/1990,129.067
8/6/1990,129.067
8/7/1990,129.067
8/8/1990,129.067
8/9/1990,129.067
8/10/1990,129.067
8/13/1990,129.067
8/14/1990,129.067
8/15/1990,129.067
8/16/1990,129.067
8/17/1990,129.067
8/20/1990,129.067
8/21/1990,129.067
8/22/1990,129.067
8/23/1990,129.067
8/24/1990,129.067
8/27/1990,129.067
8/28/1990,129.067
8/29/1990,129.067
8/30/1990,129.067
8/31/1990,116.457
9/3/1990,116.457
9/4/1990,116.457
9/5/1990,116.457
9/6/1990,116.457
9/7/1990,116.457
9/10/1990,116.457
9/11/1990,116.457
9/12/1990,116.457
9/13/1990,116.457
9/14/1990,116.457
