Date[G],Last
19990101,3241.75449
19990104,3312.73238
19990105,3334.56721
19990106,3383.91687
19990107,3363.64911
19990108,3343.80809
19990111,3316.40516
19990112,3269.46924
19990113,3191.05908
19990114,3205.42041
19990115,3220.31163
19990118,3278.72503
19990119,3272.57604
19990120,3300.42085
19990121,3285.69428
19990122,3208.18873
19990125,3211.8926
19990126,3223.13231
19990127,3217.52589
19990128,3217.51681
19990129,3229.45693
19990201,3259.69121
19990202,3266.38977
19990203,3228.29178
19990204,3215.59465
19990205,3194.63532
19990208,3169.68731
19990209,3124.01626
19990210,3105.99321
19990211,3136.56538
19990212,3160.78905
19990215,3160.82361
19990216,3150.45765
19990217,3133.14033
19990218,3129.50396
19990219,3112.31762
19990222,3139.03326
19990223,3159.06366
19990224,3175.4338
19990225,3167.17835
19990226,3150.57737
19990301,3104.82421
19990302,3098.37328
19990303,3079.69174
19990304,3076.01283
19990305,3161.26251
19990308,3159.45037
19990309,3182.86069
19990310,3219.83256
19990311,3232.68617
19990312,3267.58621
19990315,3275.97408
19990316,3293.50169
19990317,3304.50955
19990318,3273.01731
19990319,3317.4809
19990322,3296.69663
19990323,3249.11424
19990324,3214.89274
19990325,3252.64921
19990326,3220.62847
19990329,3251.07761
19990330,3249.23921
19990331,3288.61429
19990401,3309.77137
19990402,3300.46549
19990405,3282.83502
19990406,3337.1824
19990407,3359.52962
19990408,3386.91407
19990409,3385.10734
19990412,3379.34976
19990413,3407.28249
19990414,3423.00175
19990415,3382.68277
19990416,3390.13715
19990419,3410.89208
19990420,3352.68242
19990421,3334.19175
19990422,3363.64382
19990423,3381.64544
19990426,3399.88442
19990427,3451.71331
19990428,3444.81103
19990429,3421.04723
19990430,3423.80402
19990503,3428.80494
19990504,3432.135
19990505,3409.34884
19990506,3453.16033
19990507,3428.29731
19990510,3435.54892
19990511,3408.47095
19990512,3391.43809
19990513,3392.76099
19990514,3356.64235
19990517,3282.45185
19990518,3308.33721
19990519,3306.09778
19990520,3326.49019
19990521,3315.29833
19990524,3311.81782
19990525,3291.55408
19990526,3272.39493
19990527,3243.93182
19990528,3253.30985
19990531,3254.56055
19990601,3280.25041
19990602,3282.82864
19990603,3288.52657
19990604,3294.78633
19990607,3329.88385
19990608,3371.27578
19990609,3388.47244
19990610,3389.31718
19990611,3431.47096
19990614,3392.81584
19990615,3394.77224
19990616,3399.24647
19990617,3423.36252
19990618,3435.25288
19990621,3453.26474
19990622,3448.35877
19990623,3409.53265
19990624,3393.01735
19990625,3409.44921
19990628,3402.57355
19990629,3402.71262
19990630,3385.20281
19990701,3445.08142
19990702,3461.08165
19990705,3508.63975
19990706,3501.02666
19990707,3475.94933
19990708,3455.09802
19990709,3458.86743
19990712,3462.20864
19990713,3440.31877
19990714,3466.42678
19990715,3513.23591
19990716,3490.43653
19990719,3491.00069
19990720,3495.38228
19990721,3478.39679
19990722,3442.8285
19990723,3399.74719
19990726,3409.68326
19990727,3420.84193
19990728,3441.71152
19990729,3432.14232
19990730,3484.73643
19990802,3471.91941
19990803,3469.30403
19990804,3471.30555
19990805,3412.40442
19990806,3398.96859
19990809,3395.89469
19990810,3365.48994
19990811,3356.89057
19990812,3413.45663
19990813,3434.3203
19990816,3470.35374
19990817,3464.88409
19990818,3490.0154
19990819,3487.86615
19990820,3536.199
19990823,3566.68412
19990824,3546.84038
19990825,3548.9598
19990826,3531.2044
19990827,3532.927
19990830,3545.41206
19990831,3499.22188
19990901,3555.22653
19990902,3543.08318
19990903,3562.16706
19990906,3593.33853
19990907,3569.32881
19990908,3566.47477
19990909,3609.23339
19990910,3593.00962
19990913,3592.81002
19990914,3583.38252
19990915,3573.69328
19990916,3534.31013
19990917,3525.43164
19990920,3551.14935
19990921,3565.80829
19990922,3525.2008
19990923,3532.44333
19990924,3475.87228
19990927,3486.29098
19990928,3496.63752
19990929,3494.38256
19990930,3535.02804
19991001,3548.28059
19991004,3566.22236
19991005,3569.30812
19991006,3582.87995
19991007,3616.56471
19991008,3604.49615
19991011,3618.78583
19991012,3617.93455
19991013,3575.59823
19991014,3575.39581
19991015,3547.33338
19991018,3491.24687
19991019,3532.24545
19991020,3551.12711
19991021,3544.44696
19991022,3574.5148
19991025,3573.67185
19991026,3586.62936
19991027,3560.19478
19991028,3589.97517
19991029,3664.78446
19991101,3660.71496
19991102,3666.54849
19991103,3669.51146
19991104,3702.79512
19991105,3682.80543
19991108,3671.9607
19991109,3695.65982
19991110,3734.82127
19991111,3754.25487
19991112,3739.14412
19991115,3759.14946
19991116,3762.67292
19991117,3793.93759
19991118,3812.35681
19991119,3809.91505
19991122,3806.59673
19991123,3821.4473
19991124,3790.75205
19991125,3829.9546
19991126,3858.53548
19991129,3852.83661
19991130,3790.73308
19991201,3808.20257
19991202,3808.5743
19991203,3860.10345
19991206,3905.96324
19991207,3927.5054
19991208,3911.57153
19991209,3913.10534
19991210,3912.15388
19991213,3897.90628
19991214,3883.39982
19991215,3854.72159
19991216,3901.93484
19991217,3916.70222
19991220,3935.86575
19991221,3930.32044
19991222,3980.36617
19991223,4038.4718
19991224,4060.24825
19991227,4051.1469
19991228,4072.23492
19991229,4088.93283
19991230,4128.9303
19991231,4128.9303
20000103,4162.1949
20000104,4071.57659
20000105,3952.59268
20000106,3896.28868
20000107,3941.07752
20000110,3978.02164
20000111,4009.11598
20000112,3985.81374
20000113,4004.0072
20000114,4038.33656
20000117,4073.1254
20000118,4002.04445
20000119,3962.88028
20000120,3963.54624
20000121,3948.44126
20000124,3944.45542
20000125,3893.47759
20000126,3926.96406
20000127,3950.72883
20000128,3930.278
20000131,3863.82427
20000201,3874.00967
20000202,3917.53072
20000203,4003.40223
20000204,4012.30953
20000207,3977.61146
20000208,4035.13234
20000209,4060.68588
20000210,4040.70657
20000211,4035.44981
20000214,3992.12634
20000215,3927.48219
20000216,3955.82065
20000217,3997.80897
20000218,3974.97743
20000221,3921.20933
20000222,3950.07208
20000223,3987.37717
20000224,3982.84403
20000225,4007.95294
20000228,3955.36664
20000229,3967.08604
20000301,4041.29103
20000302,4088.73587
20000303,4093.54815
20000306,4098.94139
20000307,4089.88996
20000308,4049.61796
20000309,4083.61377
20000310,4094.57562
20000313,4003.96357
20000314,4000.00529
20000315,3946.57349
20000316,4023.63903
20000317,4047.79282
20000320,4075.69494
20000321,4082.37632
20000322,4053.48673
20000323,4062.04304
20000324,4128.24813
20000327,4139.44022
20000328,4169.19579
20000329,4159.26763
20000330,4080.61492
20000331,4126.13733
20000403,4074.00171
20000404,4067.47039
20000405,4029.39545
20000406,4052.52263
20000407,4084.89166
20000410,4093.10786
20000411,4038.71435
20000412,4041.44131
20000413,4011.83607
20000414,3943.583
20000417,3832.34234
20000418,3876.79974
20000419,3900.69036
20000420,3916.29814
20000421,3913.52265
20000424,3937.81806
20000425,3931.87405
20000426,3938.65375
20000427,3875.31411
20000428,3912.17333
20000501,3925.08011
20000502,3978.30986
20000503,3891.174
20000504,3893.11604
20000505,3897.91001
20000508,3873.64299
20000509,3830.20833
20000510,3800.21621
20000511,3794.25528
20000512,3860.61889
20000515,3850.13905
20000516,3880.44176
20000517,3795.12135
20000518,3798.6025
20000519,3723.15663
20000522,3673.56592
20000523,3708.37239
20000524,3669.50601
20000525,3726.87635
20000526,3746.9866
20000529,3779.80299
20000530,3835.61308
20000531,3823.47485
20000601,3872.96621
20000602,3997.50101
20000605,4012.10118
20000606,4049.12728
20000607,4021.20649
20000608,4008.04951
20000609,3993.30731
20000612,4006.3116
20000613,4006.53759
20000614,4019.17939
20000615,3962.71852
20000616,3980.17938
20000619,3991.61346
20000620,4024.01031
20000621,3992.07256
20000622,3969.41138
20000623,3944.78093
20000626,3927.50028
20000627,3947.16864
20000628,3970.54158
20000629,3939.56809
20000630,3975.47796
20000703,4006.92494
20000704,4001.79937
20000705,3990.18448
20000706,3981.2778
20000707,4013.09818
20000710,4035.78101
20000711,4024.72135
20000712,4012.55195
20000713,3980.62128
20000714,3996.58234
20000717,4000.06914
20000718,3946.21793
20000719,3923.10085
20000720,3942.83635
20000721,3906.87799
20000724,3901.94192
20000725,3908.68978
20000726,3910.38993
20000727,3842.14818
