Start,8/25/1989
End,8/26/2009
Frequency,D
Name,MSCI USA - TOT RETURN IND(~U$)
Code,MSUSAML(RI)~U$
CURRENCY,U$
8/25/1989,737.954
8/28/1989,737.954
8/29/1989,737.954
8/30/1989,737.954
8/31/1989,749.128
9/1/1989,749.128
9/4/1989,749.128
9/5/1989,749.128
9/6/1989,749.128
9/7/1989,749.128
9/8/1989,749.128
9/11/1989,749.128
9/12/1989,749.128
9/13/1989,749.128
9/14/1989,749.128
9/15/1989,749.128
9/18/1989,749.128
9/19/1989,749.128
9/20/1989,749.128
9/21/1989,749.128
9/22/1989,749.128
9/25/1989,749.128
9/26/1989,749.128
9/27/1989,749.128
9/28/1989,749.128
9/29/1989,747.547
10/2/1989,747.547
10/3/1989,747.547
10/4/1989,747.547
10/5/1989,747.547
10/6/1989,747.547
10/9/1989,747.547
10/10/1989,747.547
10/11/1989,747.547
10/12/1989,747.547
10/13/1989,747.547
10/16/1989,747.547
10/17/1989,747.547
10/18/1989,747.547
10/19/1989,747.547
10/20/1989,747.547
10/23/1989,747.547
10/24/1989,747.547
10/25/1989,747.547
10/26/1989,747.547
10/27/1989,747.547
10/30/1989,747.547
10/31/1989,730.628
11/1/1989,730.628
11/2/1989,730.628
11/3/1989,730.628
11/6/1989,730.628
11/7/1989,730.628
11/8/1989,730.628
11/9/1989,730.628
11/10/1989,730.628
11/13/1989,730.628
11/14/1989,730.628
11/15/1989,730.628
11/16/1989,730.628
11/17/1989,730.628
11/20/1989,730.628
11/21/1989,730.628
11/22/1989,730.628
11/23/1989,730.628
11/24/1989,730.628
11/27/1989,730.628
11/28/1989,730.628
11/29/1989,730.628
11/30/1989,745.749
12/1/1989,745.749
12/4/1989,745.749
12/5/1989,745.749
12/6/1989,745.749
12/7/1989,745.749
12/8/1989,745.749
12/11/1989,745.749
12/12/1989,745.749
12/13/1989,745.749
12/14/1989,745.749
12/15/1989,745.749
12/18/1989,745.749
12/19/1989,745.749
12/20/1989,745.749
12/21/1989,745.749
12/22/1989,745.749
12/25/1989,745.749
12/26/1989,745.749
12/27/1989,745.749
12/28/1989,745.749
12/29/1989,762.584
1/1/1990,762.584
1/2/1990,762.584
1/3/1990,762.584
1/4/1990,762.584
1/5/1990,762.584
1/8/1990,762.584
1/9/1990,762.584
1/10/1990,762.584
1/11/1990,762.584
1/12/1990,762.584
1/15/1990,762.584
1/16/1990,762.584
1/17/1990,762.584
1/18/1990,762.584
1/19/1990,762.584
1/22/1990,762.584
1/23/1990,762.584
1/24/1990,762.584
1/25/1990,762.584
1/26/1990,762.584
