Start,8/31/1989
End,8/31/2009
Frequency,D
Name,S&P GSCI Commodity Spot -PRICE INDEX (~U$)
Code,CGSYSPT(PI)~U$
CURRENCY,U$
8/31/1989,183.95
9/1/1989,183.22
9/4/1989,183.22
9/5/1989,183.44
9/6/1989,185.1
9/7/1989,186.13
9/8/1989,187.39
9/11/1989,186.79
9/12/1989,186.41
9/13/1989,186.79
9/14/1989,186.5
9/15/1989,188.05
9/18/1989,188.11
9/19/1989,186.9
9/20/1989,189.54
9/21/1989,190.53
9/22/1989,189.07
9/25/1989,189.91
9/26/1989,190.04
9/27/1989,190.2
9/28/1989,191.66
9/29/1989,193.22
10/2/1989,192.35
10/3/1989,192.82
10/4/1989,191.8
10/5/1989,190.95
10/6/1989,190.28
10/9/1989,190.48
10/10/1989,191.66
10/11/1989,191.82
10/12/1989,193.39
10/13/1989,194.37
10/16/1989,192.71
10/17/1989,194.08
10/18/1989,193.32
10/19/1989,193.93
10/20/1989,192.67
10/23/1989,190.58
10/24/1989,190.01
10/25/1989,190.21
10/26/1989,188.46
10/27/1989,189.49
10/30/1989,188.68
10/31/1989,189.81
11/1/1989,191.48
11/2/1989,190.78
11/3/1989,191.28
11/6/1989,191.16
11/7/1989,191.55
11/8/1989,190.61
11/9/1989,191.23
11/10/1989,191.05
11/13/1989,190.24
11/14/1989,189.2
11/15/1989,190.04
11/16/1989,191.34
11/17/1989,192.58
11/20/1989,192.99
11/21/1989,193.05
11/22/1989,193.31
11/23/1989,193.31
11/24/1989,193.85
11/27/1989,192
11/28/1989,189.72
11/29/1989,189.65
11/30/1989,192.05
12/1/1989,193.53
12/4/1989,193.07
12/5/1989,193.93
12/6/1989,195
12/7/1989,194.84
12/8/1989,194.42
12/11/1989,195.47
12/12/1989,194.97
12/13/1989,194.96
12/14/1989,194.41
12/15/1989,196.63
12/18/1989,200.09
12/19/1989,199.37
12/20/1989,198.11
12/21/1989,200.93
12/22/1989,200.56
12/25/1989,200.56
12/26/1989,204.16
12/27/1989,206.2
12/28/1989,205.19
12/29/1989,207.25
1/1/1990,207.25
1/2/1990,212.09
1/3/1990,215.64
1/4/1990,212.14
1/5/1990,206.92
1/8/1990,199.75
1/9/1990,200.4
1/10/1990,203.71
1/11/1990,203.86
1/12/1990,202.92
1/15/1990,200.08
1/16/1990,199.83
1/17/1990,197.63
1/18/1990,198.64
1/19/1990,200.3
1/22/1990,198.52
1/23/1990,197.18
1/24/1990,196.75
1/25/1990,198.72
1/26/1990,199.39
1/29/1990,200.58
1/30/1990,199.02
1/31/1990,198.83
2/1/1990,198.52
2/2/1990,200.95
2/5/1990,198.32
2/6/1990,198.22
2/7/1990,197.53
2/8/1990,196.58
2/9/1990,195.28
2/12/1990,197.03
2/13/1990,197
2/14/1990,197.9
2/15/1990,199.77
2/16/1990,198.47
2/19/1990,198.47
2/20/1990,197.97
2/21/1990,196.8
2/22/1990,197.82
2/23/1990,197.3
2/26/1990,198.55
2/27/1990,196.68
2/28/1990,195.94
3/1/1990,192.86
3/2/1990,194.68
3/5/1990,197.91
3/6/1990,196.36
3/7/1990,195.72
3/8/1990,196.27
3/9/1990,194.66
3/12/1990,194.18
3/13/1990,194.28
3/14/1990,194.68
3/15/1990,197.52
3/16/1990,196.13
3/19/1990,195.47
3/20/1990,194.8
3/21/1990,195.85
3/22/1990,195.71
3/23/1990,197.61
3/26/1990,197.43
3/27/1990,197.34
3/28/1990,197
3/29/1990,197.5
3/30/1990,198.61
4/2/1990,200.4
4/3/1990,200.61
4/4/1990,198.58
4/5/1990,197.01
4/6/1990,195.88
4/9/1990,193.36
4/10/1990,190.95
4/11/1990,192.45
4/12/1990,190.82
4/13/1990,190.82
4/16/1990,192.05
4/17/1990,191.47
4/18/1990,190.12
4/19/1990,193.73
4/20/1990,193.56
4/23/1990,195.36
4/24/1990,194.84
4/25/1990,193.57
4/26/1990,193.29
4/27/1990,193.82
4/30/1990,193.94
5/1/1990,196.18
5/2/1990,195.88
5/3/1990,192.99
5/4/1990,193.35
5/7/1990,195.23
5/8/1990,194.76
5/9/1990,197.28
5/10/1990,196.61
5/11/1990,194.47
5/14/1990,196.83
5/15/1990,196.73
5/16/1990,196.8
5/17/1990,197.44
5/18/1990,197.17
5/21/1990,195.63
5/22/1990,195.34
5/23/1990,191.94
5/24/1990,192.23
5/25/1990,192.02
5/28/1990,192.02
5/29/1990,193.82
5/30/1990,193.34
5/31/1990,189.81
6/1/1990,189.29
6/4/1990,187.68
6/5/1990,186.57
6/6/1990,187.21
6/7/1990,185.72
6/8/1990,184.88
6/11/1990,184.55
6/12/1990,187.51
6/13/1990,187.37
6/14/1990,185.4
6/15/1990,184.52
6/18/1990,184.52
6/19/1990,182.76
6/20/1990,182.66
6/21/1990,183.08
6/22/1990,184.86
6/25/1990,185.85
6/26/1990,184.46
6/27/1990,182.9
6/28/1990,184.68
6/29/1990,184.18
7/2/1990,184.47
7/3/1990,184.18
7/4/1990,184.18
7/5/1990,182.79
7/6/1990,181.56
7/9/1990,181.89
7/10/1990,182.89
7/11/1990,184.43
7/12/1990,188.73
7/13/1990,190.9
7/16/1990,193.68
7/17/1990,193.4
7/18/1990,191.8
7/19/1990,192.09
7/20/1990,192.41
7/23/1990,193.65
7/24/1990,194.63
7/25/1990,194.82
7/26/1990,195.61
7/27/1990,194.43
7/30/1990,195.14
7/31/1990,196.8
8/1/1990,199.34
8/2/1990,205.16
8/3/1990,209.9
8/6/1990,226.32
8/7/1990,227.2
8/8/1990,216
8/9/1990,215
8/10/1990,218.57
8/13/1990,218.33
8/14/1990,219.37
8/15/1990,220.19
8/16/1990,224.23
8/17/1990,228.84
8/20/1990,233.4
8/21/1990,237.04
8/22/1990,247.2
8/23/1990,253.41
8/24/1990,247.01
8/27/1990,233.23
8/28/1990,229.47
8/29/1990,219.25
8/30/1990,223.42
8/31/1990,225.45
9/3/1990,225.45
9/4/1990,236.42
9/5/1990,237.69
9/6/1990,245.23
9/7/1990,238.5
9/10/1990,242.15
9/11/1990,238.59
9/12/1990,237.88
9/13/1990,237.07
9/14/1990,237.55
9/17/1990,242.24
9/18/1990,243.51
