Start,8/31/1989
End,8/31/2009
Frequency,D
Name,US TREASURY BILL 2ND MARKET 3 MONTH - MIDDLE RATE
Code,FRTBS3M
CURRENCY,U$
8/31/1989,7.89
9/1/1989,7.86
9/4/1989,7.86
9/5/1989,7.88
9/6/1989,7.82
9/7/1989,7.8
9/8/1989,7.78
9/11/1989,7.69
9/12/1989,7.62
9/13/1989,7.59
9/14/1989,7.58
9/15/1989,7.53
9/18/1989,7.61
9/19/1989,7.66
9/20/1989,7.81
9/21/1989,7.83
9/22/1989,7.76
9/25/1989,7.82
9/26/1989,7.76
9/27/1989,7.83
9/28/1989,7.87
9/29/1989,7.91
10/2/1989,7.89
10/3/1989,7.78
10/4/1989,7.78
10/5/1989,7.76
10/6/1989,7.58
10/9/1989,7.58
10/10/1989,7.63
10/11/1989,7.7
10/12/1989,7.7
10/13/1989,7.61
10/16/1989,7.44
10/17/1989,7.43
10/18/1989,7.5
10/19/1989,7.57
10/20/1989,7.55
10/23/1989,7.57
10/24/1989,7.5
10/25/1989,7.56
10/26/1989,7.6
10/27/1989,7.76
10/30/1989,7.75
10/31/1989,7.77
11/1/1989,7.78
11/2/1989,7.73
11/3/1989,7.84
11/6/1989,7.87
11/7/1989,7.75
11/8/1989,7.69
11/9/1989,7.7
11/10/1989,7.71
11/13/1989,7.7
11/14/1989,7.66
11/15/1989,7.64
11/16/1989,7.66
11/17/1989,7.68
11/20/1989,7.68
11/21/1989,7.63
11/22/1989,7.59
11/23/1989,7.59
11/24/1989,7.51
11/27/1989,7.66
11/28/1989,7.71
11/29/1989,7.66
11/30/1989,7.59
12/1/1989,7.53
12/4/1989,7.55
12/5/1989,7.56
12/6/1989,7.64
12/7/1989,7.69
12/8/1989,7.61
12/11/1989,7.64
12/12/1989,7.66
12/13/1989,7.69
12/14/1989,7.62
12/15/1989,7.62
12/18/1989,7.6
12/19/1989,7.67
12/20/1989,7.57
12/21/1989,7.56
12/22/1989,7.59
12/25/1989,7.59
12/26/1989,7.76
12/27/1989,7.73
12/28/1989,7.68
12/29/1989,7.55
1/1/1990,7.55
1/2/1990,7.58
1/3/1990,7.63
1/4/1990,7.59
1/5/1990,7.54
1/8/1990,7.54
1/9/1990,7.55
1/10/1990,7.5
1/11/1990,7.55
1/12/1990,7.5
1/15/1990,7.5
1/16/1990,7.63
1/17/1990,7.71
1/18/1990,7.78
1/19/1990,7.74
1/22/1990,7.73
1/23/1990,7.67
1/24/1990,7.67
1/25/1990,7.69
1/26/1990,7.68
1/29/1990,7.74
1/30/1990,7.74
1/31/1990,7.74
2/1/1990,7.76
2/2/1990,7.81
2/5/1990,7.82
2/6/1990,7.82
2/7/1990,7.81
2/8/1990,7.81
2/9/1990,7.76
2/12/1990,7.73
2/13/1990,7.58
2/14/1990,7.61
2/15/1990,7.71
2/16/1990,7.69
2/19/1990,7.69
2/20/1990,7.8
2/21/1990,7.75
2/22/1990,7.73
2/23/1990,7.68
2/26/1990,7.71
2/27/1990,7.73
2/28/1990,7.77
3/1/1990,7.81
3/2/1990,7.76
3/5/1990,7.82
3/6/1990,7.9
3/7/1990,7.91
3/8/1990,7.91
3/9/1990,7.99
3/12/1990,7.99
3/13/1990,7.98
3/14/1990,7.95
3/15/1990,7.94
3/16/1990,7.92
3/19/1990,7.94
3/20/1990,7.97
3/21/1990,7.95
3/22/1990,7.9
3/23/1990,7.88
3/26/1990,7.86
3/27/1990,7.9
3/28/1990,7.85
3/29/1990,7.83
3/30/1990,7.8
4/2/1990,7.78
4/3/1990,7.82
4/4/1990,7.75
4/5/1990,7.76
4/6/1990,7.76
4/9/1990,7.82
4/10/1990,7.78
4/11/1990,7.76
4/12/1990,7.76
4/13/1990,7.76
4/16/1990,7.74
4/17/1990,7.76
4/18/1990,7.81
4/19/1990,7.79
4/20/1990,7.69
4/23/1990,7.73
4/24/1990,7.76
4/25/1990,7.79
4/26/1990,7.82
4/27/1990,7.79
4/30/1990,7.79
5/1/1990,7.92
5/2/1990,7.9
5/3/1990,7.88
5/4/1990,7.76
5/7/1990,7.82
5/8/1990,7.79
5/9/1990,7.75
5/10/1990,7.71
5/11/1990,7.62
5/14/1990,7.63
5/15/1990,7.65
5/16/1990,7.67
5/17/1990,7.67
5/18/1990,7.75
5/21/1990,7.75
5/22/1990,7.73
5/23/1990,7.65
5/24/1990,7.69
5/25/1990,7.75
5/28/1990,7.75
5/29/1990,7.75
5/30/1990,7.76
5/31/1990,7.75
6/1/1990,7.68
6/4/1990,7.7
6/5/1990,7.7
6/6/1990,7.7
6/7/1990,7.7
6/8/1990,7.7
6/11/1990,7.73
6/12/1990,7.73
6/13/1990,7.67
6/14/1990,7.66
6/15/1990,7.69
6/18/1990,7.67
6/19/1990,7.74
6/20/1990,7.76
6/21/1990,7.77
6/22/1990,7.78
6/25/1990,7.79
6/26/1990,7.8
6/27/1990,7.78
6/28/1990,7.74
6/29/1990,7.74
7/2/1990,7.74
7/3/1990,7.7
7/4/1990,7.7
7/5/1990,7.66
7/6/1990,7.75
7/9/1990,7.8
7/10/1990,7.8
7/11/1990,7.78
7/12/1990,7.68
7/13/1990,7.6
7/16/1990,7.61
7/17/1990,7.61
7/18/1990,7.55
7/19/1990,7.54
7/20/1990,7.54
7/23/1990,7.48
7/24/1990,7.53
7/25/1990,7.56
7/26/1990,7.58
7/27/1990,7.52
7/30/1990,7.5
7/31/1990,7.49
8/1/1990,7.42
8/2/1990,7.43
8/3/1990,7.29
8/6/1990,7.3
8/7/1990,7.37
8/8/1990,7.38
8/9/1990,7.41
8/10/1990,7.4
8/13/1990,7.42
8/14/1990,7.43
8/15/1990,7.45
8/16/1990,7.48
8/17/1990,7.47
8/20/1990,7.52
8/21/1990,7.57
8/22/1990,7.59
8/23/1990,7.54
8/24/1990,7.49
8/27/1990,7.53
8/28/1990,7.48
8/29/1990,7.47
8/30/1990,7.45
8/31/1990,7.39
9/3/1990,7.39
9/4/1990,7.39
9/5/1990,7.37
9/6/1990,7.38
9/7/1990,7.39
9/10/1990,7.43
9/11/1990,7.42
9/12/1990,7.37
9/13/1990,7.35
9/14/1990,7.35
9/17/1990,7.37
