Start,1/31/1990
End,8/31/2009
Frequency,D
Name,BARCLAYS GLOBAL AGGREGATE
Code,LHMGAGG
CURRENCY,U$
1/31/1990,97.9
2/1/1990,97.9
2/2/1990,97.9
2/5/1990,97.9
2/6/1990,97.9
2/7/1990,97.9
2/8/1990,97.9
2/9/1990,97.9
2/12/1990,97.9
2/13/1990,97.9
2/14/1990,97.9
2/15/1990,97.9
2/16/1990,97.9
2/19/1990,97.9
2/20/1990,97.9
2/21/1990,97.9
2/22/1990,97.9
2/23/1990,97.9
2/26/1990,97.9
2/27/1990,97.9
2/28/1990,97.03
3/1/1990,97.03
3/2/1990,97.03
3/5/1990,97.03
3/6/1990,97.03
3/7/1990,97.03
3/8/1990,97.03
3/9/1990,97.03
3/12/1990,97.03
3/13/1990,97.03
3/14/1990,97.03
3/15/1990,97.03
3/16/1990,97.03
3/19/1990,97.03
3/20/1990,97.03
3/21/1990,97.03
3/22/1990,97.03
3/23/1990,97.03
3/26/1990,97.03
3/27/1990,97.03
3/28/1990,97.03
3/29/1990,97.03
3/30/1990,96.35
4/2/1990,96.35
4/3/1990,96.35
4/4/1990,96.35
4/5/1990,96.35
4/6/1990,96.35
4/9/1990,96.35
4/10/1990,96.35
4/11/1990,96.35
4/12/1990,96.35
4/13/1990,96.35
4/16/1990,96.35
4/17/1990,96.35
4/18/1990,96.35
4/19/1990,96.35
4/20/1990,96.35
4/23/1990,96.35
4/24/1990,96.35
4/25/1990,96.35
4/26/1990,96.35
4/27/1990,96.35
4/30/1990,95.11
5/1/1990,95.11
5/2/1990,95.11
5/3/1990,95.11
5/4/1990,95.11
5/7/1990,95.11
5/8/1990,95.11
5/9/1990,95.11
5/10/1990,95.11
5/11/1990,95.11
5/14/1990,95.11
5/15/1990,95.11
5/16/1990,95.11
5/17/1990,95.11
5/18/1990,95.11
5/21/1990,95.11
5/22/1990,95.11
5/23/1990,95.11
5/24/1990,95.11
5/25/1990,95.11
5/28/1990,95.11
5/29/1990,95.11
5/30/1990,95.11
5/31/1990,97.15
6/1/1990,97.15
6/4/1990,97.15
6/5/1990,97.15
6/6/1990,97.15
6/7/1990,97.15
6/8/1990,97.15
6/11/1990,97.15
6/12/1990,97.15
6/13/1990,97.15
6/14/1990,97.15
6/15/1990,97.15
6/18/1990,97.15
6/19/1990,97.15
6/20/1990,97.15
6/21/1990,97.15
6/22/1990,97.15
6/25/1990,97.15
6/26/1990,97.15
6/27/1990,97.15
6/28/1990,97.15
6/29/1990,97.72
7/2/1990,97.72
7/3/1990,97.72
7/4/1990,97.72
7/5/1990,97.72
7/6/1990,97.72
7/9/1990,97.72
7/10/1990,97.72
7/11/1990,97.72
7/12/1990,97.72
7/13/1990,97.72
7/16/1990,97.72
7/17/1990,97.72
7/18/1990,97.72
7/19/1990,97.72
7/20/1990,97.72
7/23/1990,97.72
7/24/1990,97.72
7/25/1990,97.72
7/26/1990,97.72
7/27/1990,97.72
7/30/1990,97.72
7/31/1990,98.09
8/1/1990,98.09
8/2/1990,98.09
8/3/1990,98.09
8/6/1990,98.09
8/7/1990,98.09
8/8/1990,98.09
8/9/1990,98.09
8/10/1990,98.09
8/13/1990,98.09
8/14/1990,98.09
8/15/1990,98.09
8/16/1990,98.09
8/17/1990,98.09
8/20/1990,98.09
8/21/1990,98.09
8/22/1990,98.09
8/23/1990,98.09
8/24/1990,98.09
8/27/1990,98.09
8/28/1990,98.09
8/29/1990,98.09
8/30/1990,98.09
8/31/1990,96
9/3/1990,96
9/4/1990,96
9/5/1990,96
9/6/1990,96
9/7/1990,96
9/10/1990,96
9/11/1990,96
9/12/1990,96
9/13/1990,96
9/14/1990,96
9/17/1990,96
9/18/1990,96
9/19/1990,96
9/20/1990,96
9/21/1990,96
9/24/1990,96
9/25/1990,96
9/26/1990,96
9/27/1990,96
9/28/1990,95.71
10/1/1990,95.71
10/2/1990,95.71
10/3/1990,95.71
10/4/1990,95.71
10/5/1990,95.71
10/8/1990,95.71
10/9/1990,95.71
10/10/1990,95.71
10/11/1990,95.71
10/12/1990,95.71
10/15/1990,95.71
10/16/1990,95.71
10/17/1990,95.71
10/18/1990,95.71
10/19/1990,95.71
10/22/1990,95.71
10/23/1990,95.71
10/24/1990,95.71
10/25/1990,95.71
10/26/1990,95.71
10/29/1990,95.71
10/30/1990,95.71
10/31/1990,96.75
11/1/1990,96.75
11/2/1990,96.75
11/5/1990,96.75
11/6/1990,96.75
11/7/1990,96.75
11/8/1990,96.75
11/9/1990,96.75
11/12/1990,96.75
11/13/1990,96.75
11/14/1990,96.75
11/15/1990,96.75
11/16/1990,96.75
11/19/1990,96.75
11/20/1990,96.75
11/21/1990,96.75
11/22/1990,96.75
11/23/1990,96.75
11/26/1990,96.75
11/27/1990,96.75
11/28/1990,96.75
11/29/1990,96.75
11/30/1990,98.04
12/3/1990,98.04
12/4/1990,98.04
12/5/1990,98.04
12/6/1990,98.04
12/7/1990,98.04
12/10/1990,98.04
12/11/1990,98.04
12/12/1990,98.04
12/13/1990,98.04
12/14/1990,98.04
12/17/1990,98.04
12/18/1990,98.04
12/19/1990,98.04
12/20/1990,98.04
12/21/1990,98.04
12/24/1990,98.04
12/25/1990,98.04
12/26/1990,98.04
12/27/1990,98.04
12/28/1990,98.04
12/31/1990,98.78
1/1/1991,98.78
1/2/1991,98.78
1/3/1991,98.78
1/4/1991,98.78
1/7/1991,98.78
1/8/1991,98.78
1/9/1991,98.78
1/10/1991,98.78
1/11/1991,98.78
1/14/1991,98.78
1/15/1991,98.78
1/16/1991,98.78
1/17/1991,98.78
1/18/1991,98.78
1/21/1991,98.78
1/22/1991,98.78
1/23/1991,98.78
1/24/1991,98.78
1/25/1991,98.78
1/28/1991,98.78
1/29/1991,98.78
1/30/1991,98.78
1/31/1991,99.48
2/1/1991,99.48
2/4/1991,99.48
2/5/1991,99.48
2/6/1991,99.48
2/7/1991,99.48
2/8/1991,99.48
2/11/1991,99.48
2/12/1991,99.48
2/13/1991,99.48
2/14/1991,99.48
2/15/1991,99.48
2/18/1991,99.48
2/19/1991,99.48
2/20/1991,99.48
2/21/1991,99.48
2/22/1991,99.48
