Date[G],Last
19990104,1992.325
19990105,1975.145
19990106,2033.986
19990107,2038.249
19990108,2045.915
19990111,2067.354
19990112,2033.195
19990113,1982.603
19990114,1972.562
19990115,1968.092
19990119,1947.208
19990120,1930.919
19990121,1963.145
19990122,1972.294
19990125,1946.725
19990126,1928.247
19990127,1943.183
19990128,1960.785
19990129,1974.228
19990201,1948.959
19990202,1955.319
19990203,1955.808
19990204,1944.336
19990205,1936.892
19990208,1931.899
19990209,1921.417
19990210,1916.915
19990211,1912.739
19990212,1909.577
19990216,1869.314
19990217,1873.701
19990218,1901.492
19990219,1890.193
19990222,1887.839
19990223,1915.362
19990224,1910
19990225,1918.037
19990226,1883.287
19990301,1888.234
19990302,1910.28
19990303,1932.68
19990304,1963.199
19990305,1972.348
19990308,1997.905
19990309,2007.324
19990310,2068.263
19990311,2039.598
19990312,2038.573
19990315,2026.701
19990316,2032.996
19990317,2078.269
19990318,2073.851
19990319,2090.77
19990322,2132.388
19990323,2117.784
19990324,2100.966
19990325,2136.373
19990326,2175.436
19990329,2186.112
19990330,2206.3
19990331,2201.424
19990401,2186.302
19990405,2202.482
19990406,2201.895
19990407,2151.069
19990408,2133.228
19990409,2179.873
19990412,2168.441
19990413,2189.713
19990414,2167.899
19990415,2191.663
19990416,2213.956
19990419,2234.489
19990420,2226.641
19990421,2243.864
19990422,2251.327
19990423,2244.433
19990426,2231.316
19990427,2238.743
19990428,2278.269
19990429,2289.007
19990430,2292.402
19990503,2302.591
19990504,2312.797
19990505,2314.605
19990506,2277.849
19990507,2262.638
19990510,2280.099
19990511,2258.861
19990512,2231.311
19990513,2257.765
19990514,2252.818
19990517,2245.284
19990518,2200.096
19990519,2188.301
19990520,2188.82
19990521,2201.542
19990524,2165.509
19990525,2172.19
19990526,2185.236
19990527,2173.819
19990528,2167.308
19990601,2136.699
19990602,2165.161
19990603,2175.075
19990604,2210.615
19990607,2246.21
19990608,2230.298
19990609,2249.804
19990610,2238.889
19990611,2274.703
19990614,2277.904
19990615,2278.646
19990616,2245.596
19990617,2255.336
19990618,2253.811
19990621,2232.745
19990622,2225.897
19990623,2260.652
19990624,2250.427
19990625,2252.404
19990628,2239.395
19990629,2255.918
19990630,2306.702
19990701,2296.955
19990702,2296.783
19990706,2283.185
19990707,2289.535
19990708,2290.474
19990709,2297.624
19990712,2299.052
19990713,2312.415
19990714,2307.076
19990715,2329.346
