Start,8/21/1989
End,8/21/2009
Frequency,D
Name,US BENCHMARK 10 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX
Code,BMUS10Y
CURRENCY,U$
8/21/1989,105.475
8/22/1989,104.883
8/23/1989,105.382
8/24/1989,105.538
8/25/1989,105.351
8/28/1989,104.945
8/29/1989,105.008
8/30/1989,105.257
8/31/1989,105.07
9/1/1989,105.638
9/4/1989,105.638
9/5/1989,105.588
9/6/1989,105.705
9/7/1989,105.521
9/8/1989,105.888
9/11/1989,105.955
9/12/1989,105.922
9/13/1989,105.621
9/14/1989,105.955
9/15/1989,106.289
9/18/1989,106.189
9/19/1989,106.222
9/20/1989,105.654
9/21/1989,105.487
9/22/1989,105.387
9/25/1989,104.652
9/26/1989,104.886
9/27/1989,104.752
9/28/1989,104.652
9/29/1989,104.819
10/2/1989,104.919
10/3/1989,105.387
10/4/1989,105.37
10/5/1989,105.988
10/6/1989,105.988
10/9/1989,106.889
10/10/1989,106.622
10/11/1989,106.288
10/12/1989,106.455
10/13/1989,108.025
10/16/1989,107.056
10/17/1989,106.722
10/18/1989,106.789
10/19/1989,107.223
10/20/1989,107.023
10/23/1989,107.591
10/24/1989,107.724
10/25/1989,107.757
10/26/1989,107.724
10/27/1989,107.34
10/30/1989,107.49
10/31/1989,107.49
11/1/1989,107.724
11/2/1989,107.791
11/3/1989,107.123
11/6/1989,107.056
11/7/1989,107.757
11/8/1989,107.824
11/9/1989,107.557
11/10/1989,107.49
11/13/1989,107.457
11/14/1989,107.523
11/15/1989,107.924
11/16/1989,107.924
11/17/1989,107.423
11/20/1989,107.456
11/21/1989,107.623
11/22/1989,107.89
11/23/1989,107.89
11/24/1989,108.024
11/27/1989,107.656
11/28/1989,107.59
11/29/1989,107.456
11/30/1989,107.757
12/1/1989,107.941
12/4/1989,107.841
12/5/1989,107.874
12/6/1989,107.639
12/7/1989,107.437
12/8/1989,107.874
12/11/1989,107.773
12/12/1989,107.773
12/13/1989,107.773
12/14/1989,108.075
12/15/1989,107.975
12/18/1989,108.176
12/19/1989,108.243
12/20/1989,108.243
12/21/1989,108.277
12/22/1989,107.874
12/25/1989,107.874
12/26/1989,107.269
12/27/1989,107.034
12/28/1989,107.303
12/29/1989,107.068
1/1/1990,107.068
1/2/1990,107.034
1/3/1990,106.698
1/4/1990,106.732
1/5/1990,106.648
1/8/1990,106.396
1/9/1990,106.463
1/10/1990,106.429
1/11/1990,106.194
1/12/1990,105.892
1/15/1990,105.724
1/16/1990,105.086
1/17/1990,105.153
1/18/1990,104.415
1/19/1990,104.885
1/22/1990,104.616
1/23/1990,103.978
1/24/1990,103.944
1/25/1990,103.609
1/26/1990,102.803
1/29/1990,102.803
1/30/1990,103.004
1/31/1990,103.609
2/1/1990,103.642
2/2/1990,103.071
2/5/1990,102.903
2/6/1990,102.484
2/7/1990,102.752
2/8/1990,103.357
2/9/1990,104.23
2/12/1990,103.592
2/13/1990,103.692
2/14/1990,103.692
2/15/1990,103.356
2/16/1990,103.289
2/19/1990,103.289
2/20/1990,101.812
2/21/1990,101.812
2/22/1990,102.584
2/23/1990,102.483
2/26/1990,103.054
2/27/1990,103.356
2/28/1990,102.651
3/1/1990,102.201
3/2/1990,102.49
3/5/1990,101.848
3/6/1990,102.33
3/7/1990,102.201
3/8/1990,102.394
3/9/1990,101.88
3/12/1990,101.88
3/13/1990,101.302
3/14/1990,101.88
3/15/1990,101.719
3/16/1990,102.265
3/19/1990,102.233
3/20/1990,102.522
3/21/1990,102.297
3/22/1990,102.554
3/23/1990,102.586
3/26/1990,102.779
3/27/1990,102.683
3/28/1990,102.779
3/29/1990,102.008
3/30/1990,101.879
4/2/1990,101.815
4/3/1990,101.912
4/4/1990,102.522
4/5/1990,102.361
4/6/1990,102.393
4/9/1990,102.168
4/10/1990,101.879
4/11/1990,102.008
4/12/1990,101.847
4/13/1990,101.847
4/16/1990,101.622
4/17/1990,101.141
4/18/1990,100.402
4/19/1990,100.338
4/20/1990,99.792
4/23/1990,99.567
4/24/1990,99.599
4/25/1990,99.438
