Start,1/1/1962
End,9/11/2009
Frequency,D
Name,S&P 500 COMPOSITE - TOT RETURN IND (~U$)
Code,S&PCOMP(RI)~U$
CURRENCY,U$
1/4/1988,256.01
1/5/1988,258.77
1/6/1988,259.03
1/7/1988,261.21
1/8/1988,243.54
1/11/1988,247.67
1/12/1988,245.6
1/13/1988,246.02
1/14/1988,246.09
1/15/1988,252.28
1/18/1988,252.11
1/19/1988,249.57
1/20/1988,242.87
1/21/1988,243.38
1/22/1988,246.75
1/25/1988,252.5
1/26/1988,249.95
1/27/1988,249.76
1/28/1988,253.67
1/29/1988,257.47
2/1/1988,255.51
2/2/1988,256.14
2/3/1988,252.79
2/4/1988,252.96
2/5/1988,251.91
2/8/1988,250.1
2/9/1988,252.77
2/10/1988,257.76
2/11/1988,257.06
2/12/1988,258.87
2/15/1988,258.87
2/16/1988,261.14
2/17/1988,260.53
2/18/1988,259.23
2/19/1988,262.96
2/22/1988,267.07
2/23/1988,266.48
2/24/1988,265.96
2/25/1988,263.1
2/26/1988,263.99
2/29/1988,269.47
3/1/1988,269.44
3/2/1988,269.75
3/3/1988,269.65
3/4/1988,269.1
3/7/1988,269.22
3/8/1988,271.34
3/9/1988,271.03
3/10/1988,265.78
3/11/1988,266.89
3/14/1988,268.36
3/15/1988,268.13
3/16/1988,270.87
3/17/1988,273.27
3/18/1988,273.18
3/21/1988,270.79
3/22/1988,270.9
3/23/1988,270.98
3/24/1988,265.38
3/25/1988,260.72
3/28/1988,260.28
3/29/1988,262.33
3/30/1988,260.32
3/31/1988,261.15
4/1/1988,261.15
4/4/1988,258.41
4/5/1988,260.89
4/6/1988,267.94
4/7/1988,268.61
4/8/1988,271.91
4/11/1988,272.68
4/12/1988,273.9
4/13/1988,274.1
4/14/1988,262.21
4/15/1988,262.23
4/18/1988,261.68
4/19/1988,260.39
4/20/1988,258.58
4/21/1988,258.88
4/22/1988,262.63
4/25/1988,265.04
4/26/1988,266.61
4/27/1988,266.51
4/28/1988,265.32
4/29/1988,264.04
5/2/1988,264.33
5/3/1988,265.89
5/4/1988,263.23
5/5/1988,261.84
5/6/1988,260.59
5/9/1988,259.88
5/10/1988,261.01
5/11/1988,256.65
5/12/1988,257.21
5/13/1988,260.2
5/16/1988,262.29
5/17/1988,259.05
5/18/1988,255.02
5/19/1988,256.3
5/20/1988,256.76
5/23/1988,254.58
5/24/1988,257.33
5/25/1988,257.64
5/26/1988,258.53
5/27/1988,257.4
5/30/1988,257.4
5/31/1988,266.32
6/1/1988,270.95
6/2/1988,269.58
6/3/1988,270.74
6/6/1988,271.41
6/7/1988,269.56
6/8/1988,276.02
6/9/1988,274.78
6/10/1988,275.87
6/13/1988,276.06
6/14/1988,279.01
6/15/1988,279.17
6/16/1988,274.42
6/17/1988,275.36
6/20/1988,273.62
6/21/1988,276.4
6/22/1988,280.46
6/23/1988,279.61
6/24/1988,278.74
6/27/1988,273.97
6/28/1988,277.32
6/29/1988,275.97
6/30/1988,278.54
7/1/1988,276.86
7/4/1988,276.86
7/5/1988,281.05
7/6/1988,277.19
7/7/1988,276.95
7/8/1988,275.15
7/11/1988,275.72
7/12/1988,272.97
7/13/1988,274.47
7/14/1988,275.47
7/15/1988,277.29
7/18/1988,275.74
7/19/1988,273.67
7/20/1988,275.23
7/21/1988,271.83
7/22/1988,268.61
7/25/1988,269.88
7/26/1988,270.45
7/27/1988,267.76
7/28/1988,271.35
7/29/1988,277.49
8/1/1988,277.76
8/2/1988,277.71
8/3/1988,278.68
8/4/1988,277.81
8/5/1988,277.07
8/8/1988,275.96
8/9/1988,272.57
8/10/1988,267.89
