"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.867153818,0,0.003976072,0.128870109
"Q2y_1984",0.888088132,0,0,0.111911868
"Q3y_1984",0.809114089,0,0,0.190885911
"Q4y_1984",0.778632275,0,0,0.221367725
"Q1y_1985",0.719804116,0.019926732,0,0.260269151
"Q2y_1985",0.765141806,0.003366314,0,0.23149188
"Q3y_1985",0.717891479,0.016948499,0.013626696,0.251533326
"Q4y_1985",0.801796982,0,0.007265266,0.190937752
"Q1y_1986",0.730135232,0.012729138,0.027616038,0.229519591
"Q2y_1986",0.789660325,0.003781201,0,0.206558473
"Q3y_1986",0.842602263,0,0,0.157397737
"Q4y_1986",0.883304956,0,0,0.116695044
"Q1y_1987",0.904219315,0,0,0.095780685
"Q2y_1987",0.917839118,0,0,0.082160882
"Q3y_1987",0.852272741,0,0,0.147727259
"Q4y_1987",0.813043454,0.009030842,0,0.177925703
"Q1y_1988",0.791490788,0,0,0.208509212
"Q2y_1988",0.751723454,0,0,0.248276546
"Q3y_1988",0.773391851,0,0,0.226608149
"Q4y_1988",0.817257282,0,0,0.182742718
"Q1y_1989",0.835977808,0,0,0.164022192
"Q2y_1989",0.860907659,0,0,0.139092341
"Q3y_1989",0.826078671,0,0,0.173921329
"Q4y_1989",0.826154853,0,0,0.173845147
"Q1y_1990",0.857154634,0,0,0.142845366
"Q2y_1990",0.863076337,0,0,0.136923663
"Q3y_1990",0.843779997,0,0,0.156220003
"Q4y_1990",0.8595151,0.002438433,0,0.138046467
"Q1y_1991",0.873736691,0,0,0.126263309
"Q2y_1991",0.907276363,0,0,0.092723637
"Q3y_1991",0.919478438,0,0,0.080521562
"Q4y_1991",0.908250909,0,0,0.091749091
"Q1y_1992",0.88632953,0,0,0.11367047
"Q2y_1992",0.861875883,0,0,0.138124117
"Q3y_1992",0.888109933,0,0,0.111890067
"Q4y_1992",0.910304949,0,0,0.089695051
"Q1y_1993",0.879123191,0.002802865,0.005727317,0.112346627
"Q2y_1993",0.811091385,0.006929335,0,0.18197928
