"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.250159993,0.249880498,0.249811394,0.250148115
"Q2y_1981",0.250135625,0.249742144,0.24998743,0.2501348
"Q3y_1981",0.250359144,0.25028258,0.249383459,0.249974817
"Q4y_1981",0.250191568,0.249981865,0.250190024,0.249636542
"Q1y_1982",0.250073788,0.249883332,0.249904748,0.250138132
"Q2y_1982",0.249997445,0.249895317,0.250149086,0.249958153
"Q3y_1982",0.250051328,0.250207452,0.249819169,0.249922051
"Q4y_1982",0.250070812,0.249986317,0.249872432,0.250070438
"Q1y_1983",0.250026411,0.250020388,0.2499282,0.250025001
"Q2y_1983",0.250137931,0.250336285,0.249693207,0.249832578
"Q3y_1983",0.250134176,0.250082111,0.250109451,0.249674262
"Q4y_1983",0.250148431,0.249900472,0.250095652,0.249855446
"Q1y_1984",0.250217526,0.24993006,0.250185252,0.249667161
"Q2y_1984",0.250144511,0.249989248,0.249957717,0.249908524
"Q3y_1984",0.250151734,0.249922909,0.249867313,0.250058043
"Q4y_1984",0.250306218,0.249846745,0.249638202,0.250208835
"Q1y_1985",0.250117503,0.249850071,0.250241112,0.249791314
"Q2y_1985",0.250200995,0.249562547,0.250037019,0.250199438
"Q3y_1985",0.250138026,0.249838023,0.250187723,0.249836228
"Q4y_1985",0.250242658,0.249523072,0.249991613,0.250242657
"Q1y_1986",0.25020529,0.249855801,0.24988708,0.250051829
"Q2y_1986",0.250091943,0.250091626,0.249790352,0.250026079
"Q3y_1986",0.250238801,0.249597003,0.250103424,0.250060771
"Q4y_1986",0.250348356,0.249184809,0.250072021,0.250394814
"Q1y_1987",0.250172222,0.250091763,0.249563932,0.250172082
"Q2y_1987",0.250354963,0.25035391,0.249987281,0.249303846
"Q3y_1987",0.25026347,0.24990738,0.250067601,0.249761549
"Q4y_1987",0.250219934,0.249955988,0.249676709,0.250147368
"Q1y_1988",0.250383031,0.249222389,0.250014912,0.250379669
"Q2y_1988",0.250237771,0.250011894,0.249824289,0.249926046
"Q3y_1988",0.250388673,0.250296659,0.249613207,0.24970146
"Q4y_1988",0.250120676,0.249881202,0.249877446,0.250120676
"Q1y_1989",0.250205812,0.249661535,0.250202554,0.249930099
"Q2y_1989",0.250292425,0.249327521,0.250126431,0.250253623
"Q3y_1989",0.25011646,0.249943138,0.24983444,0.250105961
"Q4y_1989",0.250364182,0.249111825,0.250353967,0.250170026
"Q1y_1990",0.250383756,0.249186188,0.250104859,0.250325196
"Q2y_1990",0.250358047,0.249141378,0.250145698,0.250354878
"Q3y_1990",0.25033747,0.250035049,0.249387429,0.250240052
"Q4y_1990",0.250152869,0.250093658,0.249896388,0.249857086
"Q1y_1991",0.250312888,0.249977163,0.250169217,0.249540732
"Q2y_1991",0.25038943,0.249139877,0.250271367,0.250199325
"Q3y_1991",0.250193881,0.249966035,0.249855199,0.249984885
"Q4y_1991",0.250544467,0.249322581,0.249676809,0.250456143
"Q1y_1992",0.250481046,0.249201771,0.250095696,0.250221486
"Q2y_1992",0.250196647,0.250149045,0.249691081,0.249963226
"Q3y_1992",0.25051383,0.249625467,0.249555697,0.250305006
"Q4y_1992",0.250099856,0.249963825,0.249836465,0.250099853
"Q1y_1993",0.250453662,0.249188281,0.249904409,0.250453648
"Q2y_1993",0.250556838,0.250078393,0.248993143,0.250371626
"Q3y_1993",0.25040975,0.249336726,0.2498502,0.250403324
"Q4y_1993",0.250209278,0.249526327,0.250205837,0.250058558
"Q1y_1994",0.250196909,0.249649918,0.250093186,0.250059987
"Q2y_1994",0.25037407,0.250266739,0.249620202,0.249738988
"Q3y_1994",0.250127919,0.249943808,0.249737238,0.250191036
"Q4y_1994",0.250056779,0.250052172,0.249916443,0.249974606
"Q1y_1995",0.25017141,0.250170567,0.249495672,0.250162351
"Q2y_1995",0.250185936,0.249890831,0.249991873,0.249931361
"Q3y_1995",0.250128337,0.249658231,0.250085661,0.250127771
