"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.103150255,0.29897995,0.298962705,0.298907089
"Q2y_1984",0.070368963,0.30987708,0.309876846,0.30987711
"Q3y_1984",0.198562225,0.267146023,0.267145968,0.267145785
"Q4y_1984",0.169201115,0.276944299,0.276947632,0.276906955
"Q1y_1985",0.197286934,0.267598918,0.267532178,0.26758197
"Q2y_1985",0.185614755,0.271461861,0.271461803,0.271461581
"Q3y_1985",0.225914371,0.258028648,0.258028691,0.25802829
"Q4y_1985",0.188919583,0.270378402,0.270336874,0.270365141
"Q1y_1986",0.140675256,0.286442763,0.286441634,0.286440346
"Q2y_1986",0.177272384,0.274226039,0.274255535,0.274246042
"Q3y_1986",0.166080326,0.277981986,0.277999735,0.277937953
"Q4y_1986",0.098159371,0.300613784,0.300613512,0.300613334
"Q1y_1987",0.075969937,0.308038035,0.308044048,0.30794798
"Q2y_1987",0.047365258,0.317545236,0.317544443,0.317545063
"Q3y_1987",0.121836858,0.292768637,0.292739987,0.292654518
"Q4y_1987",0.141605059,0.286162221,0.286103041,0.286129679
"Q1y_1988",-0.018359307,0.339453097,0.339453077,0.339453132
"Q2y_1988",0.136973436,0.287695289,0.287639829,0.287691446
"Q3y_1988",0.11689059,0.294404417,0.294339112,0.294365881
"Q4y_1988",0.09341694,0.302193868,0.302194627,0.302194564
"Q1y_1989",0.105504383,0.298158363,0.298173042,0.298164212
"Q2y_1989",0.095535204,0.301521752,0.30152691,0.301416134
"Q3y_1989",0.05768373,0.314105177,0.314105727,0.314105366
"Q4y_1989",0.100486897,0.299837783,0.299837471,0.299837848
"Q1y_1990",0.038578279,0.320472602,0.32044403,0.320505089
"Q2y_1990",0.065332469,0.311558492,0.311551445,0.311557593
"Q3y_1990",0.066431957,0.311187294,0.311191471,0.311189278
"Q4y_1990",-5.2181e-05,0.33335075,0.333350623,0.333350809
"Q1y_1991",-0.025461984,0.341839499,0.341756008,0.341866477
"Q2y_1991",-0.031298861,0.343776525,0.34375345,0.343768887
"Q3y_1991",-0.011359972,0.337121629,0.337120729,0.337117613
"Q4y_1991",-0.029700066,0.343228049,0.343245674,0.343226343
"Q1y_1992",-0.050632355,0.350211844,0.350212788,0.350207722
"Q2y_1992",0.003242135,0.332252565,0.332252364,0.332252937
"Q3y_1992",-0.037325279,0.345793664,0.34578593,0.345745685
"Q4y_1992",-0.043395851,0.347798404,0.347798894,0.347798552
"Q1y_1993",-0.009314209,0.336434562,0.336492519,0.336387128
"Q2y_1993",-0.02393442,0.341310378,0.34134006,0.341283982
"Q3y_1993",-0.034173137,0.344724568,0.344724621,0.344723948
"Q4y_1993",-0.034333398,0.34475905,0.344785935,0.344788412
"Q1y_1994",-0.007295443,0.33576519,0.335765059,0.335765194
"Q2y_1994",0.068482034,0.310534314,0.310514356,0.310469296
"Q3y_1994",0.111899458,0.296033612,0.296033395,0.296033535
"Q4y_1994",0.100769979,0.29984225,0.299752968,0.299634803
"Q1y_1995",0.10893067,0.297048228,0.296979853,0.297041249
"Q2y_1995",0.131695158,0.289435003,0.289435069,0.28943477
"Q3y_1995",0.156931182,0.281051665,0.280980336,0.281036817
"Q4y_1995",0.130855067,0.289719207,0.289691083,0.289734643
"Q1y_1996",0.142380091,0.285920108,0.285782704,0.285917097
"Q2y_1996",0.208597285,0.263795439,0.263803326,0.263803951
"Q3y_1996",0.250004938,0.24998491,0.249999155,0.250010998
"Q4y_1996",0.140426728,0.286518072,0.286528239,0.286526961
"Q1y_1997",0.128327374,0.290557408,0.290557522,0.290557696
"Q2y_1997",0.124282847,0.291874395,0.29191738,0.291925378
"Q3y_1997",0.131143555,0.289603415,0.289691618,0.289561412
"Q4y_1997",0.127921331,0.290795077,0.290515602,0.29076799
"Q1y_1998",0.085672121,0.304777067,0.304773936,0.304776877
"Q2y_1998",0.091231065,0.302970399,0.30286301,0.302935526
"Q3y_1998",0.080082195,0.306643145,0.306634524,0.306640137
"Q4y_1998",0.021475022,0.326216421,0.32611717,0.326191386
"Q1y_1999",0.022974117,0.325680169,0.325683593,0.325662122
"Q2y_1999",0.070236578,0.309921142,0.309921244,0.309921036
"Q3y_1999",0.075856456,0.308045806,0.308048355,0.308049383
"Q4y_1999",0.074657883,0.308446981,0.308447711,0.308447426
"Q1y_2000",0.08117782,0.306274248,0.306272283,0.306275649
"Q2y_2000",0.063465404,0.312196824,0.312132199,0.312205573
"Q3y_2000",0.062485347,0.312541343,0.312432202,0.312541108
"Q4y_2000",0.040706977,0.319767828,0.31976783,0.319757365
"Q1y_2001",0.023689145,0.325438419,0.325437449,0.325434988
"Q2y_2001",0.001712365,0.332762497,0.332762647,0.332762491
"Q3y_2001",0.006605769,0.331131054,0.331131354,0.331131823
"Q4y_2001",-0.033803771,0.344618818,0.344616697,0.344568256
"Q1y_2002",-0.03310068,0.344361622,0.344374891,0.344364168
"Q2y_2002",-0.049148289,0.349691342,0.349734885,0.349722063
"Q3y_2002",-0.053520385,0.351173521,0.351173537,0.351173327
"Q4y_2002",-0.072023994,0.357341348,0.357341292,0.357341354
"Q1y_2003",-0.079266869,0.359761212,0.359761082,0.359744575
"Q2y_2003",-0.075785177,0.35851838,0.358669155,0.358597642
"Q3y_2003",-0.075033332,0.358344327,0.3583445,0.358344505
"Q4y_2003",-0.087185098,0.362407517,0.362372671,0.36240491
"Q1y_2004",-0.093665276,0.364555089,0.364555001,0.364555186
"Q2y_2004",-0.098116019,0.365856378,0.366129539,0.366130102
"Q3y_2004",-0.085559006,0.361820784,0.361859364,0.361878858
"Q4y_2004",-0.092697468,0.364111416,0.364294258,0.364291794
"Q1y_2005",-0.102617491,0.367613401,0.367387194,0.367616896
"Q2y_2005",-0.083928055,0.361309574,0.361309311,0.36130917
"Q3y_2005",-0.089793478,0.363264596,0.363264673,0.363264209
"Q4y_2005",-0.088385493,0.362795301,0.36279507,0.362795123
"Q1y_2006",-0.076114215,0.3587705,0.358683629,0.358660087
