"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.241939651,0.252739165,0.252501211,0.252819973
"Q2y_1981",0.146159727,0.284736264,0.284578194,0.284525815
"Q3y_1981",0.207768467,0.264264247,0.264165273,0.263802013
"Q4y_1981",0.175357765,0.275077434,0.274459115,0.275105686
"Q1y_1982",0.250038343,0.25021952,0.249843374,0.249898763
"Q2y_1982",0.250069777,0.249917672,0.250029063,0.249983488
"Q3y_1982",0.250199056,0.250072043,0.250102992,0.249625909
"Q4y_1982",0.250060684,0.249967563,0.250041596,0.249930156
"Q1y_1983",0.249983159,0.249889612,0.250148728,0.249978501
"Q2y_1983",0.250287851,0.250012761,0.249776296,0.249923091
"Q3y_1983",0.250145688,0.249739612,0.250014802,0.250099898
"Q4y_1983",0.245443153,0.251635731,0.251348383,0.251572732
"Q1y_1984",0.215264132,0.261619865,0.26158433,0.261531672
"Q2y_1984",0.2002787,0.26643903,0.266526327,0.266755943
"Q3y_1984",0.250262697,0.249390595,0.250103183,0.250243525
"Q4y_1984",0.250175183,0.250157854,0.249596736,0.250070228
"Q1y_1985",0.250097711,0.249747651,0.250097524,0.250057113
"Q2y_1985",0.250114311,0.249834379,0.249937303,0.250114007
"Q3y_1985",0.250172522,0.249561728,0.250094006,0.250171744
"Q4y_1985",0.250156783,0.249918746,0.249881319,0.250043152
"Q1y_1986",0.25006654,0.249861243,0.250011144,0.250061073
"Q2y_1986",0.250056714,0.250051238,0.250004878,0.249887169
"Q3y_1986",0.250146092,0.250008838,0.249697944,0.250147126
"Q4y_1986",0.215322271,0.261228192,0.261710006,0.261739531
"Q1y_1987",0.202700329,0.265583572,0.265951151,0.265764948
"Q2y_1987",0.182486732,0.272617424,0.272139705,0.272756138
"Q3y_1987",0.209084949,0.262818802,0.264084059,0.264012191
"Q4y_1987",0.22872441,0.257125337,0.257247508,0.256902746
"Q1y_1988",0.195199837,0.268252773,0.268402131,0.268145259
"Q2y_1988",0.222994787,0.258952862,0.259098401,0.25895395
"Q3y_1988",0.221130601,0.259525494,0.259714593,0.259629312
"Q4y_1988",0.21421009,0.26190299,0.261984999,0.261901921
"Q1y_1989",0.200783227,0.26621184,0.266560104,0.266444829
"Q2y_1989",0.18958851,0.270153755,0.26970571,0.270552025
"Q3y_1989",0.211858426,0.262771652,0.262936432,0.262433491
"Q4y_1989",0.210024196,0.263354347,0.263473194,0.263148263
"Q1y_1990",0.183798863,0.272235529,0.272175859,0.271789749
"Q2y_1990",0.182031324,0.272354327,0.27278849,0.272825859
"Q3y_1990",0.197333993,0.267339031,0.267760042,0.267566933
"Q4y_1990",0.109453248,0.296783512,0.296555989,0.297207251
"Q1y_1991",0.157318204,0.281014787,0.280735053,0.280931957
"Q2y_1991",0.136797632,0.287767583,0.287874549,0.287560236
"Q3y_1991",0.138442166,0.286508786,0.28748384,0.287565208
"Q4y_1991",0.155190799,0.281772996,0.281212933,0.281823271
"Q1y_1992",0.134370533,0.288568969,0.288583593,0.288476905
"Q2y_1992",0.167526116,0.277549342,0.277389092,0.277535449
"Q3y_1992",0.159438666,0.280206392,0.280281166,0.280073776
"Q4y_1992",0.154473946,0.281865283,0.281855109,0.281805662
"Q1y_1993",0.168935038,0.27688604,0.277199434,0.276979488
"Q2y_1993",0.146997569,0.284016089,0.284673666,0.284312675
"Q3y_1993",0.131828896,0.289060676,0.289886442,0.289223986
"Q4y_1993",0.138958975,0.287028225,0.287012546,0.287000253
"Q1y_1994",0.12697715,0.291014532,0.291021559,0.290986759
"Q2y_1994",0.190318186,0.269957593,0.270030469,0.269693752
"Q3y_1994",0.193475973,0.26884301,0.268863989,0.268817027
"Q4y_1994",0.184150812,0.271629558,0.27212291,0.272096721
"Q1y_1995",0.162353456,0.279018791,0.279314769,0.279312984
"Q2y_1995",0.174448519,0.275009129,0.275288748,0.275253603
"Q3y_1995",0.196592905,0.267732967,0.267719163,0.267954965
"Q4y_1995",0.201328723,0.2661376,0.266458363,0.266075315
"Q1y_1996",0.154451814,0.281779435,0.281726233,0.282042518
"Q2y_1996",0.212193266,0.262674703,0.26277554,0.262356491
"Q3y_1996",0.250181728,0.250185755,0.250007642,0.249624876
"Q4y_1996",0.18578694,0.271454071,0.271560923,0.271198065
"Q1y_1997",0.158781096,0.279528636,0.280750903,0.280939365
"Q2y_1997",0.164682196,0.278664064,0.278070775,0.278582965
"Q3y_1997",0.145350951,0.284812084,0.284860351,0.284976615
"Q4y_1997",0.158356961,0.280500739,0.280322484,0.280819816
"Q1y_1998",0.130030069,0.28994944,0.289910085,0.290110406
"Q2y_1998",0.139794348,0.286912767,0.286852739,0.286440146
"Q3y_1998",0.127173323,0.291037816,0.290796047,0.290992814
"Q4y_1998",0.087141291,0.304094729,0.304452927,0.304311054
"Q1y_1999",0.092248329,0.302938626,0.302861995,0.301951049
"Q2y_1999",0.115484137,0.294955243,0.294647405,0.294913215
"Q3y_1999",0.118920594,0.293555979,0.293712078,0.293811349
"Q4y_1999",0.116058267,0.294321965,0.294594653,0.295025116
"Q1y_2000",0.122475661,0.292646935,0.292170876,0.292706528
"Q2y_2000",0.122697285,0.292313487,0.292642205,0.292347023
"Q3y_2000",0.120292447,0.293272956,0.29301632,0.293418278
"Q4y_2000",0.095990691,0.301432664,0.301436029,0.301140616
"Q1y_2001",0.099815229,0.299785726,0.300365777,0.300033269
"Q2y_2001",0.101674317,0.299742401,0.299708436,0.298874845
"Q3y_2001",0.095940628,0.301394672,0.301416409,0.301248291
"Q4y_2001",0.08512294,0.305063606,0.304907733,0.304905721
"Q1y_2002",0.114119364,0.29542603,0.295170812,0.295283794
