"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.660356844,0.148212954,0,0.191430202
"Q2y_1981",0.838040406,0.046532966,0,0.115426628
"Q3y_1981",0.734945155,0.103602824,0,0.16145202
"Q4y_1981",0.799006752,0.054048262,0,0.146944986
"Q1y_1982",0.40818054,0.301207216,0,0.290612244
"Q2y_1982",0.503134843,0.240970622,0,0.255894535
"Q3y_1982",0.575207146,0.194325075,0,0.230467779
"Q4y_1982",0.484485808,0.161694881,0.05570679,0.298112521
"Q1y_1983",0.531552978,0.151171327,0.024293879,0.292981816
"Q2y_1983",0.618203505,0.124680541,0,0.257115954
"Q3y_1983",0.692460603,0.083275937,0,0.22426346
"Q4y_1983",0.709558126,0.073289912,0,0.217151962
"Q1y_1984",0.764740218,0.033967486,0.014766692,0.186525604
"Q2y_1984",0.789697608,0.013886616,0.025335647,0.171080128
"Q3y_1984",0.60078665,0,0.018893788,0.380319562
"Q4y_1984",0.671500003,0,0.062590842,0.265909156
"Q1y_1985",0.565195401,0,0.109639452,0.325165147
"Q2y_1985",0.572834086,0,0.091295459,0.335870455
"Q3y_1985",0.501246187,0,0.148676044,0.350077769
"Q4y_1985",0.611190783,0.010396813,0.048469485,0.329942919
"Q1y_1986",0.576289929,0,0.102801349,0.320908722
"Q2y_1986",0.611114745,0,0.147334695,0.24155056
"Q3y_1986",0.655201134,0,0.134126207,0.210672659
"Q4y_1986",0.713971208,0,0.098553328,0.187475463
"Q1y_1987",0.729250108,0,0.085235174,0.185514718
"Q2y_1987",0.752376526,0,0.102657865,0.144965609
"Q3y_1987",0.710506343,0,0.117383622,0.172110035
"Q4y_1987",0.684072541,0,0.121638803,0.194288656
"Q1y_1988",0.731577262,0.032270146,0,0.236152592
"Q2y_1988",0.693049157,0.037351883,0.006309326,0.263289633
"Q3y_1988",0.695651048,0.020418685,0.02584995,0.258080316
"Q4y_1988",0.702336305,0.001495228,0.041370904,0.254797562
"Q1y_1989",0.727558608,0,0.053761811,0.218679581
"Q2y_1989",0.744631495,0,0.051507173,0.203861331
"Q3y_1989",0.702042072,0,0.077834045,0.220123883
"Q4y_1989",0.70362977,0,0.08106698,0.21530325
"Q1y_1990",0.750270876,0,0.052720079,0.197009044
"Q2y_1990",0.753686613,0,0.042047783,0.204265604
"Q3y_1990",0.723679916,0,0.058760185,0.217559899
"Q4y_1990",0.911749166,0.024776363,0.003016169,0.060458302
"Q1y_1991",0.807115854,0,0.024422478,0.168461669
"Q2y_1991",0.838956334,0.000863515,0.008596836,0.151583316
"Q3y_1991",0.830681488,0,0.017822279,0.151496233
"Q4y_1991",0.795302593,0,0.039675149,0.165022258
"Q1y_1992",0.840516492,0,0.049448518,0.11003499
"Q2y_1992",0.773606601,0,0.046239908,0.180153491
"Q3y_1992",0.785400487,0,0.045379699,0.169219814
"Q4y_1992",0.790649671,0,0.042726765,0.166623564
"Q1y_1993",0.765406511,0,0.063144314,0.171449175
"Q2y_1993",0.81394865,0,0.012787268,0.173264082
"Q3y_1993",0.845930393,0,0.015392344,0.138677263
"Q4y_1993",0.823589559,0,0.01788233,0.158528111
"Q1y_1994",0.865349888,0,0.006860404,0.127789708
"Q2y_1994",0.767128717,0,0.041535012,0.19133627
"Q3y_1994",0.753101609,0,0.047595498,0.199302893
"Q4y_1994",0.778597168,0,0.062516159,0.158886673
"Q1y_1995",0.82460996,0,0.01344417,0.16194587
