"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.243968802,0.227319261,0.240320663,0.288391274
"Q2y_1984",0.214250393,0.241642324,0.256708339,0.287398944
"Q3y_1984",0.283594613,0.143853267,0.113772219,0.458779901
"Q4y_1984",0.249271687,0.21305739,0.204407185,0.333263738
"Q1y_1985",0.280024854,0.199631906,0.192594038,0.327749202
"Q2y_1985",0.262707909,0.212513558,0.195387811,0.329390722
"Q3y_1985",0.331421124,0.132314154,0.120534523,0.415730198
"Q4y_1985",0.282262416,0.132374455,0.121327908,0.464035221
"Q1y_1986",0.230777276,0.157089361,0.121217279,0.490916083
"Q2y_1986",0.248500001,0.198469648,0.17307677,0.379953581
"Q3y_1986",0.224995457,0.241894971,0.148333844,0.384775727
"Q4y_1986",0.189377802,0.246731125,0.180235403,0.38365567
"Q1y_1987",0.16250764,0.283699439,0.177800686,0.375992236
"Q2y_1987",0.142168823,0.285784338,0.172523675,0.399523164
"Q3y_1987",0.173830871,0.276099592,0.181479308,0.36859023
"Q4y_1987",0.170984911,0.278350173,0.182674741,0.367990175
"Q1y_1988",0.175444223,0.213352253,0.116733166,0.494470357
"Q2y_1988",0.199893297,0.199858615,0.112443709,0.487804379
"Q3y_1988",0.18017918,0.204934478,0.113862178,0.501024164
"Q4y_1988",0.16587031,0.202396281,0.102876755,0.528856654
"Q1y_1989",0.160332251,0.218396025,0.102691742,0.518579982
"Q2y_1989",0.148399773,0.217043958,0.114737018,0.51981925
"Q3y_1989",0.149410495,0.227219034,0.104336585,0.519033887
"Q4y_1989",0.163626628,0.234988022,0.078172257,0.523213094
"Q1y_1990",0.138731783,0.248529099,0.083708564,0.529030554
"Q2y_1990",0.132852569,0.252330805,0.068961321,0.545855305
"Q3y_1990",0.134780663,0.218784571,0.072875334,0.573559432
"Q4y_1990",0.100938639,0.424325095,0.06078381,0.413952456
"Q1y_1991",0.086552726,0.566452295,0.047590073,0.299404907
"Q2y_1991",0.081357529,0.505556872,0.088207872,0.324877727
"Q3y_1991",0.097369688,0.278955953,0.10249239,0.521181969
"Q4y_1991",0.098548816,0.279917455,0.104394744,0.517138985
"Q1y_1992",0.084856506,0.317812921,0.141722546,0.455608026
"Q2y_1992",0.117715768,0.268099545,0.117448105,0.496736582
"Q3y_1992",0.102651582,0.2826461,0.084045654,0.530656663
"Q4y_1992",0.112580893,0.27110311,0.093154992,0.523161006
"Q1y_1993",0.132189274,0.257168928,0.117631056,0.493010742
"Q2y_1993",0.128502084,0.236646618,0.122277666,0.512573632
"Q3y_1993",0.106828648,0.299426129,0.10145492,0.492290303
"Q4y_1993",0.105120722,0.250585629,0.111869539,0.53242411
"Q1y_1994",0.104600305,0.372128455,0.078289278,0.444981962
"Q2y_1994",0.137339857,0.31319788,0.103733377,0.445728887
"Q3y_1994",0.167848589,0.233161673,0.112111128,0.486878611
"Q4y_1994",0.163180611,0.29121694,0.197492026,0.348110423
"Q1y_1995",0.169471129,0.281880878,0.090180776,0.458467217
"Q2y_1995",0.192802042,0.243618274,0.102852633,0.460727051
"Q3y_1995",0.228077175,0.246479218,0.075604592,0.449839015
"Q4y_1995",0.207315263,0.306401686,0.042449253,0.443833798
"Q1y_1996",0.210318292,0.324288877,0.058227789,0.407165041
"Q2y_1996",0.252744832,0.411155604,0.037953373,0.29814619
"Q3y_1996",0.295244213,0.470250234,1.8104e-05,0.234487449
"Q4y_1996",0.205006429,0.377139724,0.08897558,0.328878267
"Q1y_1997",0.188631859,0.359082293,0.156843762,0.295442086
"Q2y_1997",0.178020155,0.372963589,0.198956416,0.25005984
"Q3y_1997",0.181468266,0.26229317,0.121026604,0.435211961
"Q4y_1997",0.174749499,0.26251231,0.083903097,0.478835094
"Q1y_1998",0.157624602,0.42088039,0.148878745,0.272616263
"Q2y_1998",0.159167313,0.350180634,0.139130508,0.351521546
"Q3y_1998",0.154750843,0.270900408,0.195264992,0.379083758
"Q4y_1998",0.105092414,0.295224157,0.136862097,0.462821332
"Q1y_1999",0.099714208,0.389377776,0.221503705,0.289404312
"Q2y_1999",0.128223231,0.266860456,0.305021479,0.299894833
"Q3y_1999",0.120481425,0.370757726,0.287800266,0.220960583
"Q4y_1999",0.120542768,0.313029788,0.334904733,0.231522712
"Q1y_2000",0.112822708,0.309212942,0.317233345,0.260731005
"Q2y_2000",0.111131743,0.361772391,0.207307374,0.319788492
"Q3y_2000",0.111322048,0.353775806,0.226063827,0.308838318
"Q4y_2000",0.100820122,0.380918337,0.332288158,0.185973383
"Q1y_2001",0.094537107,0.336758543,0.305535105,0.263169245
"Q2y_2001",0.088526162,0.338981992,0.216681812,0.355810034
"Q3y_2001",0.08507259,0.332493864,0.191366205,0.391067341
"Q4y_2001",0.075330234,0.249327437,0.298553697,0.376788631
"Q1y_2002",0.073775867,0.342663579,0.256411823,0.32714873
"Q2y_2002",0.058354341,0.321573568,0.265215382,0.354856709
"Q3y_2002",0.0634437,0.319469789,0.317944933,0.299141577
"Q4y_2002",0.054034745,0.348785826,0.198015887,0.399163542
"Q1y_2003",0.048862491,0.256021414,0.205189212,0.489926884
"Q2y_2003",0.036308906,0.226123617,0.448996982,0.288570496
"Q3y_2003",0.030034105,0.458830051,0.273018319,0.238117525
"Q4y_2003",0.063795984,0.323883449,0.342737854,0.269582713
"Q1y_2004",0.070360364,0.351532611,0.239570781,0.338536244
"Q2y_2004",0.069174096,0.376992053,0.201997698,0.351836152
"Q3y_2004",0.099481536,0.342791695,0.168909473,0.388817296
"Q4y_2004",0.081492914,0.436849378,0.143630046,0.338027662
"Q1y_2005",0.064042457,0.602847377,0.033249772,0.299860394
"Q2y_2005",0.048845537,0.626933579,0.056234708,0.267986176
"Q3y_2005",0.0390945,0.629921145,0.078823146,0.252161209
"Q4y_2005",0.020483784,0.635714881,0.116045684,0.227755651
"Q1y_2006",0.025808654,0.622459464,0.143881252,0.20785063
"Q2y_2006",0.021837549,0.608863403,0.172325501,0.196973546
"Q3y_2006",0.029435382,0.58991909,0.109927531,0.270717997
"Q4y_2006",0.038187904,0.566693497,0.098444314,0.296674285
"Q1y_2007",0.039757564,0.559239122,0.146692928,0.254310386
"Q2y_2007",0.036137555,0.557604428,0.135323004,0.270935013
"Q3y_2007",0.036379285,0.582426847,0.056196037,0.324997831
"Q4y_2007",0.030092002,0.595660509,0.038994774,0.335252715
"Q1y_2008",0.016573925,0.609899976,0.071923497,0.301602602
"Q2y_2008",-0.002953458,0.609691507,0.008105851,0.3851561
"Q3y_2008",-0.012007862,0.618277244,0.009459121,0.384271497
"Q4y_2008",-0.011046324,0.617837406,0.10668011,0.286528808
"Q1y_2009",-0.005732234,0.609075297,0.193590267,0.20306667
"Q2y_2009",0.000486978,0.647958042,0.111110733,0.240444248
"Q3y_2009",0.000659815,0.638886603,0.053980184,0.306473398
"Q4y_2009",0.009645149,0.608095327,0.000240745,0.38201878
"Q1y_2010",0.030072542,0.087014529,0.553995393,0.328917536
"Q2y_2010",0.046275891,0.074903209,0.60421884,0.274602059
"Q3y_2010",0.017975272,0.644119314,0.000169656,0.337735759
