"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.231934571,0.441575327,0,0.326490102
"Q2y_1981",0.137665378,0.443889563,0.087493058,0.330952001
"Q3y_1981",0.198349394,0.388297241,0.09854053,0.314812834
"Q4y_1981",0.163978259,0.452129715,0.038506398,0.345385629
"Q1y_1982",0.394179889,0.311126646,0,0.294693466
"Q2y_1982",0.337088553,0.309583021,0.052558355,0.300770071
"Q3y_1982",0.296948827,0.31503134,0.07962669,0.308393143
"Q4y_1982",0.353236071,0.210011704,0.103490074,0.333262151
"Q1y_1983",0.32705795,0.224998293,0.091903473,0.356040283
"Q2y_1983",0.280057139,0.254388397,0.101536994,0.36401747
"Q3y_1983",0.240901076,0.236093835,0.150920417,0.372084672
"Q4y_1983",0.232593212,0.212251837,0.185215857,0.369939094
"Q1y_1984",0.206889336,0.162341686,0.272858307,0.357910671
"Q2y_1984",0.195303815,0.119361729,0.336115959,0.349218497
"Q3y_1984",0.290899621,0.067415084,0.215368152,0.426317144
"Q4y_1984",0.23875847,0.058631055,0.278739764,0.42387071
"Q1y_1985",0.292535925,0.002053686,0.271127666,0.434282722
"Q2y_1985",0.286042742,0,0.251940102,0.462017156
"Q3y_1985",0.330344293,0,0.251654135,0.418001572
"Q4y_1985",0.259387224,0.074481958,0.177105541,0.489025278
"Q1y_1986",0.282629392,0.034960255,0.235845554,0.446564799
"Q2y_1986",0.271318494,0.019039537,0.360192981,0.349448988
"Q3y_1986",0.249055824,0.018171485,0.401853142,0.330919549
"Q4y_1986",0.212953091,0.009270312,0.440351933,0.337424664
"Q1y_1987",0.200932691,0,0.446398152,0.352669157
"Q2y_1987",0.195734521,0,0.520512045,0.283753434
"Q3y_1987",0.219549188,0,0.478021111,0.302429702
"Q4y_1987",0.234901717,0,0.441896779,0.323201504
"Q1y_1988",0.173673453,0.169620394,0.134914767,0.521791386
"Q2y_1988",0.201415163,0.127288967,0.171151762,0.500144108
"Q3y_1988",0.202088615,0.087533671,0.225318665,0.485059049
"Q4y_1988",0.197545293,0.049949536,0.266583292,0.485921878
"Q1y_1989",0.190197647,0.039937022,0.337502857,0.432362475
"Q2y_1989",0.181585176,0.0248955,0.372379416,0.421139909
"Q3y_1989",0.206244695,0,0.384540047,0.409215258
"Q4y_1989",0.205598049,0,0.394608384,0.399793567
"Q1y_1990",0.174648634,0.03655499,0.367605992,0.421190385
"Q2y_1990",0.169924235,0.034855671,0.344621866,0.450598229
"Q3y_1990",0.185980176,0.000557598,0.371097553,0.442364673
