"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.399969075,0.279135677,5.9637e-05,0.320835611
"Q2y_1981",0.399835016,0.237856165,1.075e-06,0.362307743
"Q3y_1981",0.399839321,0.263150877,6.1336e-05,0.336948466
"Q4y_1981",0.399957184,0.225494136,0.000648375,0.373900305
"Q1y_1982",0.399892754,0.305021111,0.000121381,0.294964754
"Q2y_1982",0.399867809,0.282253962,0.017364777,0.300513451
"Q3y_1982",0.39998378,0.281265477,0.011586145,0.307164597
"Q4y_1982",0.399977278,0.188973651,0.075127026,0.335922044
"Q1y_1983",0.399995117,0.192838243,0.051058521,0.356108118
"Q2y_1983",0.399992607,0.196018586,0.02998948,0.373999327
"Q3y_1983",0.399971742,0.166176921,0.050394858,0.383456478
"Q4y_1983",0.399972155,0.14427936,0.059034735,0.39671375
"Q1y_1984",0.399954704,0.094998722,0.111078663,0.393967911
"Q2y_1984",0.399905236,0.059760474,0.140818809,0.399515481
"Q3y_1984",0.399876087,0.044500764,0.155856292,0.399766858
"Q4y_1984",0.399859417,0.021042938,0.17954752,0.399550125
"Q1y_1985",0.39989687,0.001531035,0.199292158,0.399279937
"Q2y_1985",0.399987266,0.000622321,0.199670624,0.399719789
"Q3y_1985",0.399680244,8.7708e-05,0.20053504,0.399697008
"Q4y_1985",0.399979317,0.04593544,0.15415848,0.399926763
"Q1y_1986",0.399877318,0.018480023,0.181654713,0.399987945
"Q2y_1986",0.399953925,0.000494553,0.240550001,0.35900152
"Q3y_1986",0.399986895,0.000420588,0.254694431,0.344898086
"Q4y_1986",0.399692315,0.000288356,0.240367915,0.359651414
"Q1y_1987",0.399891943,6.0952e-05,0.2236742,0.376372905
"Q2y_1987",0.399911561,0.000566116,0.28244003,0.317082293
"Q3y_1987",0.399900261,0.000199773,0.288772717,0.31112725
"Q4y_1987",0.399993027,0.000366444,0.264582693,0.335057836
"Q1y_1988",0.399833642,0.180373761,0.01991073,0.399881867
"Q2y_1988",0.399819836,0.118796367,0.081899762,0.399484035
"Q3y_1988",0.39967865,0.067833411,0.132694777,0.399793162
"Q4y_1988",0.399904869,0.025369394,0.175005233,0.399720504
"Q1y_1989",0.399970158,0.004781219,0.196990884,0.398257739
"Q2y_1989",0.399991364,0.003163793,0.197811985,0.399032859
"Q3y_1989",0.399955489,2.7582e-05,0.203825724,0.396191206
"Q4y_1989",0.399177324,0.000427306,0.202597063,0.397798308
"Q1y_1990",0.399918853,0.003476211,0.198776777,0.39782816
"Q2y_1990",0.399925339,0.00452531,0.195694594,0.399854757
"Q3y_1990",0.399996325,0.0025695,0.199519274,0.397914901
"Q4y_1990",0.399944009,0.16704252,0.126379805,0.306633666
"Q1y_1991",0.399966606,0.037076385,0.163867972,0.399089037
"Q2y_1991",0.399819166,0.078521846,0.122312531,0.399346457
"Q3y_1991",0.399736683,0.01301462,0.187885071,0.399363626
"Q4y_1991",0.399935171,0.002413673,0.199572562,0.398078593
"Q1y_1992",0.399987455,0.000976921,0.2295016,0.369534024
"Q2y_1992",0.39972215,0.000199232,0.201004375,0.399074243
"Q3y_1992",0.399619616,8.02e-06,0.201769706,0.398602658
"Q4y_1992",0.399753015,0.000639259,0.199711724,0.399896002
"Q1y_1993",0.399815328,0.000580934,0.205919348,0.393684389
"Q2y_1993",0.399866623,0.01496306,0.185447388,0.39972293
"Q3y_1993",0.399888296,0.021221384,0.178951685,0.399938635
"Q4y_1993",0.399980669,0.004943101,0.196166867,0.398909363
"Q1y_1994",0.399980325,0.01614233,0.184386185,0.39949116
