"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.25,0.25,0.25,0.25
"Q2y_1984",0.25,0.25,0.25,0.25
"Q3y_1984",0.25,0.250000001,0.249999999,0.25
"Q4y_1984",0.250000001,0.25,0.25,0.249999999
"Q1y_1985",0.250001501,0.249999992,0.249999553,0.249998955
"Q2y_1985",0.25,0.249999999,0.25,0.25
"Q3y_1985",0.25,0.25,0.25,0.25
"Q4y_1985",0.25,0.25,0.25,0.25
"Q1y_1986",0.25,0.25,0.249999999,0.250000001
"Q2y_1986",0.25,0.25,0.25,0.25
"Q3y_1986",0.25,0.250000002,0.249999998,0.25
"Q4y_1986",0.25,0.25,0.25,0.249999999
"Q1y_1987",0.25,0.25,0.25,0.25
"Q2y_1987",0.25,0.25,0.25,0.25
"Q3y_1987",0.25,0.25,0.25,0.25
"Q4y_1987",0.25,0.25,0.25,0.25
"Q1y_1988",0.250000003,0.25,0.249999997,0.25
"Q2y_1988",0.25,0.25,0.25,0.25
"Q3y_1988",0.25,0.25,0.25,0.25
"Q4y_1988",0.249999998,0.250000003,0.250000001,0.249999998
"Q1y_1989",0.25,0.249999999,0.25,0.250000001
"Q2y_1989",0.250006412,0.249994869,0.24999411,0.250004608
"Q3y_1989",0.25,0.25,0.25,0.25
"Q4y_1989",0.250000319,0.24999874,0.249998227,0.250002714
"Q1y_1990",0.25,0.25,0.25,0.25
"Q2y_1990",0.25,0.25,0.25,0.25
"Q3y_1990",0.250000001,0.25,0.25,0.25
"Q4y_1990",0.25,0.250000003,0.25,0.249999997
"Q1y_1991",0.25,0.25,0.25,0.25
"Q2y_1991",0.25,0.249999999,0.250000001,0.25
"Q3y_1991",0.250015715,0.249993353,0.249990933,0.25
"Q4y_1991",0.250016436,0.24999095,0.249992227,0.250000387
"Q1y_1992",0.250021867,0.249990244,0.249991065,0.249996825
"Q2y_1992",0.249999999,0.250000003,0.25,0.249999999
"Q3y_1992",0.25001155,0.24998878,0.24999451,0.25000516
"Q4y_1992",0.25,0.25,0.25,0.25
"Q1y_1993",0.250000001,0.249999999,0.25,0.25
"Q2y_1993",0.25,0.25,0.249999999,0.250000001
"Q3y_1993",0.250014245,0.249991566,0.249992832,0.250001357
"Q4y_1993",0.250005792,0.249989833,0.249998195,0.25000618
"Q1y_1994",0.250010481,0.250000034,0.249992365,0.24999712
"Q2y_1994",0.25,0.25,0.250000001,0.249999999
"Q3y_1994",0.25,0.25,0.250000001,0.25
"Q4y_1994",0.25000157,0.249998193,0.249999482,0.250000756
"Q1y_1995",0.250001574,0.249997369,0.249999692,0.250001364
"Q2y_1995",0.250002017,0.249999589,0.249997991,0.250000404
"Q3y_1995",0.250000001,0.25,0.249999999,0.25
"Q4y_1995",0.25,0.25,0.249999999,0.25
"Q1y_1996",0.25,0.25,0.25,0.25
"Q2y_1996",0.25,0.249999999,0.249999999,0.250000001
"Q3y_1996",0.25,0.25,0.25,0.25
"Q4y_1996",0.25,0.25,0.249999999,0.25
"Q1y_1997",0.250000001,0.249999998,0.25,0.250000001
"Q2y_1997",0.250000001,0.25,0.25,0.25
"Q3y_1997",0.25,0.249999999,0.25,0.250000001
"Q4y_1997",0.250002364,0.249999214,0.24999809,0.250000332
"Q1y_1998",0.25000084,0.250004174,0.249997685,0.249997301
"Q2y_1998",0.25,0.25,0.25,0.25
"Q3y_1998",0.25,0.25,0.25,0.25
"Q4y_1998",0.25,0.249999999,0.25,0.250000001
"Q1y_1999",0.250001059,0.250002969,0.250000895,0.249995077
"Q2y_1999",0.250003475,0.249999525,0.2499995,0.249997499
"Q3y_1999",0.250002594,0.250001494,0.249998019,0.249997893
"Q4y_1999",0.250000001,0.25,0.25,0.249999999
"Q1y_2000",0.25,0.250000001,0.25,0.25
"Q2y_2000",0.250000002,0.249999999,0.25,0.249999999
"Q3y_2000",0.25,0.25,0.25,0.25
"Q4y_2000",0.249999999,0.25,0.25,0.25
"Q1y_2001",0.250000001,0.249999998,0.25,0.25
"Q2y_2001",0.25,0.249999999,0.25,0.25
"Q3y_2001",0.250000001,0.249999999,0.25,0.25
"Q4y_2001",0.25,0.25,0.25,0.25
"Q1y_2002",0.250003919,0.249999147,0.250004499,0.249992434
"Q2y_2002",0.250004693,0.25000029,0.249997513,0.249997504
"Q3y_2002",0.25,0.25,0.25,0.25
"Q4y_2002",0.249999999,0.250000001,0.25,0.25
"Q1y_2003",0.250003013,0.249998044,0.250001018,0.249997925
"Q2y_2003",0.25,0.25,0.25,0.25
"Q3y_2003",0.250000001,0.25,0.25,0.25
"Q4y_2003",0.25,0.25,0.25,0.25
"Q1y_2004",0.25,0.25,0.25,0.25
"Q2y_2004",0.25,0.25,0.25,0.25
"Q3y_2004",0.25,0.25,0.25,0.25
"Q4y_2004",0.250003815,0.249990193,0.250009961,0.249996032
"Q1y_2005",0.25,0.25,0.25,0.25
"Q2y_2005",0.249999997,0.250000001,0.25,0.250000002
"Q3y_2005",0.249999999,0.250000001,0.25,0.25
"Q4y_2005",0.25,0.25,0.25,0.25
"Q1y_2006",0.25,0.25,0.25,0.25
"Q2y_2006",0.25,0.25,0.25,0.25
"Q3y_2006",0.250000214,0.250004746,0.250001502,0.249993538
"Q4y_2006",0.250000001,0.249999999,0.25,0.25
"Q1y_2007",0.250000001,0.250000002,0.249999999,0.249999998
"Q2y_2007",0.25,0.25,0.250000001,0.249999999
"Q3y_2007",0.25,0.25,0.25,0.25
"Q4y_2007",0.249999997,0.250000002,0.249999999,0.250000003
"Q1y_2008",0.25,0.25,0.25,0.25
"Q2y_2008",0.25,0.25,0.25,0.25
"Q3y_2008",0.25,0.25,0.25,0.25
"Q4y_2008",0.250000001,0.25,0.25,0.249999998
"Q1y_2009",0.250003424,0.249999532,0.250015924,0.24998112
"Q2y_2009",0.25,0.25,0.25,0.25
"Q3y_2009",0.249999998,0.250000001,0.250000002,0.249999999
"Q4y_2009",0.25,0.25,0.25,0.25
"Q1y_2010",0.25,0.25,0.25,0.25
"Q2y_2010",0.250004238,0.250001164,0.249999489,0.249995109
"Q3y_2010",0.25,0.250000001,0.25,0.249999999
