"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.665721262,0.183233753,0.092783593,0.058261392
"Q2y_1984",0.703743095,0.146131337,0.099353675,0.050771893
"Q3y_1984",0.733074667,0.153439833,0,0.1134855
"Q4y_1984",0.75288177,0.198697343,0,0.048420886
"Q1y_1985",0.779930581,0.15743192,0,0.0626375
"Q2y_1985",0.779609404,0.157343627,0,0.063046969
"Q3y_1985",0.782031537,0.165684597,0.007252729,0.045031138
"Q4y_1985",0.797933557,0.130755502,0.029500853,0.041810087
"Q1y_1986",0.801384832,0.12270576,0.031452455,0.044456954
"Q2y_1986",0.816396113,0.114256186,0.037676192,0.031671508
"Q3y_1986",0.811267918,0.124290852,0.029006723,0.035434507
"Q4y_1986",0.81614123,0.089150863,0.046753409,0.047954499
"Q1y_1987",0.821764751,0.108481409,0.012937827,0.056816013
"Q2y_1987",0.708450134,0.291549866,0,0
"Q3y_1987",0.645795102,0.324263995,0.009628719,0.020312183
"Q4y_1987",0.622092533,0.34951604,0.00025786,0.028133567
"Q1y_1988",0.858447507,0.00828275,0.028768041,0.104501702
"Q2y_1988",0.727167333,0.009598924,0.036145077,0.227088666
"Q3y_1988",0.790073873,0.025538056,0.019759622,0.164628449
"Q4y_1988",0.822988223,0.015438904,0.008722726,0.152850147
"Q1y_1989",0.832895874,0,0.020662922,0.146441203
"Q2y_1989",0.844021153,0.000565588,0.017276626,0.138136633
"Q3y_1989",0.858073187,0.011337451,0.000589372,0.12999999
"Q4y_1989",0.786512929,0.054384341,0,0.15910273
"Q1y_1990",0.815945175,0.034579662,0,0.149475162
"Q2y_1990",0.86044116,0,0,0.13955884
"Q3y_1990",0.866133377,0,0,0.133866623
"Q4y_1990",0.79726538,0,0,0.20273462
"Q1y_1991",0.832078587,0,0,0.167921413
"Q2y_1991",0.860665254,0,0,0.139334746
"Q3y_1991",0.870636523,0,0,0.129363477
"Q4y_1991",0.871279695,0,0,0.128720305
"Q1y_1992",0.883614446,0,0,0.116385554
"Q2y_1992",0.856158506,0,0,0.143841494
"Q3y_1992",0.867940295,0,0,0.132059705
"Q4y_1992",0.87710538,0,0,0.12289462
"Q1y_1993",0.849028299,0.010593426,0,0.140378274
"Q2y_1993",0.802003725,0.012579722,0,0.185416553
"Q3y_1993",0.848403931,0.009062763,0,0.142533306
"Q4y_1993",0.846287637,0,0.003991089,0.149721275
"Q1y_1994",0.921516745,0.000596817,0,0.077886438
"Q2y_1994",0.790020138,0.045433141,0,0.164546721
"Q3y_1994",0.771404449,0.041687369,0,0.186908182
"Q4y_1994",0.816399653,0.025036413,0.012089862,0.146474072
"Q1y_1995",0.852676036,0,0.000612276,0.146711688
"Q2y_1995",0.822386494,0.013908257,0,0.163705248
"Q3y_1995",0.785030445,0.022985753,0,0.191983802
"Q4y_1995",0.7480179,0.045939476,0,0.206042623
"Q1y_1996",0.875884788,0,0,0.124115212
"Q2y_1996",0.732629924,0.095455965,0,0.171914111
"Q3y_1996",0.567692404,0.246111926,0,0.18619567
"Q4y_1996",0.803266939,0.02390547,0,0.172827591
"Q1y_1997",0.814293126,0.005560662,0,0.180146212
"Q2y_1997",0.859350019,0,0,0.140649981
"Q3y_1997",0.864827315,0,0,0.135172685
"Q4y_1997",0.832578182,0,0,0.167421818
"Q1y_1998",0.920258495,0,0,0.079741505
"Q2y_1998",0.921832356,0,0,0.078167644
"Q3y_1998",0.925676321,0,0,0.074323679
"Q4y_1998",0.95121899,0,0,0.04878101
"Q1y_1999",0.97225767,0,0,0.02774233
"Q2y_1999",0.970687066,0,0,0.029312934
"Q3y_1999",0.964267445,0,0,0.035732555
"Q4y_1999",0.947830294,0,0,0.052169706
"Q1y_2000",0.941067648,0,0,0.058932352
"Q2y_2000",0.932992111,0,0,0.067007889
"Q3y_2000",0.931536098,0,0,0.068463902
"Q4y_2000",0.950872609,0,0,0.049127391
"Q1y_2001",0.936676986,0,0,0.063323014
"Q2y_2001",0.939756094,0,0,0.060243906
"Q3y_2001",0.948821195,0,0,0.051178805
"Q4y_2001",0.965583531,0,0,0.034416469
"Q1y_2002",0.95028263,0,0.006468367,0.043249003
"Q2y_2002",0.897175643,0.017177822,0.026619308,0.059027227
