"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.250000081,0.250000011,0.249999813,0.250000096
"Q2y_1984",0.250014703,0.249985575,0.250012945,0.249986776
"Q3y_1984",0.250000008,0.250000111,0.249999865,0.250000016
"Q4y_1984",0.250040137,0.249998565,0.249934967,0.250026331
"Q1y_1985",0.250006549,0.249999832,0.249987527,0.250006093
"Q2y_1985",0.250024885,0.249997707,0.249952647,0.250024761
"Q3y_1985",0.25004789,0.249997589,0.249913374,0.250041147
"Q4y_1985",0.25000994,0.250009469,0.249980883,0.249999708
"Q1y_1986",0.250021368,0.249972017,0.250014846,0.249991769
"Q2y_1986",0.250000032,0.249999919,0.25000005,0.249999998
"Q3y_1986",0.2500109,0.249996012,0.24999853,0.249994558
"Q4y_1986",0.250039175,0.249968264,0.249956184,0.250036377
"Q1y_1987",0.250020613,0.249991277,0.24997579,0.25001232
"Q2y_1987",0.250027647,0.249971071,0.249973892,0.25002739
"Q3y_1987",0.250000803,0.249998641,0.249999746,0.25000081
"Q4y_1987",0.250006849,0.249987602,0.250004625,0.250000923
"Q1y_1988",0.250026276,0.250026098,0.24996178,0.249985846
"Q2y_1988",0.250022657,0.250000342,0.249922103,0.250054898
"Q3y_1988",0.250032637,0.249941402,0.250031094,0.249994866
"Q4y_1988",0.250038564,0.250036353,0.250016692,0.249908391
"Q1y_1989",0.249965689,0.250043459,0.249943811,0.250047041
"Q2y_1989",0.250040833,0.249994882,0.249938075,0.25002621
"Q3y_1989",0.24998502,0.250000493,0.250001309,0.250013177
"Q4y_1989",0.250035926,0.249924758,0.250026934,0.250012382
"Q1y_1990",0.250090996,0.249906943,0.249953292,0.250048769
"Q2y_1990",0.250080261,0.249978139,0.24991944,0.250022159
"Q3y_1990",0.25000034,0.249999923,0.249999433,0.250000304
"Q4y_1990",0.249995417,0.250064163,0.249865955,0.250074464
"Q1y_1991",0.25009167,0.25001391,0.24984201,0.25005241
"Q2y_1991",0.250072377,0.250072363,0.250051541,0.249803719
"Q3y_1991",0.250085632,0.250036141,0.249789206,0.250089021
"Q4y_1991",0.249973833,0.249949331,0.250036467,0.250040369
"Q1y_1992",0.250056083,0.250055635,0.249916962,0.249971321
"Q2y_1992",0.249999982,0.250000053,0.250000013,0.249999952
"Q3y_1992",0.25003406,0.24991335,0.250022251,0.250030339
"Q4y_1992",0.250024918,0.249970391,0.250024798,0.249979893
"Q1y_1993",0.25000037,0.250000558,0.2499966,0.250002473
"Q2y_1993",0.250033647,0.250025393,0.249885684,0.250055275
"Q3y_1993",0.250065669,0.249988661,0.249926815,0.250018855
"Q4y_1993",0.249981469,0.249997957,0.250006131,0.250014443
"Q1y_1994",0.250024981,0.25001615,0.249933943,0.250024926
"Q2y_1994",0.250022073,0.249972728,0.250014846,0.249990353
"Q3y_1994",0.250013254,0.249995969,0.249999352,0.249991426
"Q4y_1994",0.250000896,0.250000469,0.250000879,0.249997756
"Q1y_1995",0.250000755,0.249998463,0.250000598,0.250000185
