"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.249803860965488,0.250221091543639,0.249915884201833,0.25005916328904
"Q2y_1981",0.250195963170754,0.24994631033226,0.249882646340035,0.249975080156952
"Q3y_1981",0.25045486921699,0.250248697146314,0.249578746282568,0.249717687354127
"Q4y_1981",0.250102001695921,0.249982509164652,0.249813487649759,0.250102001489669
"Q1y_1982",0.250093517338437,0.250203498407564,0.249886303890228,0.249816680363771
"Q2y_1982",0.250164545482387,0.250257428602013,0.24992519580626,0.249652830109341
"Q3y_1982",0.249835334241148,0.250089207559582,0.250048762448064,0.250026695751205
"Q4y_1982",0.250106114102466,0.249738335281191,0.250030853261411,0.250124697354932
"Q1y_1983",0.249958350643171,0.250105219773298,0.249830848583758,0.250105580999773
"Q2y_1983",0.249972601755971,0.250042972718459,0.249968445056212,0.250015980469357
"Q3y_1983",0.250124572322657,0.249697492616548,0.249909069636125,0.250268865424671
"Q4y_1983",0.250172774586263,0.249887015268201,0.249766827265925,0.250173382879611
"Q1y_1984",0.250154638447987,0.250154605340398,0.249965585416599,0.249725170795015
"Q2y_1984",0.250169752137935,0.250165107888233,0.249922460111141,0.249742679862691
"Q3y_1984",0.25007445736916,0.24990566708298,0.250065850441052,0.249954025106808
"Q4y_1984",0.24992304179391,0.250048241718885,0.249991000173754,0.250037716313451
"Q1y_1985",0.250244620377622,0.249843570506687,0.249898075332384,0.250013733783307
"Q2y_1985",0.249879752629997,0.249679287103262,0.250265806503822,0.250175153762918
"Q3y_1985",0.250117215809334,0.249919694738939,0.250153424652456,0.24980966479927
"Q4y_1985",0.250179881214355,0.249599484029035,0.250340724249392,0.249879910507218
"Q1y_1986",0.250013050275861,0.249972595409763,0.249842146348762,0.250172207965614
"Q2y_1986",0.25004811699632,0.249853038333075,0.249999731251397,0.250099113419208
"Q3y_1986",0.250175415914281,0.25011360070604,0.249756760520116,0.249954222859562
"Q4y_1986",0.250299163619141,0.249498167892637,0.250038194976619,0.250164473511604
"Q1y_1987",0.249910483327396,0.249938885557995,0.2500220163282,0.250128614786408
"Q2y_1987",0.25023748558135,0.250207784861051,0.249475787635983,0.250078941921616
"Q3y_1987",0.250269089400624,0.249764852327258,0.250105075010956,0.249860983261162
"Q4y_1987",0.250164781566453,0.250137569172107,0.249764692228358,0.249932957033081
"Q1y_1988",0.250360326782722,0.250322638503363,0.249612008933392,0.249705025780522
"Q2y_1988",0.249971530665541,0.249955005295028,0.250148196709445,0.249925267329986
"Q3y_1988",0.250235220871388,0.249913038464249,0.250035730639074,0.24981601002529
"Q4y_1988",0.250116209106025,0.249988504209623,0.249860224995099,0.250035061689253
"Q1y_1989",0.250228288585582,0.250218556921392,0.249615122392802,0.249938032100224
"Q2y_1989",0.250183201210756,0.250168347179478,0.250175908280121,0.249472543329645
"Q3y_1989",0.250634151893213,0.249624172263047,0.250208582002914,0.249533093840827
"Q4y_1989",0.250167320319901,0.249447334134124,0.250040169477617,0.250345176068357
"Q1y_1990",0.250208794582696,0.249701211875683,0.250130014772504,0.249959978769116
"Q2y_1990",0.250354347098788,0.250310849369121,0.249389473482891,0.2499453300492
"Q3y_1990",0.250343130788386,0.25003622905137,0.249820515629768,0.249800124530476
"Q4y_1990",0.250274998950935,0.250145646278733,0.249315890227405,0.250263464542926
"Q1y_1991",0.250224901290585,0.249674295524772,0.250053800521515,0.250047002663129
"Q2y_1991",0.25034863501167,0.250348634412091,0.250304242338143,0.248998488238096
"Q3y_1991",0.250355336670395,0.250330288737617,0.249974197341958,0.24934017725003
"Q4y_1991",0.250629485353808,0.249139891322627,0.249744843437125,0.25048577988644
"Q1y_1992",0.250197299183256,0.250184373812299,0.249629645614592,0.249988681389854
"Q2y_1992",0.250119186200907,0.250046575958427,0.249706393616278,0.250127844224388
"Q3y_1992",0.250441547212606,0.25006949980833,0.249228193380167,0.250260759598896
"Q4y_1992",0.250060009006712,0.249781430113564,0.250039456658504,0.25011910422122
"Q1y_1993",0.250567911880376,0.249797332275017,0.250567401807584,0.249067354037022
"Q2y_1993",0.25030953300355,0.249467061428359,0.250201198044699,0.250022207523393
"Q3y_1993",0.250139761197855,0.250110249178271,0.250139510128042,0.249610479495833
"Q4y_1993",0.250210116083045,0.249662387978018,0.250209381533791,0.249918114405147
"Q1y_1994",0.250074816189926,0.249837279442832,0.250018911198396,0.250068993168845
"Q2y_1994",0.250089693361905,0.250119544787214,0.249826570586033,0.249964191264846
"Q3y_1994",0.250139893754621,0.249904797484157,0.250070243259502,0.249885065501721
"Q4y_1994",0.250554331822144,0.249943049380005,0.249478944756523,0.250023674041328
"Q1y_1995",0.250150060721055,0.250042601604222,0.250149994912921,0.249657342761802
"Q2y_1995",0.250241969783284,0.249693666209185,0.250180232294705,0.249884131712826
"Q3y_1995",0.250389301215403,0.249810370933753,0.249734860712884,0.25006546713796
"Q4y_1995",0.250530440321379,0.249793199633378,0.250448407246648,0.249227952798594
"Q1y_1996",0.250063545788632,0.250062454681504,0.249830671682573,0.250043327847291
"Q2y_1996",0.250270277365329,0.250122379808771,0.250114553632827,0.249492789193074
"Q3y_1996",0.250020580368159,0.250310134968604,0.24946155655472,0.250207728108517
"Q4y_1996",0.250231614660108,0.249920983587001,0.249960224298314,0.249887177454577
"Q1y_1997",0.250217539105735,0.250215200539731,0.249920331279689,0.249646929074846
"Q2y_1997",0.250252435963349,0.250252390055795,0.249339565531729,0.250155608449127
"Q3y_1997",0.250086642911449,0.249998607978681,0.250086567125444,0.249828181984427
"Q4y_1997",0.250302686704292,0.250254212889925,0.249147095645292,0.25029600476049
"Q1y_1998",0.250283064280622,0.249305096547145,0.250142243453742,0.250269595718491
"Q2y_1998",0.250387330781341,0.250387234461594,0.249438441145315,0.24978699361175
"Q3y_1998",0.250330714561948,0.250295240072936,0.249960032935233,0.249414012429884
"Q4y_1998",0.25018807609872,0.249640283772844,0.250185215948562,0.249986424179874
"Q1y_1999",0.250553476247559,0.249568403986217,0.249722632380552,0.250155487385672
"Q2y_1999",0.250070050974691,0.249837120109597,0.250068164635074,0.250024664280637
"Q3y_1999",0.250416449755702,0.249748175935244,0.250012928351026,0.249822445958029
"Q4y_1999",0.250151125794808,0.250002199905552,0.249878299775993,0.249968374523647
"Q1y_2000",0.250485813528139,0.250104614878251,0.250420178920423,0.248989392673187
"Q2y_2000",0.250107845235394,0.249933895370357,0.249909401344216,0.250048858050033
"Q3y_2000",0.25034061563006,0.250340588120856,0.249055503457493,0.25026329279159
"Q4y_2000",0.250328918465966,0.250116098562221,0.249544581631012,0.250010401340801
"Q1y_2001",0.250426838282588,0.250123382494167,0.250198342581843,0.249251436641402
"Q2y_2001",0.250609248140272,0.24918232917562,0.250161968025741,0.250046454658368
"Q3y_2001",0.250667364349665,0.249772324566654,0.24999347935399,0.249566831729692
"Q4y_2001",0.250196970851951,0.249824760607889,0.250185766197173,0.249792502342987
"Q1y_2002",0.250161585635601,0.250114493837032,0.249892084137449,0.249831836389917
"Q2y_2002",0.25014151699348,0.249631081595718,0.250137753661929,0.250089647748874
"Q3y_2002",0.250161546608011,0.249620290704667,0.250079007555316,0.250139155132007
"Q4y_2002",0.250252293414379,0.250003643307421,0.249684190922431,0.250059872355769
"Q1y_2003",0.250401600336083,0.249707400382652,0.24984906418382,0.250041935097445
"Q2y_2003",0.250471185480033,0.249492336320576,0.249566942355787,0.250469535843604
"Q3y_2003",0.250269840267472,0.249578174881491,0.250085516851558,0.25006646799948
"Q4y_2003",0.250239248702452,0.250058897049537,0.249482544988276,0.250219309259734
"Q1y_2004",0.250306023074967,0.249380059477939,0.250007894549963,0.250306022897132
"Q2y_2004",0.250174093016732,0.249599058010001,0.250117256688627,0.250109592284639
"Q3y_2004",0.250220359387575,0.249940706988128,0.249657896160266,0.25018103746403
"Q4y_2004",0.250243172640568,0.250084853671773,0.249428814393713,0.250243159293946
"Q1y_2005",0.250475096482001,0.250138847262689,0.249555324197071,0.249830732058239
"Q2y_2005",0.250329383703215,0.250309278481419,0.24939938915235,0.249961948663016
"Q3y_2005",0.250606352036542,0.249567538957957,0.249980478164029,0.249845630841473
"Q4y_2005",0.250231064999244,0.249622996782193,0.250152678824878,0.249993259393684
"Q1y_2006",0.250206483924701,0.25004406795294,0.250080286874035,0.249669161248325
"Q2y_2006",0.250297807603205,0.249976114630561,0.249491521183535,0.250234556582699
"Q3y_2006",0.250384934901703,0.249848817523876,0.249651134887004,0.250115112687417
"Q4y_2006",0.25033473731902,0.250266216137885,0.250332347405303,0.249066699137792
"Q1y_2007",0.250217504748225,0.249665408102361,0.250210786039118,0.249906301110295
"Q2y_2007",0.250156924457196,0.249826729125017,0.24985972977491,0.250156616642876
"Q3y_2007",0.250427049697117,0.25038640646178,0.248814307102876,0.250372236738227
"Q4y_2007",0.250522215918918,0.24976721796741,0.249414013454823,0.25029655265885
"Q1y_2008",0.250066525528076,0.249876838202439,0.250037938762784,0.2500186975067
"Q2y_2008",0.250442341482468,0.250122417539456,0.249500504863028,0.249934736115048
"Q3y_2008",0.250552460468123,0.249313495158545,0.250013536024109,0.250120508349223
"Q4y_2008",0.250438927925588,0.250358021086078,0.248899147505553,0.250303903482782
"Q1y_2009",0.250491859722176,0.248904609373687,0.25015165444255,0.250451876461588
"Q2y_2009",0.250263549057484,0.249442028636889,0.250092886018843,0.250201536286783
"Q3y_2009",0.250475304234901,0.250335933804891,0.249247750838396,0.249941011121812
"Q4y_2009",0.250222856534197,0.249651538135074,0.250167117732653,0.249958487598077
"Q1y_2010",0.250617250436382,0.249986400522871,0.248812809995729,0.250583539045018
"Q2y_2010",0.250242251163711,0.249503518063378,0.250214788655434,0.250039442117476
"Q3y_2010",0.250115436058297,0.249802427176914,0.250114974849855,0.249967161914934
