"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.103158087,0.298958996,0.298985539,0.298897378
"Q2y_1984",0.070368709,0.30988004,0.309877422,0.309873829
"Q3y_1984",0.198562172,0.267145823,0.267145929,0.267146077
"Q4y_1984",0.169196539,0.276934253,0.276934538,0.27693467
"Q1y_1985",0.197291313,0.267567416,0.267563931,0.26757734
"Q2y_1985",0.185609241,0.271488999,0.271403894,0.271497866
"Q3y_1985",0.225903694,0.258045769,0.258006297,0.258044239
"Q4y_1985",0.18895117,0.27034959,0.27034971,0.27034953
"Q1y_1986",0.140688481,0.286525412,0.286431601,0.286354506
"Q2y_1986",0.177282732,0.274226511,0.274226589,0.274264168
"Q3y_1986",0.166080093,0.277992009,0.278022924,0.277904974
"Q4y_1986",0.098159256,0.300613635,0.300613581,0.300613528
"Q1y_1987",0.076001328,0.308000094,0.307998556,0.308000023
"Q2y_1987",0.047376777,0.317582347,0.31758746,0.317453417
"Q3y_1987",0.121777364,0.292714398,0.292731687,0.292776552
"Q4y_1987",0.141536727,0.286173576,0.286117812,0.286171885
"Q1y_1988",-0.018370489,0.339420996,0.33948796,0.339461533
"Q2y_1988",0.136966357,0.287619143,0.287722447,0.287692053
"Q3y_1988",0.116888509,0.294390589,0.294373645,0.294347256
"Q4y_1988",0.093364606,0.302238697,0.302180791,0.302215906
"Q1y_1989",0.105522156,0.298153959,0.298161806,0.29816208
"Q2y_1989",0.095532726,0.301431673,0.301600128,0.301435474
"Q3y_1989",0.057574303,0.314134425,0.314104163,0.314187109
"Q4y_1989",0.100446377,0.300029,0.299684525,0.299840098
"Q1y_1990",0.038651777,0.320440167,0.320438271,0.320469785
"Q2y_1990",0.065333455,0.31155556,0.311555427,0.311555558
"Q3y_1990",0.066430087,0.311178572,0.311196311,0.31119503
"Q4y_1990",-6.0892e-05,0.333304235,0.333379727,0.33337693
"Q1y_1991",-0.025465669,0.341877113,0.341716636,0.341871921
"Q2y_1991",-0.031285936,0.343745779,0.343797032,0.343743125
"Q3y_1991",-0.011359433,0.33712054,0.337118357,0.337120537
"Q4y_1991",-0.029686325,0.343153313,0.343303981,0.343229032
"Q1y_1992",-0.050632558,0.350217484,0.350236035,0.350179039
"Q2y_1992",0.003242217,0.332252662,0.332252551,0.33225257
"Q3y_1992",-0.037317099,0.345887422,0.345733372,0.345696306
"Q4y_1992",-0.043399497,0.3478047,0.347800857,0.34779394
"Q1y_1993",-0.009317104,0.336438784,0.336439016,0.336439304
