"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.25020659954426,0.249952259922376,0.250202349007415,0.249638791525949
"Q2y_1981",0.250193267467292,0.249782673880409,0.249780309968596,0.250243748683704
"Q3y_1981",0.24988213649627,0.249813150462644,0.250159685116532,0.250145027924554
"Q4y_1981",0.250255736056933,0.250080216812501,0.249998667733637,0.249665379396928
"Q1y_1982",0.249439971910388,0.250053862392011,0.250244968357646,0.250261197339954
"Q2y_1982",0.250084900962412,0.25006028257562,0.249975439409112,0.249879377052856
"Q3y_1982",0.249873601024141,0.249947210875631,0.25014256465517,0.250036623445058
"Q4y_1982",0.250057999043628,0.249775365641282,0.250223060178575,0.249943575136515
"Q1y_1983",0.249906334766062,0.250237856593366,0.249902620865817,0.249953187774754
"Q2y_1983",0.250142930707684,0.249937274359093,0.250073005181978,0.249846789751245
"Q3y_1983",0.250035700971758,0.249899674639244,0.2500456313052,0.250018993083798
"Q4y_1983",0.250063043289884,0.249963585799394,0.250019353370143,0.249954017540579
"Q1y_1984",0.250084141360853,0.249957798869343,0.249973082578221,0.249984977191584
"Q2y_1984",0.25000746705444,0.250022076140378,0.250017617953687,0.249952838851496
"Q3y_1984",0.250415597367871,0.250164910109796,0.249399378114797,0.250020114407535
"Q4y_1984",0.250266568954239,0.250266634428383,0.249819809029784,0.249646987587591
"Q1y_1985",0.249963815630309,0.250145013320862,0.249926400829402,0.249964770219425
"Q2y_1985",0.25000064387652,0.249942496128443,0.249892652403113,0.250164207591924
"Q3y_1985",0.250227272753886,0.249959111221102,0.249670428691775,0.250143187333237
"Q4y_1985",0.249930027206089,0.249947660959176,0.24998797486734,0.250134336967396
"Q1y_1986",0.250154436459902,0.249878453372987,0.249993291415074,0.249973818752035
"Q2y_1986",0.250082184792947,0.250233419872241,0.250233011901479,0.249451383433332
"Q3y_1986",0.250154187656287,0.249972745503161,0.249873252194252,0.2499998146463
"Q4y_1986",0.250226962413982,0.249971792659688,0.249651129572174,0.250150115354155
"Q1y_1987",0.250299177701448,0.250184515161307,0.250090819787235,0.24942548735001
"Q2y_1987",0.25018986149345,0.249726940378275,0.250357923387375,0.249725274740901
