"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347130803942753,0.395078623863587,0.176228665840311,0.0815619063533486
"Q2y_1981",0.62236797850863,0.24688916835725,0.130742853134119,0
"Q3y_1981",0.468155979105555,0.317520354176178,0.172759316419066,0.0415643502992007
"Q4y_1981",0.564237065319561,0.291274823147506,0.141906040046087,0.0025820714868473
"Q1y_1982",0.118949850129951,0.472404055700708,0.24413930158964,0.164506792579702
"Q2y_1982",0.183473546153134,0.42485398520753,0.247556831306004,0.144115637333332
"Q3y_1982",0.916238520407327,0,0,0.0837614795926741
"Q4y_1982",0.837278022371579,0,0,0.162721977628422
"Q1y_1983",0.845272632768153,0,0,0.154727367231847
"Q2y_1983",0.88619694000561,0,0,0.11380305999439
"Q3y_1983",0.90752068805059,0,0,0.0924793119494105
"Q4y_1983",0.903858221800999,0,0,0.0961417781990022
"Q1y_1984",0.918211293544084,0,0,0.0817887064559151
"Q2y_1984",0.925695572366576,0,0,0.074304427633424
"Q3y_1984",0.819407834377922,0,0,0.180592165622078
"Q4y_1984",0.866368680267214,0,0,0.133631319732786
"Q1y_1985",0.812751655210148,0,0,0.187248344789852
"Q2y_1985",0.809802158128863,0,0,0.190197841871139
"Q3y_1985",0.78049215792903,0,0,0.219507842070971
"Q4y_1985",0.80898555798811,0,0,0.19101444201189
"Q1y_1986",0.808172498266767,0,0,0.191827501733232
"Q2y_1986",0.843532488905828,0,0,0.156467511094172
"Q3y_1986",0.865400079617348,0,0,0.134599920382654
"Q4y_1986",0.87718786958729,0,0,0.122812130412708
"Q1y_1987",0.879540863329836,0,0,0.120459136670166
"Q2y_1987",0.901648955838506,0,0,0.098351044161493
"Q3y_1987",0.887675691334665,0,0,0.112324308665335
"Q4y_1987",0.880254959487508,0,0,0.119745040512493
"Q1y_1988",0.87223736939545,0,0,0.12776263060455
"Q2y_1988",0.853889415364949,0,0,0.146110584635051
"Q3y_1988",0.852727607117515,0,0,0.147272392882487
"Q4y_1988",0.851769693731142,0,0,0.148230306268858
"Q1y_1989",0.868435116818911,0,0,0.13156488318109
"Q2y_1989",0.876818349384828,0,0,0.123181650615173
"Q3y_1989",0.870323721877537,0,0,0.129676278122463
"Q4y_1989",0.872854222824094,0,0,0.127145777175906
"Q1y_1990",0.884349930200811,0,0,0.115650069799189
"Q2y_1990",0.884280104323683,0,0,0.115719895676316
"Q3y_1990",0.876205565084771,0,0,0.123794434915229
"Q4y_1990",0.950366026303748,2.16182480142824e-07,1.2510396716107e-07,0.0496336324098065
"Q1y_1991",0.882701379339266,0,0,0.117298620660732
"Q2y_1991",0.899753594301882,0,0,0.100246405698117
"Q3y_1991",0.902832706529529,0,0,0.0971672934704714
"Q4y_1991",0.89794520041475,0,0,0.10205479958525
"Q1y_1992",0.927131600376888,0,0,0.0728683996231123
"Q2y_1992",0.884121767374069,0,0,0.115878232625931
"Q3y_1992",0.891204013354213,0,0,0.108795986645786
"Q4y_1992",0.893041166759301,0,0,0.1069588332407
"Q1y_1993",0.891438389175363,0,0,0.108561610824638
"Q2y_1993",0.898456013067509,0,0,0.101543986932492
"Q3y_1993",0.91660516461271,0,0,0.0833948353872899
"Q4y_1993",0.905236748797695,0,0,0.0947632512023046
"Q1y_1994",0.928129110076743,0,0,0.0718708899232564
"Q2y_1994",0.903113536677316,0,0,0.0968864633226834
"Q3y_1994",0.894838326264041,0,0,0.105161673735959
"Q4y_1994",0.920364063597772,0,0,0.0796359364022288
"Q1y_1995",0.924051634571488,0,0,0.0759483654285122
"Q2y_1995",0.916073412877187,0,0,0.0839265871228132
"Q3y_1995",0.904279314830476,0,0,0.0957206851695241
"Q4y_1995",0.913539533130405,0,0,0.0864604668695943
"Q1y_1996",0.968185297123124,0,0,0.0318147028768763
"Q2y_1996",0.596708084553431,0.269109461744145,0.116222012994619,0.0179604407078026
"Q3y_1996",0.309846062403512,0.634472354242777,0.0521746543057958,0.00350692904791535
"Q4y_1996",0.941526414696302,0,0,0.0584735853036976
