"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.149855955,0.459835727,0.260744984,0.129563334
"Q2y_1984",0.118163453,0.459912533,0.294069087,0.127854927
"Q3y_1984",0.168698011,0.316935397,0.072435028,0.441931563
"Q4y_1984",0.194082145,0.461084969,0.121850607,0.222982278
"Q1y_1985",0.215588933,0.437595402,0.123153065,0.223662601
"Q2y_1985",0.206446896,0.466321823,0.121680574,0.205550707
"Q3y_1985",0.217726814,0.355233243,0.06153992,0.365500023
"Q4y_1985",0.162551217,0.273782897,0.110171171,0.453494715
"Q1y_1986",0.137225033,0.40887381,0.116114569,0.337786589
"Q2y_1986",0.202852645,0.520052588,0.155865894,0.121228872
"Q3y_1986",0.184848852,0.531708589,0.154429184,0.129013375
"Q4y_1986",0.111297755,0.463131788,0.236195963,0.189374494
"Q1y_1987",0.082834689,0.543338317,0.204378346,0.169448647
"Q2y_1987",0.067503927,0.611911203,0.187200205,0.133384666
"Q3y_1987",0.130324112,0.567851106,0.156921251,0.144903532
"Q4y_1987",0.147307723,0.557825035,0.139796379,0.155070864
"Q1y_1988",-0.026101164,0.258724245,0.27424545,0.493131469
"Q2y_1988",0.13625925,0.126878493,0.227134173,0.509728084
"Q3y_1988",0.093654033,0.151407057,0.217203267,0.537735643
"Q4y_1988",0.069625289,0.158530516,0.206229275,0.56561492
"Q1y_1989",0.080407472,0.146278953,0.196593083,0.576720493
"Q2y_1989",0.069088987,0.168619177,0.165304778,0.596987058
"Q3y_1989",0.031561006,0.21338364,0.124679951,0.630375402
"Q4y_1989",0.067665703,0.222129891,0.102560922,0.607643483
"Q1y_1990",0.004663621,0.25185984,0.092074884,0.651401655
"Q2y_1990",0.037137372,0.296471433,0.053738664,0.612652531
"Q3y_1990",0.037601313,0.242668371,0.100616101,0.619114215
"Q4y_1990",-0.02797542,0.403441677,3.196e-05,0.624501783
"Q1y_1991",-0.039406799,0.598442168,5.91e-06,0.440958721
"Q2y_1991",-0.048446594,0.550526731,0.028238708,0.469681156
"Q3y_1991",-0.050376765,0.325115419,0.042225524,0.683035822
"Q4y_1991",-0.068580362,0.314380026,0.060306354,0.693893982
"Q1y_1992",-0.07589544,0.349371405,0.110638577,0.615885458
"Q2y_1992",-0.033757909,0.316470459,0.06570939,0.651578059
"Q3y_1992",-0.060259913,0.323960797,0.043713418,0.692585698
"Q4y_1992",-0.067620819,0.317099676,0.063834785,0.686686359
"Q1y_1993",-0.034292541,0.326600758,0.072303689,0.635388094
"Q2y_1993",-0.043637527,0.266409914,0.124097347,0.653130266
"Q3y_1993",-0.048495041,0.31835633,0.115952,0.614186712
"Q4y_1993",-0.046245264,0.245263358,0.162909633,0.638072273
"Q1y_1994",-0.034044303,0.465687902,0.026865558,0.541490843
"Q2y_1994",0.062446549,0.328274737,0.045148202,0.564130512
"Q3y_1994",0.110190135,0.241981742,0.054546273,0.59328185
"Q4y_1994",0.094620547,0.363051658,0.126294711,0.416033084
"Q1y_1995",0.104237703,0.35718167,0.014779652,0.523800974
"Q2y_1995",0.129869488,0.361241604,0.006744586,0.502144322
"Q3y_1995",0.161782896,0.361475976,0.000129314,0.476611814
"Q4y_1995",0.145286989,0.400149496,5.939e-06,0.454557575
"Q1y_1996",0.162603774,0.45420393,1.5267e-05,0.383177029
"Q2y_1996",0.261865814,0.477366807,6.4e-08,0.260767315
"Q3y_1996",0.326101045,0.405305034,3.903e-06,0.268590017
"Q4y_1996",0.154406155,0.517980389,4.8132e-05,0.327565324
"Q1y_1997",0.13372301,0.525630164,0.032219811,0.308427015
"Q2y_1997",0.137797241,0.528519906,0.095003382,0.238679472
"Q3y_1997",0.124958278,0.425598836,0.040056773,0.409386113
"Q4y_1997",0.121056143,0.393047826,0.000191539,0.485704492
"Q1y_1998",0.099479826,0.587563878,0.040535657,0.272420639
"Q2y_1998",0.105999202,0.588855714,0.017343085,0.287801999
"Q3y_1998",0.089978675,0.51805877,0.096689792,0.295272763
"Q4y_1998",0.025674738,0.509083907,0.05518594,0.410055415
"Q1y_1999",0.02812878,0.633556149,0.126012872,0.212302198
"Q2y_1999",0.075791255,0.491351965,0.216328241,0.21652854
"Q3y_1999",0.086185858,0.586632501,0.167051263,0.160130378
"Q4y_1999",0.079300518,0.457344778,0.273549673,0.189805031
"Q1y_2000",0.081436513,0.460570461,0.267092723,0.190900303
"Q2y_2000",0.069240331,0.510961101,0.134731009,0.285067559
"Q3y_2000",0.067288022,0.494172653,0.12803375,0.310505576
"Q4y_2000",0.042162457,0.539122826,0.218765546,0.19994917
"Q1y_2001",0.025303631,0.46187953,0.209179016,0.303637823
"Q2y_2001",0.005505757,0.441849971,0.073499702,0.479144569
"Q3y_2001",0.009336099,0.442268683,0.071495521,0.476899698
"Q4y_2001",-0.033412162,0.395433025,0.160867556,0.477111581
"Q1y_2002",-0.033598599,0.301717858,0.436827534,0.295053207
"Q2y_2002",-0.0501549,0.234337918,0.475138174,0.340678807
"Q3y_2002",-0.0540828,0.07482175,0.699596242,0.279664808
"Q4y_2002",-0.059191827,0.334662058,0.128337018,0.596192751
"Q1y_2003",-0.061865524,0.169431646,0.217749467,0.674684411
"Q2y_2003",-0.072696561,0.030564662,0.696527041,0.345604858
"Q3y_2003",-0.073091378,0.096645716,0.70634232,0.270103343
"Q4y_2003",-0.078241824,0.061260505,0.699203478,0.317777842
"Q1y_2004",-0.081857335,3.83e-07,0.70594625,0.375910702
"Q2y_2004",-0.088281673,0.000445621,0.683956312,0.403879741
"Q3y_2004",-0.064837953,0.453996391,2.994e-06,0.610838568
"Q4y_2004",-0.073132077,0.500829368,3.486e-06,0.572299223
"Q1y_2005",-0.092562805,0.585192434,2.95e-06,0.507367422
"Q2y_2005",-0.086554566,0.640310186,3.15e-07,0.446244066
"Q3y_2005",-0.09785185,0.680770028,0.001034474,0.416047349
"Q4y_2005",-0.090031998,0.27912242,0.586398228,0.22451135
"Q1y_2006",-0.084032677,0.400642615,0.500766447,0.182623614
"Q2y_2006",-0.076269306,0.609799714,0.30142802,0.165041572
"Q3y_2006",-0.065572953,0.704004608,0.137875512,0.223692833
"Q4y_2006",-0.036444092,0.60067939,0.239183905,0.196580796
"Q1y_2007",-0.039748547,0.59839569,0.28907963,0.152273226
"Q2y_2007",-0.057811657,0.606660978,0.278110898,0.173039781
"Q3y_2007",-0.056567151,0.633373948,0.212118924,0.211074278
"Q4y_2007",-0.068530854,0.651383467,0.183738318,0.233409069
"Q1y_2008",-0.081885137,0.67467675,0.187726012,0.219482375
"Q2y_2008",-0.088409728,0.643099959,0.093098057,0.352211711
"Q3y_2008",-0.074868247,0.64294408,0.03067173,0.401252437
"Q4y_2008",-0.005934942,0.553009517,0.16541392,0.287511506
"Q1y_2009",0.004747563,0.570832643,0.308317477,0.116102317
"Q2y_2009",0.013974885,0.603556516,0.247109274,0.135359324
"Q3y_2009",0.014008664,0.592636587,0.207888188,0.185466561
"Q4y_2009",0.021032551,0.621802868,0.091804636,0.265359945
"Q1y_2010",0.030451358,0.311803249,0.424325644,0.233419749
"Q2y_2010",0.037832135,0.393860266,0.37098858,0.197319019
"Q3y_2010",0.013196993,0.586267976,0.126468974,0.274066058
