"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347128601086759,0.39507820423552,0.176231562996824,0.0815616316808956
"Q2y_1981",0.285372540324658,0.400528639625598,0.215613085784163,0.0984857342655808
"Q3y_1981",0.363195322270897,0.363293488718512,0.195561538295448,0.0779496507151425
"Q4y_1981",0.325038573258122,0.395781147662489,0.187593108607374,0.0915871704720148
"Q1y_1982",0.145596294538474,0.356871994826557,0.290003109933807,0.207528600701161
"Q2y_1982",0.195521497255139,0.384242109332147,0.262574751170765,0.157661642241949
"Q3y_1982",0.242422074501935,0.39975541413654,0.234596396585347,0.123226114776178
"Q4y_1982",0.202550455859094,0.399488827527912,0.251882152318623,0.146078564294372
"Q1y_1983",0.247429224096538,0.381418296190456,0.233315074104372,0.137837405608635
"Q2y_1983",0.323039467018182,0.357732921818282,0.218094859669862,0.101132751493674
"Q3y_1983",0.392006324708032,0.329656328780202,0.20652838725895,0.071808959252816
"Q4y_1983",0.37545195361643,0.326389958931308,0.21963358729197,0.0785245001602901
"Q1y_1984",0.330266223188194,0.330309632103675,0.253972902219039,0.0854512424890929
"Q2y_1984",0.304731158313389,0.328756783295572,0.275434149283257,0.0910779091077812
"Q3y_1984",0.356165065185136,0.211948986708505,0.185191458594896,0.246694489511463
"Q4y_1984",0.371852641887716,0.280635160038238,0.2347050330432,0.112807165030846
"Q1y_1985",0.363547330352837,0.237216279752867,0.254801294985979,0.144435094908317
"Q2y_1985",0.385383567686122,0.219457763376551,0.237842673268865,0.157315995668462
"Q3y_1985",0.326215177615912,0.216610376366427,0.289291209481738,0.167883236535923
"Q4y_1985",0.357232402721966,0.267641983589703,0.177730697660256,0.197394916028076
"Q1y_1986",0.389071367547793,0.257770330492305,0.203057264015123,0.150101037944778
"Q2y_1986",0.364431183997948,0.280036447142186,0.26416176091367,0.091370607946198
"Q3y_1986",0.330343119688726,0.285915503341285,0.296349707365012,0.0873916696049761
"Q4y_1986",0.289684915968578,0.282172075532049,0.321659219242356,0.106483789257017
"Q1y_1987",0.271662358108144,0.27504602697634,0.333511327203671,0.119780287711845
"Q2y_1987",0.24717792374998,0.270879825547603,0.385766106495049,0.0961761442073681
"Q3y_1987",0.28712608291167,0.260159883306314,0.353497491428505,0.0992165423535106
"Q4y_1987",0.306601376877457,0.256142662192971,0.328368786540454,0.108887174389118
"Q1y_1988",0.264623416128473,0.290343122986206,0.188959966291986,0.256073494593334
"Q2y_1988",0.289731544791296,0.263787267542371,0.210163533606851,0.236317654059481
"Q3y_1988",0.284990271656873,0.249934055166038,0.233769393706334,0.231306279470755
"Q4y_1988",0.272189467885689,0.235660125673347,0.252998158758635,0.239152247682328
"Q1y_1989",0.256171462366709,0.2466541696049,0.287323496307411,0.209850871720979
"Q2y_1989",0.241629839497258,0.25242638170752,0.294258356887364,0.211685421907858
"Q3y_1989",0.266167819789085,0.232565387261931,0.307072876615135,0.19419391633385
"Q4y_1989",0.264485220318871,0.232381105440465,0.312128890801329,0.191004783439335
"Q1y_1990",0.238445034600901,0.265168419867071,0.293908542396182,0.202478003135846
"Q2y_1990",0.224562777961419,0.255238118223892,0.28571736543785,0.234481738376839
"Q3y_1990",0.239927927389482,0.243180360321087,0.293793478711674,0.223098233577757
"Q4y_1990",0.123516226718851,0.473182818990758,0.326152543149757,0.0771484111406331
"Q1y_1991",0.168002814244249,0.306828454866447,0.270361687663912,0.254807043225391
"Q2y_1991",0.135081777232324,0.343743363578248,0.258993396414192,0.262181462775235
"Q3y_1991",0.133049540688647,0.286371959928086,0.307088743072343,0.273489756310924
"Q4y_1991",0.155940761329581,0.256855946004983,0.333978150401856,0.25322514226358
"Q1y_1992",0.128526705884073,0.302608647756715,0.413798150236025,0.155066496123187
"Q2y_1992",0.171107687057766,0.268429599201091,0.311910528209743,0.2485521855314
"Q3y_1992",0.159152702825029,0.257058578148516,0.327970454723677,0.255818264302778
"Q4y_1992",0.143715386955103,0.247435610705432,0.345285082275464,0.263563920064001
"Q1y_1993",0.167301043761215,0.241449267257638,0.354915135705325,0.236334553275822
"Q2y_1993",0.128599473638883,0.28332627501115,0.276458964740446,0.311615286609521
"Q3y_1993",0.105728109410985,0.303346880469551,0.333451610649147,0.257473399470318
"Q4y_1993",0.109369877871999,0.268580182933568,0.328148815334253,0.29390112386018
"Q1y_1994",0.100823542615225,0.313643425766712,0.337558521378697,0.247974510239367
"Q2y_1994",0.209320126501402,0.266978686658113,0.291488521213703,0.232212665626782
"Q3y_1994",0.211999485857015,0.24449917508817,0.299425051148492,0.244076287906322
"Q4y_1994",0.199040088420999,0.261174599310278,0.348144111819969,0.191641200448755
"Q1y_1995",0.16131178447216,0.296570903290913,0.28289313961987,0.259224172617057
"Q2y_1995",0.175292273195668,0.25197335769823,0.313706917906312,0.259027451199791
"Q3y_1995",0.20911056275984,0.245871849615796,0.322538145996696,0.222479441627667
"Q4y_1995",0.218946169674046,0.286057478449752,0.301448452846528,0.193547899029672
"Q1y_1996",0.16341173234092,0.455026038367348,0.293799667076254,0.0877625622154772
"Q2y_1996",0.2692044649834,0.447995528442425,0.212306134847443,0.0704938717267311
"Q3y_1996",0.464125323867968,0.187211087364088,0.252009497374634,0.0966540913933085
"Q4y_1996",0.203639825344783,0.357581257263469,0.298103770233529,0.14067514715822
"Q1y_1997",0.1691634131747,0.438089361877412,0.189884185663537,0.202863039284351
"Q2y_1997",0.171272322694253,0.358690049098305,0.305274401600628,0.164763226606814
"Q3y_1997",0.132181925300042,0.363258652530598,0.335257500545351,0.169301921624009
"Q4y_1997",0.143473599551934,0.320157109374555,0.273618294095981,0.262750996977531
"Q1y_1998",0.10855593868851,0.356495854357986,0.420716005854637,0.114232201098866
"Q2y_1998",0.110934898611143,0.315939935842273,0.406208091893015,0.166917073653569
"Q3y_1998",0.0897020638840595,0.345432965047947,0.387648622258108,0.177216348809886
"Q4y_1998",0.0534229364142815,0.501687043421858,0.233630285119729,0.211259735044131
"Q1y_1999",0.0546687533582863,0.423154590628599,0.400763206600966,0.121413449412149
"Q2y_1999",0.0985681790918131,0.358162422380606,0.474543140090762,0.0687262584368204
"Q3y_1999",0.100086228909502,0.372917468881665,0.418361770963048,0.108634531245785
"Q4y_1999",0.0886426623264165,0.376087338272712,0.374853173941772,0.1604168254591
"Q1y_2000",0.0942828799758515,0.314174783133524,0.420202048255177,0.171340288635447
"Q2y_2000",0.0900805698843274,0.287226516990011,0.446902179632812,0.175790733492849
"Q3y_2000",0.0897271975021845,0.319065599376622,0.452465695495568,0.138741507625625
"Q4y_2000",0.0559185140707141,0.396188596201309,0.423679308554185,0.124213581173793
"Q1y_2001",0.0565246665812531,0.389209025587247,0.388599203595713,0.165667104235788
"Q2y_2001",0.0540999105304251,0.289598801656494,0.487650792428487,0.168650495384593
"Q3y_2001",0.0470474731512846,0.336585147105979,0.455695302944336,0.1606720767984
"Q4y_2001",0.0443783091842256,0.334865337455096,0.482627148336074,0.138129205024605
"Q1y_2002",0.0901400539363014,0.319007689356427,0.450537129222348,0.140315127484924
"Q2y_2002",0.107643901438356,0.329733032947526,0.449009211973933,0.113613853640184
"Q3y_2002",0.0983663321515547,0.231487213341781,0.529085068891029,0.141061385615636
"Q4y_2002",0.0713070215378553,0.209245492006743,0.466851656419489,0.252595830035911
"Q1y_2003",0.0748766097703015,0.198453210022528,0.508909462492979,0.217760717714192
"Q2y_2003",0.0607186165624488,0.25527192002958,0.61628636655338,0.0677230968545913
"Q3y_2003",0.0543736108304289,0.277890956225077,0.576025978901728,0.0917094540427659
"Q4y_2003",0.151207856622647,0.250686817717657,0.486259662474787,0.111845663184908
"Q1y_2004",0.146376487617757,0.251827412692716,0.453491714010665,0.148304385678862
"Q2y_2004",0.124415016660302,0.283395230225851,0.402718518020923,0.189471235092924
"Q3y_2004",0.127080913619932,0.403546129874301,0.199802106336157,0.26957085016961
"Q4y_2004",0.115893972967467,0.410786257113417,0.332588621496046,0.140731148423071
"Q1y_2005",0.109237004831849,0.424763865641247,0.371863967744976,0.0941351617819281
"Q2y_2005",0.10073859755969,0.446925547838619,0.332362034234139,0.119973820367552
"Q3y_2005",0.0929483269164782,0.445414780224987,0.354233402833767,0.107403490024766
"Q4y_2005",0.109577838251876,0.473045150879605,0.327590131845596,0.0897868790229244
"Q1y_2006",0.108984545244605,0.462732575428213,0.352197142272145,0.0760857370550356
"Q2y_2006",0.1151991304443,0.516705848206035,0.301615717988875,0.0664793033607901
"Q3y_2006",0.107758079382687,0.505567057420014,0.286275154966892,0.100399708230407
"Q4y_2006",0.106000383745705,0.542924301374329,0.305874726275973,0.0452005886039914
"Q1y_2007",0.110079841008394,0.586347581093733,0.257752849587875,0.0458197283099969
"Q2y_2007",0.109496840752687,0.577590038622313,0.222900170295303,0.0900129503296978
"Q3y_2007",0.0972862390316546,0.595049431842899,0.162815265753316,0.144849063372129
"Q4y_2007",0.0696455903561604,0.610992439835147,0.197735522942961,0.12162644686573
"Q1y_2008",0.0601094075713808,0.608023320221154,0.193116865870165,0.1387504063373
"Q2y_2008",0.04837570093891,0.460970042058384,0.320885549237755,0.16976870776495
"Q3y_2008",0.0305029114523446,0.46517242071832,0.273717739166466,0.23060692866287
"Q4y_2008",0.0368566401565801,0.400121321341331,0.46838268998764,0.0946393485144488
"Q1y_2009",0.0319842785463212,0.560726567675891,0.212029289512574,0.195259864265215
"Q2y_2009",0.0285093329429908,0.612585862261597,0.116556210723887,0.242348594071525
"Q3y_2009",0.0293055822200064,0.591440881680631,0.113686814631277,0.265566721468085
"Q4y_2009",0.0426532651152666,0.420898776229826,0.0864596713397095,0.449988287315198
"Q1y_2010",0.0803518456449773,0.313551492803862,0.0755329074120331,0.530563754139127
"Q2y_2010",0.0624007652868325,0.423546367171303,0.135007475525019,0.379045392016846
"Q3y_2010",0.0385989998818309,0.467707085075445,0.256863960555917,0.236829954486808
