"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.347124810154775,0.395085455631017,0.176230284911144,0.0815594493030641
"Q2y_1981",0.39995739583258,0.373463453088838,0.198147596645441,0.028431554433141
"Q3y_1981",0.399980492308174,0.351535103587342,0.192392673518761,0.0560917305857225
"Q4y_1981",0.399955172573215,0.372424762063254,0.18169505341346,0.0459250119500697
"Q1y_1982",0.134779365723376,0.399971069792623,0.275313753193388,0.189935811290613
"Q2y_1982",0.191164332985832,0.399898180373554,0.257411387394186,0.151526099246427
"Q3y_1982",0.242629136805615,0.399679409677807,0.234652576044767,0.123038877471812
"Q4y_1982",0.202318707211354,0.399873536885069,0.251731440499978,0.146076315403599
"Q1y_1983",0.247421053735434,0.381444615973222,0.233314324482717,0.137820005808627
"Q2y_1983",0.323033174314376,0.357738400328221,0.218094205280883,0.101134220076519
"Q3y_1983",0.399998755071285,0.328005339490105,0.205165275947431,0.0668306294911795
"Q4y_1983",0.39999871815982,0.323362227185019,0.216312246020632,0.060326808634528
"Q1y_1984",0.399945842530502,0.317043750749661,0.237792656058849,0.0452177506609885
"Q2y_1984",0.399977303536696,0.31043306522517,0.254201220391222,0.0353884108469122
"Q3y_1984",0.356162729552924,0.21197125387699,0.185185450472402,0.246680566097683
"Q4y_1984",0.399961642396672,0.274228595135064,0.228181498011826,0.0976282644564377
"Q1y_1985",0.36353979616155,0.237218769778663,0.254815225016265,0.144426209043522
"Q2y_1985",0.399863718773034,0.0122807084613702,0.189237964467629,0.398617608297967
"Q3y_1985",0.398954367969149,0.00683871164288805,0.194425678704457,0.399781241683506
"Q4y_1985",0.399471675264668,0.137750960549522,0.0633711829423643,0.399406181243447
"Q1y_1986",0.398373182968388,0.0027357284913053,0.198936317533862,0.399954771006445
"Q2y_1986",0.399594499497112,0.0044862247119598,0.198654196819137,0.397265078971791
"Q3y_1986",0.399529440479196,0.00410485616109123,0.196391063084376,0.399974640275337
"Q4y_1986",0.399490545556635,0.0262358541977269,0.174487639794641,0.399785960450998
"Q1y_1987",0.399944632970215,0.0103096298770971,0.189997336750374,0.399748400402315
"Q2y_1987",0.399625183192028,0.0105172865548974,0.191065096558376,0.398792433694699
"Q3y_1987",0.399874486133516,0.00315000761178112,0.197552765983056,0.399422740271646
"Q4y_1987",0.398827934225757,0.0203575282617381,0.22348065334803,0.357333884164475
"Q1y_1988",0.399747627251652,0.198259893539191,0.00226288977964009,0.399729589429518
"Q2y_1988",0.399904457849839,0.200019298078513,0.00117818768199552,0.398898056389653
"Q3y_1988",0.399826204861515,0.198806117462619,0.00270504525168367,0.398662632424183
"Q4y_1988",0.399682293975784,0.200056163513616,0.000787667166536322,0.399473875344063
"Q1y_1989",0.399944411201325,0.182548187519309,0.0186794112556727,0.398827990023693
"Q2y_1989",0.399213233103074,0.00267038014999882,0.199187818510608,0.398928568236318
"Q3y_1989",0.399441233209567,0.00131807926091572,0.199363941533847,0.399876745995672
"Q4y_1989",0.399785532957848,0.00368733503086559,0.197538976204801,0.398988155806485
"Q1y_1990",0.399914257061218,0.0457878771877935,0.154327505314054,0.399970360436935
"Q2y_1990",0.399780058810318,0.00209816774515569,0.199310350287188,0.398811423157337
"Q3y_1990",0.399308529277783,0.000171406692672988,0.200728354825135,0.399791709204408
"Q4y_1990",0.399781080521117,0.194237520296751,0.00645820336387068,0.399523195818261
"Q1y_1991",0.399718453064628,0.0122280381913014,0.18841154168576,0.399641967058311
"Q2y_1991",0.399866985586978,0.0134125507400479,0.188037481923215,0.39868298174976
"Q3y_1991",0.399601940079304,0.00169503023100819,0.199071952432978,0.39963107725671
"Q4y_1991",0.399726794260292,0.00165640785421218,0.19952372673979,0.399093071145706
