"risk","expreturn"
"Q1y_1984",0.0214937991632327,0.009028190640701
"Q2y_1984",0.0187153369116719,0.00881627374040321
"Q3y_1984",0.0308707912707433,0.00617595288689368
"Q4y_1984",0.0324357159309238,0.00740881362629653
"Q1y_1985",0.0342789952835502,0.00910239271400548
"Q2y_1985",0.0310826063549415,0.00867945283763177
"Q3y_1985",0.0327811971984085,0.0101345385613175
"Q4y_1985",0.0249730090887894,0.0106942645824499
"Q1y_1986",0.0280671785252735,0.0127163349925089
"Q2y_1986",0.0248790191662977,0.0139053310124763
"Q3y_1986",0.0196677308430710,0.0126682285093988
"Q4y_1986",0.0139468234554707,0.0123366544484605
"Q1y_1987",0.0103455525071779,0.0119298433717631
"Q2y_1987",0.00944531627402262,0.0114437457951267
"Q3y_1987",0.0192484099044771,0.0104441520045646
"Q4y_1987",0.0257387858822380,0.00927829159604573
"Q1y_1988",0.0264736907633891,0.00857124793733223
"Q2y_1988",0.0282339152330407,0.009482205150386
"Q3y_1988",0.0243086196105891,0.00887641860684875
"Q4y_1988",0.0208080621425989,0.00812322528097427
"Q1y_1989",0.0185676913033992,0.00855598881606905
"Q2y_1989",0.0151932931962936,0.00854896679645465
"Q3y_1989",0.0170459020658392,0.0106619899520250
"Q4y_1989",0.0170166838817043,0.0101977134575671
"Q1y_1990",0.0130565743883491,0.0105147739733011
"Q2y_1990",0.0140396267663723,0.00892176638768332
"Q3y_1990",0.0156270152633008,0.0088610261789056
"Q4y_1990",0.0132548014177820,0.0111974216544394
"Q1y_1991",0.0115671336173838,0.00999934362676675
"Q2y_1991",0.00835849633216712,0.00911644587943402
"Q3y_1991",0.00752969579447522,0.00851736797445476
"Q4y_1991",0.00837143721972532,0.0098068069427239
"Q1y_1992",0.0103410809174779,0.0100306139503562
"Q2y_1992",0.0147871906505257,0.00849806707891927
"Q3y_1992",0.0106313962872940,0.0091260465692805
"Q4y_1992",0.007697377327056,0.00957158862839476
"Q1y_1993",0.0125454935171102,0.00839603112895708
"Q2y_1993",0.00875347463596626,0.0088623002807058
"Q3y_1993",0.00876893366999743,0.0087336372563049
"Q4y_1993",0.00686606936638955,0.008419099034422
"Q1y_1994",0.0107571727703386,0.00730304794444759
"Q2y_1994",0.0249697167331256,0.00488629332647566
"Q3y_1994",0.021473968756081,0.00465512848188409
"Q4y_1994",0.0221105697655090,0.00394225908769998
"Q1y_1995",0.0180336163787043,0.00361618841825787
"Q2y_1995",0.0175459421982013,0.00470456841731804
"Q3y_1995",0.0206195375358512,0.00607853271405178
"Q4y_1995",0.0158262715622178,0.00652433057562956
"Q1y_1996",0.0126122555146131,0.00782812414982025
"Q2y_1996",0.0182346366026266,0.00803122994784355
"Q3y_1996",0.0157068291854950,0.00803313392729212
"Q4y_1996",0.0149628430157017,0.00641393869718595
"Q1y_1997",0.0173166243694839,0.00708062615084619
"Q2y_1997",0.0180207098744636,0.00553760102028556
"Q3y_1997",0.0144940396068812,0.00605281128248834
"Q4y_1997",0.0175426648828842,0.00691233611686309
"Q1y_1998",0.0143473005296783,0.00681199196208011
"Q2y_1998",0.0120328259923938,0.00658882961755859
"Q3y_1998",0.00852699094773484,0.00684533847853587
"Q4y_1998",0.0125038471325222,0.00769620048714929
"Q1y_1999",0.0114443867303177,0.00695204227236779
"Q2y_1999",0.0189444446859704,0.00590240432327792
"Q3y_1999",0.0190948526530462,0.00481832524228853
"Q4y_1999",0.0162222275434632,0.00460835411662321
"Q1y_2000",0.0144104240300499,0.00423784736428314
"Q2y_2000",0.0141009621400917,0.00460886434841234
"Q3y_2000",0.0164194082627887,0.00471856305636587
"Q4y_2000",0.0133010598483184,0.00513540653326939
"Q1y_2001",0.0140492238840576,0.00621553640175348
"Q2y_2001",0.0106593311149347,0.00663431029909967
"Q3y_2001",0.0104712541874707,0.00601612966545431
"Q4y_2001",0.0112734537303450,0.00713605936780124
"Q1y_2002",0.0197007654457958,0.00573295699815011
"Q2y_2002",0.0220295509536040,0.00460279377280081
"Q3y_2002",0.0173524502054036,0.00551669905135356
"Q4y_2002",0.0148091844471918,0.006829585243178
"Q1y_2003",0.0154288462543965,0.00641389504933891
"Q2y_2003",0.0136335395577340,0.00620999583337279
"Q3y_2003",0.0125219074924852,0.00654901788823301
"Q4y_2003",0.0268585590903010,0.00528396047879272
"Q1y_2004",0.0216529250375186,0.00569409034915017
"Q2y_2004",0.0160102106083956,0.00617314657919321
"Q3y_2004",0.0216884617388255,0.00484979735969845
"Q4y_2004",0.0182277019777810,0.0053153304255119
"Q1y_2005",0.0158681567961144,0.00530099379195513
"Q2y_2005",0.0149635082677465,0.00461324999754325
"Q3y_2005",0.0122807088989593,0.00493535069058774
"Q4y_2005",0.0146661611153544,0.00476759746314199
"Q1y_2006",0.0135356824973139,0.00423976431310793
"Q2y_2006",0.0133592780268003,0.00386436193979021
"Q3y_2006",0.0114598106012439,0.00316044872560852
"Q4y_2006",0.0117063279883826,0.00416451402801839
"Q1y_2007",0.0111600431473592,0.00451816581481313
"Q2y_2007",0.0101825029524952,0.00450869546514469
"Q3y_2007",0.0106278243424414,0.00422393049090641
"Q4y_2007",0.00945842371592476,0.00472511178647448
"Q1y_2008",0.0103472222547243,0.00501993465063373
"Q2y_2008",0.00990436646031035,0.00491717866011441
"Q3y_2008",0.0113176228601670,0.00441651208378867
"Q4y_2008",0.0151270985647537,0.00284089935121364
"Q1y_2009",0.0361383458055116,0.00310980646779868
"Q2y_2009",0.0301978493196312,0.00319295850264042
"Q3y_2009",0.0224686572133648,0.00384555664773552
"Q4y_2009",0.0172252708356361,0.00503927799303845
"Q1y_2010",0.0208496042282129,0.00411114175233615
"Q2y_2010",0.0169730856824052,0.00454482058658338
"Q3y_2010",0.0141359808845766,0.00526122813941753
