"risk","expreturn"
"Q1y_1981",0.0267910253658333,0.00867834334468453
"Q2y_1981",0.0218756310243638,0.00748811309819412
"Q3y_1981",0.0242372265093098,0.00737780638025765
"Q4y_1981",0.0236264864852876,0.00597724971620892
"Q1y_1982",0.0308728878231067,0.00734802104710481
"Q2y_1982",0.0287696991657268,0.00707249769375641
"Q3y_1982",0.0274480432193398,0.00675822815897714
"Q4y_1982",0.0291717755054311,0.00780068511002333
"Q1y_1983",0.0287132499330258,0.00861057261169637
"Q2y_1983",0.0271430227739568,0.00900699945831741
"Q3y_1983",0.0252830581273902,0.0090494556753575
"Q4y_1983",0.0243477998468751,0.00885454280200019
"Q1y_1984",0.022537918493398,0.00877593385510515
"Q2y_1984",0.0214461373123554,0.00865770495843771
"Q3y_1984",0.0195711443951744,0.00796915943911507
"Q4y_1984",0.0220649282901331,0.00846694945456529
"Q1y_1985",0.0214976247232554,0.00872290205293911
"Q2y_1985",0.0206304307873028,0.00875039511871453
"Q3y_1985",0.0205546795610686,0.00895989373198936
"Q4y_1985",0.0206691060907888,0.00848974494527174
"Q1y_1986",0.0213043452181479,0.00908692113172407
"Q2y_1986",0.0218636234922591,0.00939626959949048
"Q3y_1986",0.0207015787187627,0.00944980506001613
"Q4y_1986",0.020092420136291,0.00929991666186899
"Q1y_1987",0.0190679555626662,0.00928343581013983
"Q2y_1987",0.0184887272260253,0.00961958485729526
"Q3y_1987",0.0192170911831297,0.00959736271226174
"Q4y_1987",0.0196867896689091,0.00937375256011041
"Q1y_1988",0.0217079747234979,0.00853830403972736
"Q2y_1988",0.0217183960941851,0.00880904295923065
"Q3y_1988",0.02075683367282,0.00882940579385869
"Q4y_1988",0.0196450587404365,0.00865056803095381
"Q1y_1989",0.0194607387068098,0.00882900768462995
"Q2y_1989",0.0188328834511498,0.00888787423466925
"Q3y_1989",0.0188640392735084,0.00917996090089576
"Q4y_1989",0.0186195052705297,0.00922065371081233
"Q1y_1990",0.0184333537445848,0.00916304211003992
"Q2y_1990",0.0181209563647269,0.00886825395002782
"Q3y_1990",0.0179109534223651,0.00881017272460202
"Q4y_1990",0.0218624309177024,0.0087546424702815
"Q1y_1991",0.0183702991105685,0.00877320811319454
"Q2y_1991",0.0177713028448871,0.00884242952566897
"Q3y_1991",0.0167894800581222,0.0087413177887646
"Q4y_1991",0.0163054848482609,0.00892876439266423
"Q1y_1992",0.017747245486479,0.0089496369798144
"Q2y_1992",0.0168866945370631,0.0087648675500504
"Q3y_1992",0.0162158197991674,0.00880197879841316
"Q4y_1992",0.0155722897211421,0.00881278144527997
"Q1y_1993",0.015753899382189,0.00874572995631517
"Q2y_1993",0.015939941855721,0.00883920582242316
"Q3y_1993",0.0158996553629394,0.00871556649390614
"Q4y_1993",0.0148717659457814,0.00869517222548762
"Q1y_1994",0.0157288424720223,0.00848698939630562
"Q2y_1994",0.0181836476355521,0.00840075149378875
"Q3y_1994",0.0170873256886057,0.00833030427657098
"Q4y_1994",0.0176456289821283,0.0082507251894309
"Q1y_1995",0.0172569424094004,0.00805260370463252
"Q2y_1995",0.0164042416889919,0.00810077309270876
"Q3y_1995",0.0169711946491838,0.00826326927530177
"Q4y_1995",0.0155571666072438,0.00838287003600578
"Q1y_1996",0.0163964446928313,0.00868129591390073
"Q2y_1996",0.0156209235762258,0.00881388781455132
"Q3y_1996",0.0128412910055075,0.0092200209624543
"Q4y_1996",0.015107151867926,0.00866806580911763
"Q1y_1997",0.0166745035086309,0.00871959041223118
"Q2y_1997",0.0163890427905597,0.00861114260882295
"Q3y_1997",0.0160438062616854,0.00863957101598798
"Q4y_1997",0.0166313266538964,0.00866810699996622
"Q1y_1998",0.0167538086319435,0.00867293732286495
"Q2y_1998",0.0154954070115813,0.00852921639159207
"Q3y_1998",0.0148946949244917,0.00836400183114413
"Q4y_1998",0.0174499505196054,0.00812424182527678
"Q1y_1999",0.0167030570266102,0.00813432941128942
"Q2y_1999",0.0177651120980644,0.00821222992659456
"Q3y_1999",0.0177344261440835,0.00814660044445028
"Q4y_1999",0.0170488084267952,0.00798295024044601
"Q1y_2000",0.0161866281766895,0.00793403811589774
"Q2y_2000",0.0155928497217853,0.00794143149376661
