"risk","expreturn"
"Q1y_1981",3.0504,1.03040839714438
"Q2y_1981",2.8629,0.981074824625646
"Q3y_1981",2.8484,0.900082795108234
"Q4y_1981",2.9308,0.771025346727668
"Q1y_1982",3.1568,0.792648208400287
"Q2y_1982",2.9971,0.767170528677003
"Q3y_1982",2.9239,0.738712751966982
"Q4y_1982",3.0135,0.829475229673685
"Q1y_1983",3.013,0.929056463130856
"Q2y_1983",2.932,0.986929165145562
"Q3y_1983",2.826,1.00760145684933
"Q4y_1983",2.7451,0.984809646607344
"Q1y_1984",2.6261,0.982330946680435
"Q2y_1984",2.5501,0.967864022391144
"Q3y_1984",2.3126,0.918059595335258
"Q4y_1984",2.5034,0.943796714085732
"Q1y_1985",2.377,0.953565378766808
"Q2y_1985",2.3205,0.972163030696287
"Q3y_1985",2.2673,0.979722552663807
"Q4y_1985",2.3809,0.945130148493139
"Q1y_1986",2.37,0.98893663149521
"Q2y_1986",2.408,0.999404932662208
"Q3y_1986",2.3313,1.00616459181966
"Q4y_1986",2.3654,0.990804555657135
"Q1y_1987",2.2931,0.994601772990519
"Q2y_1987",2.298,1.03427614017922
"Q3y_1987",2.2973,1.03762828897105
"Q4y_1987",2.2958,1.02007825290023
"Q1y_1988",2.7373,0.945355813482838
"Q2y_1988",2.6328,0.969636491826576
"Q3y_1988",2.5146,0.972059291155639
"Q4y_1988",2.4121,0.952319240055908
"Q1y_1989",2.3873,0.963225287742838
"Q2y_1989",2.3453,0.972405029282011
"Q3y_1989",2.2928,0.994343187284083
"Q4y_1989",2.2682,1.00337951853511
"Q1y_1990",2.3135,0.997262016693386
"Q2y_1990",2.3019,0.965362205349393
"Q3y_1990",2.2437,0.955626347422417
"Q4y_1990",3.2809,0.953965083469588
"Q1y_1991",2.4119,0.938607386394042
"Q2y_1991",2.4497,0.964464004925481
"Q3y_1991",2.317,0.952872657584578
"Q4y_1991",2.1864,0.966269314614927
"Q1y_1992",2.4121,0.960527680201016
"Q2y_1992",2.2135,0.945249068643533
"Q3y_1992",2.1574,0.947245419838684
"Q4y_1992",2.1042,0.947813672995114
"Q1y_1993",2.0697,0.940281604569346
"Q2y_1993",2.2062,0.962475421668501
"Q3y_1993",2.2065,0.940232296675471
"Q4y_1993",2.0855,0.943129470378891
"Q1y_1994",2.2001,0.912860786681654
"Q2y_1994",2.2717,0.899463426665535
"Q3y_1994",2.1506,0.895294072849806
"Q4y_1994",2.1907,0.879892250273032
"Q1y_1995",2.2526,0.86749130004629
"Q2y_1995",2.118,0.872052612723989
"Q3y_1995",2.1022,0.883778876747487
"Q4y_1995",1.8792,0.89288795635699
"Q1y_1996",2.1186,0.910009344583271
"Q2y_1996",1.8364,0.914884484400911
"Q3y_1996",1.5341,0.921537619180186
"Q4y_1996",1.8282,0.923150613628839
"Q1y_1997",2.1716,0.947443196207099
"Q2y_1997",2.0647,0.931225763304312
"Q3y_1997",2.1039,0.941544393036636
"Q4y_1997",2.1895,0.958344605660906
"Q1y_1998",2.3117,0.938943679133736
"Q2y_1998",2.0821,0.932601902804649
"Q3y_1998",2.0588,0.912281729768451
"Q4y_1998",2.8264,0.878464522307489
"Q1y_1999",2.6216,0.863892278865038
"Q2y_1999",2.6483,0.862497129164252
"Q3y_1999",2.5244,0.870537984993467
"Q4y_1999",2.4236,0.860838735896049
"Q1y_2000",2.2646,0.864003715669117
"Q2y_2000",2.2003,0.870200872983571
"Q3y_2000",2.2636,0.882070819282401
"Q4y_2000",2.5228,0.883314243262788
"Q1y_2001",2.4147,0.879021363186448
"Q2y_2001",2.2718,0.853381850845995
"Q3y_2001",2.2926,0.853765948854129
"Q4y_2001",2.5209,0.82477378718763
"Q1y_2002",2.3576,0.818727625775936
"Q2y_2002",2.4435,0.82740375194247
"Q3y_2002",2.3513,0.814858887688557
"Q4y_2002",2.544,0.796262684788321
"Q1y_2003",2.5261,0.798404240170909
"Q2y_2003",2.898,0.791912605752044
"Q3y_2003",2.7093,0.808679966795004
"Q4y_2003",2.4493,0.809795594063006
"Q1y_2004",2.2855,0.826184192535386
"Q2y_2004",2.1857,0.837376838905859
"Q3y_2004",2.4932,0.824771082166318
"Q4y_2004",2.3767,0.834330105048533
"Q1y_2005",2.4139,0.834904176677837
"Q2y_2005",2.354,0.833647319608444
"Q3y_2005",2.2608,0.834729511121575
"Q4y_2005",2.3075,0.843659239521431
"Q1y_2006",2.2687,0.830350633861888
"Q2y_2006",2.2935,0.83309351420289
"Q3y_2006",2.1166,0.828573576833914
"Q4y_2006",2.2405,0.821528525976898
"Q1y_2007",2.1624,0.822651930694231
"Q2y_2007",2.0234,0.821859838082226
"Q3y_2007",2.0674,0.813300250487129
"Q4y_2007",2.1641,0.816463649581389
"Q1y_2008",2.2904,0.80791357605365
"Q2y_2008",2.2271,0.802045490561366
"Q3y_2008",2.6853,0.804558905755295
"Q4y_2008",3.0522,0.772382239977227
"Q1y_2009",6.947,0.671120199442329
"Q2y_2009",6.3765,0.62554573548888
"Q3y_2009",5.5054,0.653967573592462
"Q4y_2009",4.3884,0.674987660367854
"Q1y_2010",3.5542,0.682874920404749
"Q2y_2010",3.215,0.686261234375577
"Q3y_2010",3.3795,0.665900369499888
