"risk","expreturn"
"Q1y_1984",0.0147669807210422,0.0089256257993088
"Q2y_1984",0.0133280318374123,0.00876373288281174
"Q3y_1984",0.0179564759130925,0.0061675964030899
"Q4y_1984",0.0192546640254004,0.00720339585691138
"Q1y_1985",0.0209532573281068,0.00878131870103751
"Q2y_1985",0.0191917556799094,0.00833029179726786
"Q3y_1985",0.0206000550435624,0.00929129345026217
"Q4y_1985",0.0171627329551196,0.010165264550343
"Q1y_1986",0.0195351809376342,0.0117460308120093
"Q2y_1986",0.0182014515321128,0.0116252195106469
"Q3y_1986",0.0153216628175721,0.0115493670381211
"Q4y_1986",0.0125254720977525,0.0117135795210727
"Q1y_1987",0.0107612694768293,0.0117741361272797
"Q2y_1987",0.0100389481657387,0.0111878349786012
"Q3y_1987",0.0141582477356260,0.00975834310873747
"Q4y_1987",0.0165692694578017,0.00789959052667536
"Q1y_1988",0.0169897223582144,0.0085712063602225
"Q2y_1988",0.0181946641796629,0.00925413883347398
"Q3y_1988",0.0160479646864204,0.00877168445338268
"Q4y_1988",0.0140256640600367,0.00812248400935186
"Q1y_1989",0.0131260580088551,0.00845929488315549
"Q2y_1989",0.0114598780109728,0.0083417778946715
"Q3y_1989",0.0133990379916036,0.0105231132094259
"Q4y_1989",0.0131293622449806,0.00995240949711536
"Q1y_1990",0.0113630794666967,0.0102594309047538
"Q2y_1990",0.0110829617644858,0.00872136614648482
"Q3y_1990",0.0118547408679936,0.00879084838812506
"Q4y_1990",0.0116158318409444,0.0102201372539007
"Q1y_1991",0.0104075658161875,0.00980248254449427
"Q2y_1991",0.00845693638564134,0.00905685732197723
"Q3y_1991",0.0077723132137886,0.0084873564730223
"Q4y_1991",0.00880434146384177,0.00977199409632334
"Q1y_1992",0.00987461416952081,0.0100242106995728
"Q2y_1992",0.0112875883275511,0.00849519585897925
"Q3y_1992",0.00957835289486694,0.0091259433379335
"Q4y_1992",0.0083710154778682,0.00956765855710124
"Q1y_1993",0.0101447912169800,0.00830979545508043
"Q2y_1993",0.00853304746335102,0.00883321846391167
"Q3y_1993",0.00846961634158475,0.00866932518247352
"Q4y_1993",0.0073731661390255,0.00826659596175728
"Q1y_1994",0.00868325900023024,0.00700596263561492
"Q2y_1994",0.0144392409241422,0.00474448484863513
"Q3y_1994",0.0126537743451843,0.00459916095408649
"Q4y_1994",0.0125975694122389,0.0038071320744408
"Q1y_1995",0.0104756690625396,0.00353324697112941
"Q2y_1995",0.0107362971907934,0.00450504258102635
"Q3y_1995",0.0128333470223945,0.00561299662334116
"Q4y_1995",0.0107324403864031,0.00610102621487846
"Q1y_1996",0.00990889822830485,0.00782578693068755
"Q2y_1996",0.0124490360090577,0.00686458863143472
"Q3y_1996",0.0111523328168167,0.00655110098834015
"Q4y_1996",0.0102951688761485,0.00622425811790294
"Q1y_1997",0.0117656323405760,0.00687607321691722
"Q2y_1997",0.0114101025125311,0.00549252782119997
"Q3y_1997",0.00996074805731257,0.00605143507275957
"Q4y_1997",0.0118473578513028,0.00687774232463813
"Q1y_1998",0.0102481010875569,0.00677120209464815
"Q2y_1998",0.008992834207043,0.0064450625995672
"Q3y_1998",0.00737227096565541,0.00650675642821425
"Q4y_1998",0.00977701965783282,0.00754509069385286
"Q1y_1999",0.008918556325796,0.00694889905320811
"Q2y_1999",0.0120444654636625,0.00589725100235709
"Q3y_1999",0.0115852537654083,0.00474906545186318
"Q4y_1999",0.0100857166922156,0.00454845379526864
"Q1y_2000",0.00898921862381177,0.00402626557966298
"Q2y_2000",0.00903976790804261,0.00448232081702035
"Q3y_2000",0.0102160637728171,0.00460128382255574
"Q4y_2000",0.00893758379430792,0.00513381037796345
"Q1y_2001",0.0097994966580735,0.00613602550794182
"Q2y_2001",0.00836123431606038,0.00649712936620913
"Q3y_2001",0.00797152685138143,0.00588969960677525
"Q4y_2001",0.00885370014335485,0.00675224696790456
"Q1y_2002",0.0122107327300908,0.00520684248565516
"Q2y_2002",0.0128402199071337,0.00431025668981794
"Q3y_2002",0.0109986904642754,0.00515412506315904
"Q4y_2002",0.0102947369774112,0.00602973964011526
"Q1y_2003",0.0104562453002933,0.00586830454237814
"Q2y_2003",0.0094429884518628,0.00548598962644749
"Q3y_2003",0.00919618028459285,0.00634587401877878
"Q4y_2003",0.0155423062350499,0.0051177555119853
"Q1y_2004",0.013241755741717,0.00562797579867281
"Q2y_2004",0.0107284152393841,0.00605171764585191
"Q3y_2004",0.0128253046067725,0.00468340613847307
"Q4y_2004",0.0113527153195851,0.00506472770396342
"Q1y_2005",0.0102174935100100,0.00511462968181701
"Q2y_2005",0.00940783396908098,0.00427255952676743
"Q3y_2005",0.00831301590214671,0.00479826504166157
"Q4y_2005",0.00930893105202388,0.00431207145257673
"Q1y_2006",0.00853962660571012,0.00396338119706079
"Q2y_2006",0.00824366804013705,0.00349828858006141
"Q3y_2006",0.00700501255263444,0.00288543877326316
"Q4y_2006",0.0076717704052357,0.00409632808838316
"Q1y_2007",0.00754240864661189,0.00432875446880550
"Q2y_2007",0.00708555630542058,0.00439383875129178
"Q3y_2007",0.00709971383074484,0.00391719312380859
"Q4y_2007",0.00682050153154916,0.00455485490846656
"Q1y_2008",0.00744269535004483,0.00498992224100681
"Q2y_2008",0.00716505515461723,0.00483311773494856
"Q3y_2008",0.00754947826568748,0.00409472856414913
"Q4y_2008",0.00868944937855176,0.00275269863007914
"Q1y_2009",0.0188420428172775,0.00234865382431699
"Q2y_2009",0.0159431047037444,0.00219106393784938
"Q3y_2009",0.0126516889607186,0.00341250584268579
"Q4y_2009",0.0106643597337917,0.00449736588553059
"Q1y_2010",0.0119720947635898,0.00359045796756316
"Q2y_2010",0.0103364361694662,0.00415300634218292
"Q3y_2010",0.00933492649009449,0.00490475530923585
