"risk","expreturn"
"Q1y_1981",0.026787719535058,0.0086764929869991
"Q2y_1981",0.0218728733895283,0.00748684743783449
"Q3y_1981",0.0242302513948131,0.00737362421936652
"Q4y_1981",0.0236247733021971,0.00597738438353657
"Q1y_1982",0.0308718898674036,0.00734686227711577
"Q2y_1982",0.0287702130923597,0.00707322435030431
"Q3y_1982",0.0274472738415697,0.00675749388257926
"Q4y_1982",0.029170765488223,0.00779979700647791
"Q1y_1983",0.0287127748093137,0.00861012835910586
"Q2y_1983",0.0271416126466027,0.00900593088225823
"Q3y_1983",0.0252826861298291,0.00905042011390259
"Q4y_1983",0.024346363701887,0.00885469487812033
"Q1y_1984",0.0225359225880341,0.00877662330817904
"Q2y_1984",0.0214442553503552,0.00865723032449006
"Q3y_1984",0.019568896210025,0.007968114610976
"Q4y_1984",0.0220598635848485,0.00846402410056435
"Q1y_1985",0.0214972709568094,0.0087241398875939
"Q2y_1985",0.0206264216278612,0.00874922191015683
"Q3y_1985",0.0205538776693627,0.00896082040017638
"Q4y_1985",0.0206643290059185,0.00848833474946246
"Q1y_1986",0.0213018133219958,0.0090859420870032
"Q2y_1986",0.0218629498994694,0.00939548055838862
"Q3y_1986",0.0206978432603746,0.00944894329050574
"Q4y_1986",0.0200850693500799,0.00929773190159163
"Q1y_1987",0.0190657773583118,0.00928157308462987
"Q2y_1987",0.0184866490352436,0.00962079916355907
"Q3y_1987",0.0192142391062109,0.00959724307662809
"Q4y_1987",0.0196841126297373,0.00937208472787695
"Q1y_1988",0.0216992112637477,0.00853611692825458
"Q2y_1988",0.0217153745138427,0.00880853807963364
"Q3y_1988",0.0207535368946982,0.00882900953033888
"Q4y_1988",0.0196426101092637,0.00864983317101822
"Q1y_1989",0.0194577530221772,0.00882866413651793
"Q2y_1989",0.0188266074028478,0.00888647176257451
"Q3y_1989",0.0188621428273025,0.00917937073241518
"Q4y_1989",0.0186122491428444,0.00921906153613795
"Q1y_1990",0.018425455430276,0.00916114029207858
"Q2y_1990",0.018113051562974,0.00886645194183723
"Q3y_1990",0.0179060194069257,0.00880919513665964
"Q4y_1990",0.0218594103468441,0.00875448875244869
"Q1y_1991",0.0183676865634712,0.00877282837906236
"Q2y_1991",0.0177636149753107,0.0088407890177115
"Q3y_1991",0.016786575663824,0.0087409506878057
"Q4y_1991",0.0162952167795287,0.00892701990789855
"Q1y_1992",0.0177375133943426,0.00894798709514392
"Q2y_1992",0.0168846361650136,0.00876466869024218
"Q3y_1992",0.016207348891565,0.0088006547885144
"Q4y_1992",0.0155706285418666,0.00881251118409175
"Q1y_1993",0.0157450006130288,0.00874406388346662
"Q2y_1993",0.0159302178987993,0.00883773527244204
"Q3y_1993",0.0158912414709478,0.00871408763636922
"Q4y_1993",0.0148679619530177,0.00869462579108425
"Q1y_1994",0.0157252643982316,0.00848643419710436
"Q2y_1994",0.0181801654990808,0.00840059628447099
"Q3y_1994",0.0170848706077065,0.00832975618910641
"Q4y_1994",0.0176451194446773,0.0082506759673588
"Q1y_1995",0.0172537682989952,0.00805218904794546
"Q2y_1995",0.0164018993025512,0.00810051971380113
"Q3y_1995",0.0169684626144016,0.0082626473150507
"Q4y_1995",0.0155526349365891,0.00838167125241083
"Q1y_1996",0.0163903808596958,0.00867969974230631
"Q2y_1996",0.0156200722530067,0.0088133010424081
"Q3y_1996",0.0128394201468988,0.00922001757987924
"Q4y_1996",0.0151065240157898,0.00866819867146976
"Q1y_1997",0.0166714984981594,0.00871892023972896
"Q2y_1997",0.0163854032356118,0.00861042958194807
"Q3y_1997",0.0160410481300026,0.00863977657057351
"Q4y_1997",0.0166267856778331,0.00866798221308665
"Q1y_1998",0.0167511306420943,0.0086723473313538
"Q2y_1998",0.0154947333665039,0.00852906808025132
"Q3y_1998",0.0148904167457992,0.00836340207175444
"Q4y_1998",0.017445366716011,0.008124417843939
"Q1y_1999",0.0167001601085578,0.00813385507393007
