"risk","expreturn"
"Q1y_1984",0.0388212697348211,0.0101165716677116
"Q2y_1984",0.0377328453280637,0.0104896780352169
"Q3y_1984",0.0397234211793684,0.0070600573505162
"Q4y_1984",0.0446265333600451,0.00809260773745627
"Q1y_1985",0.0443278739070798,0.00897174014156115
"Q2y_1985",0.0435888128199602,0.00971425113864234
"Q3y_1985",0.0403793123497622,0.0101758170344704
"Q4y_1985",0.0382422422939859,0.0103438487983831
"Q1y_1986",0.0374552214699299,0.0134067264297590
"Q2y_1986",0.0396150304410682,0.0156442716690836
"Q3y_1986",0.0386000869012743,0.0153640374545144
"Q4y_1986",0.0392815932388137,0.0148660702237532
"Q1y_1987",0.0387136031739441,0.0146071368025837
"Q2y_1987",0.0373699799062963,0.0169869535690363
"Q3y_1987",0.0388103266520645,0.0163795144848913
"Q4y_1987",0.0389980657659688,0.0150083602328812
"Q1y_1988",0.0415142908378091,0.0110995392716858
"Q2y_1988",0.0297736520816971,0.0120724707130198
"Q3y_1988",0.0279317342765819,0.0111970027551161
"Q4y_1988",0.0286884467655388,0.00983564350980043
"Q1y_1989",0.026938447216695,0.0117840044437144
"Q2y_1989",0.0255561609526672,0.0122947310457139
"Q3y_1989",0.0249715145690519,0.0128081003452410
"Q4y_1989",0.024458550810421,0.0133260167892323
"Q1y_1990",0.0224884453249406,0.0139046382824117
"Q2y_1990",0.0260340563831561,0.0108401906472996
"Q3y_1990",0.0263545233763974,0.0103644710782638
"Q4y_1990",0.0335842667223881,0.0119427021997565
"Q1y_1991",0.0408564611024009,0.0096730225297381
"Q2y_1991",0.0372450229854358,0.00987868969412067
"Q3y_1991",0.0258886619728618,0.00887301106136043
"Q4y_1991",0.0249135601552525,0.0102708804458043
"Q1y_1992",0.0301296366899043,0.0091219842264586
"Q2y_1992",0.0290211522319153,0.00730100747392327
"Q3y_1992",0.0282473810759210,0.00787889343888098
"Q4y_1992",0.0271187924641253,0.00784402211374936
"Q1y_1993",0.0286014753623705,0.00662826167138603
"Q2y_1993",0.0260244901797993,0.00786257764992985
"Q3y_1993",0.0294241145576286,0.00710812299174236
"Q4y_1993",0.0270875203531427,0.00716407425141741
"Q1y_1994",0.0347748405217805,0.0056177593180992
"Q2y_1994",0.0337672567136466,0.00454667779436577
"Q3y_1994",0.0308131521152958,0.00475602492486839
"Q4y_1994",0.0338799387754911,0.00420942943026221
"Q1y_1995",0.0321173858117495,0.00348709821762678
"Q2y_1995",0.0286266411184414,0.00462028666909934
