"risk","expreturn"
"Q1y_1981",0.0269058332881198,0.00873556907655101
"Q2y_1981",0.0243609921056397,0.0083729472504911
"Q3y_1981",0.0249340124119577,0.00766258795524659
"Q4y_1981",0.0251944561883435,0.00646335708980462
"Q1y_1982",0.0308722810982278,0.00734759752816957
"Q2y_1982",0.0287692680394273,0.007072442979216
"Q3y_1982",0.0274471375412837,0.00675862378900084
"Q4y_1982",0.0291716138891297,0.00780088289081491
"Q1y_1983",0.0287137278011389,0.00861126401033887
"Q2y_1983",0.0271395400019127,0.0090053451757506
"Q3y_1983",0.0252805855321337,0.00904846527402903
"Q4y_1983",0.0244074907418981,0.00887250319094812
"Q1y_1984",0.0230646236697539,0.00892905993189301
"Q2y_1984",0.0222430931726617,0.00887635422349175
"Q3y_1984",0.0195656878768873,0.00796804025262049
"Q4y_1984",0.0220626203773685,0.00846477130568862
"Q1y_1985",0.0214958556429613,0.00872281540671426
"Q2y_1985",0.0206283343744142,0.00874944031988896
"Q3y_1985",0.0205510921653987,0.00895905397425575
"Q4y_1985",0.020666954299002,0.00848895446804618
"Q1y_1986",0.0213031210624674,0.00908652244426977
"Q2y_1986",0.0218635460015403,0.0093966120904619
"Q3y_1986",0.0206998349066587,0.0094481672550193
"Q4y_1986",0.0205375174442393,0.00938258750143222
"Q1y_1987",0.0196978993671124,0.00939449694812637
"Q2y_1987",0.0194819391415884,0.00982925246475838
"Q3y_1987",0.0197332785493092,0.00972985685324936
"Q4y_1987",0.0199301970458058,0.00944460001831363
"Q1y_1988",0.0225993554966454,0.00863960426990585
"Q2y_1988",0.0220786783693264,0.00886207715382126
"Q3y_1988",0.0211278058661937,0.00889055264309537
"Q4y_1988",0.0201012270182567,0.00872030764509731
"Q1y_1989",0.0201351614095864,0.00894428384381869
"Q2y_1989",0.0196978075834767,0.00904215409368385
"Q3y_1989",0.0193350283780716,0.00926949861456051
"Q4y_1989",0.0191109467953291,0.0093217109854864
"Q1y_1990",0.0193964490444322,0.00932606977703535
"Q2y_1990",0.0191136345680394,0.00902276188051711
"Q3y_1990",0.018598018697612,0.00891585776156431
"Q4y_1990",0.0262235067219869,0.00915931809191038
"Q1y_1991",0.0200281128551354,0.00895571309539775
"Q2y_1991",0.020073710412603,0.00911254616414333
"Q3y_1991",0.0189072928698707,0.00899061013488967
"Q4y_1991",0.0178341075285842,0.00912628788138003
"Q1y_1992",0.0201004993142054,0.00919955057295759
"Q2y_1992",0.0181436674762223,0.00891701566697547
"Q3y_1992",0.0176213774631674,0.00896576192781484
"Q4y_1992",0.017050001868244,0.00897608296338713
"Q1y_1993",0.0168914574605077,0.00888392643317653
"Q2y_1993",0.0176963106324794,0.00903721174594689
"Q3y_1993",0.0181458396360285,0.0089302424313496
"Q4y_1993",0.0167458291711505,0.00888433097695896
"Q1y_1994",0.0181785549895975,0.00868853609000017
"Q2y_1994",0.0190464928264622,0.00849171074420232
"Q3y_1994",0.0178384843541835,0.00842096781395746
"Q4y_1994",0.0186024367692175,0.00836084878040702
"Q1y_1995",0.0187494310914133,0.00819310064109885
"Q2y_1995",0.0175232369576157,0.00820886894491448
"Q3y_1995",0.0176658035507694,0.00833601600238436
"Q4y_1995",0.0161164157677942,0.00845922555382812
"Q1y_1996",0.0180062474891196,0.00889623802883161
"Q2y_1996",0.01600735091893,0.0088993854210899
"Q3y_1996",0.0128394974638961,0.00922043366951575
"Q4y_1996",0.0158924978663208,0.00881901329984574
"Q1y_1997",0.0182112835802735,0.00896254192122172
"Q2y_1997",0.0177359327167391,0.00883647096569804
"Q3y_1997",0.0179264537743329,0.00893949262371018
"Q4y_1997",0.0182162813948688,0.00891502818695498
"Q1y_1998",0.0193347568109559,0.00904427457227456
"Q2y_1998",0.0175320830355512,0.00882961947193271
"Q3y_1998",0.0173295605389781,0.00867691293847394
"Q4y_1998",0.0231142921131603,0.00850316071943376
"Q1y_1999",0.0216241839224676,0.00852708102857722
