"risk","expreturn"
"Q1y_1984",0.0159298944322779,0.00891218376409237
"Q2y_1984",0.0147853951523625,0.00874359532307764
"Q3y_1984",0.0189197509740482,0.00618292096111778
"Q4y_1984",0.0203539994447393,0.0072587303843598
"Q1y_1985",0.0222978690354428,0.0087984207451723
"Q2y_1985",0.0207441470366079,0.00843765985548725
"Q3y_1985",0.0228061369192704,0.00927879823010449
"Q4y_1985",0.0192694021337829,0.0100368032830791
"Q1y_1986",0.0211630721149937,0.0118478012742152
"Q2y_1986",0.0201229790061106,0.0116434184148304
"Q3y_1986",0.0172356610156144,0.0113695359231198
"Q4y_1986",0.0142710797056530,0.0115981661830598
"Q1y_1987",0.0121907790873506,0.0117188808835228
"Q2y_1987",0.0115410465064736,0.0111490571217736
"Q3y_1987",0.0132030308794687,0.00972343929919708
"Q4y_1987",0.0170747482772676,0.00797647557426516
"Q1y_1988",0.0183154667980216,0.00856968901902764
"Q2y_1988",0.0201555037559777,0.00930444268466668
"Q3y_1988",0.0178266964507728,0.00885793888326766
"Q4y_1988",0.0157137737034525,0.00811079682484653
"Q1y_1989",0.0149302729139827,0.00860995490300533
"Q2y_1989",0.0131145342717538,0.00853450837651032
"Q3y_1989",0.0148822748229291,0.0106629385001908
"Q4y_1989",0.0150075640271403,0.0102587882976641
"Q1y_1990",0.0128741047474936,0.0105114478743482
"Q2y_1990",0.0125159472819602,0.00891967727142498
"Q3y_1990",0.0133386375857609,0.00893115879726185
"Q4y_1990",0.013113764193779,0.0106815258343748
"Q1y_1991",0.0116486113592388,0.00999442895821453
"Q2y_1991",0.00946307987744658,0.00914292736997399
"Q3y_1991",0.008493095085824,0.00852587757141128
"Q4y_1991",0.00970305016698738,0.00982382283284166
"Q1y_1992",0.0105930210834277,0.0100058025858900
"Q2y_1992",0.0124441849218663,0.00850838449361298
"Q3y_1992",0.0106841689147132,0.00913345521447134
"Q4y_1992",0.00933832261742235,0.00954823094541252
"Q1y_1993",0.0110643042676294,0.00828699327537862
"Q2y_1993",0.00932535929706105,0.00880206747536161
"Q3y_1993",0.00921937830536923,0.0086089057226569
"Q4y_1993",0.00813421072809811,0.00820882641770258
"Q1y_1994",0.00978832222538352,0.00695601698733907
"Q2y_1994",0.0150153773260225,0.00481975507748621
"Q3y_1994",0.0132092680482986,0.00457112552789675
"Q4y_1994",0.0133059723199336,0.00377758471325432
"Q1y_1995",0.0114069985553285,0.00350111435701913
"Q2y_1995",0.0119378545935429,0.00442494639786058
"Q3y_1995",0.0131987108053930,0.00559852857666828
"Q4y_1995",0.0111161692429343,0.00610443366992178
"Q1y_1996",0.0103231031319588,0.00782141158324524
"Q2y_1996",0.0124342849696630,0.00669687490335721
"Q3y_1996",0.0115961202877062,0.00636836940518498
"Q4y_1996",0.0107879335576121,0.00625934585426553
"Q1y_1997",0.0126997454449926,0.00696736922592007
"Q2y_1997",0.0123839814855591,0.00551475851674277
"Q3y_1997",0.0110502580136221,0.00605879794718664
"Q4y_1997",0.0132929757935045,0.00692574564146308
"Q1y_1998",0.0114640871500698,0.00667740842587497
"Q2y_1998",0.0100153981018216,0.00635305811796708
"Q3y_1998",0.00814075288422573,0.00642705189020338
"Q4y_1998",0.010534509105724,0.0074623918862977
"Q1y_1999",0.0100541604140726,0.006903131743854
"Q2y_1999",0.0113658700603406,0.00589757291576333
"Q3y_1999",0.0117549672729483,0.00472615111600581
"Q4y_1999",0.0104882268768085,0.00455713416995956
"Q1y_2000",0.00941628199972918,0.00405959034695411
"Q2y_2000",0.0097181956945701,0.00450284950664487
"Q3y_2000",0.0109900594972078,0.00461409250214677
"Q4y_2000",0.0100342367701005,0.0051292754202381
"Q1y_2001",0.0107739952833772,0.00611991065580389
"Q2y_2001",0.00941728334465282,0.00645607074920877
"Q3y_2001",0.0089386799259169,0.00585561211693081
"Q4y_2001",0.00999162442794926,0.00667351848224148
"Q1y_2002",0.0137353156177107,0.00501310603488227
"Q2y_2002",0.0140045652519325,0.00422770548001599
