"risk","expreturn"
"Q1y_1981",0.0234879340600024,0.00588610852073408
"Q2y_1981",0.0171997836628687,0.00424670232848177
"Q3y_1981",0.0208049030369589,0.00442294852979412
"Q4y_1981",0.0191762683351541,0.00328056522679778
"Q1y_1982",0.0298387535669803,0.00545417971873595
"Q2y_1982",0.0274446260566202,0.005163118336056
"Q3y_1982",0.0256264989865126,0.004955956173112
"Q4y_1982",0.0280319451568009,0.00625242617971388
"Q1y_1983",0.027124232133777,0.00665832859046395
"Q2y_1983",0.0248632527858035,0.00668961608665477
"Q3y_1983",0.0224158714183318,0.00659690182746129
"Q4y_1983",0.0214337043643508,0.00649194589232118
"Q1y_1984",0.0192588101690201,0.00644926456576367
"Q2y_1984",0.0180140727177494,0.00650455685736676
"Q3y_1984",0.0168434305366418,0.00588378014325933
"Q4y_1984",0.0194055409252778,0.00649671447922906
"Q1y_1985",0.0194937018079507,0.00720701451969389
"Q2y_1985",0.0184695990621075,0.00701800757476382
"Q3y_1985",0.0187118639677375,0.00758709925401924
"Q4y_1985",0.0182489709446961,0.00692109868607034
"Q1y_1986",0.0192746765087177,0.00767054549258001
"Q2y_1986",0.0198238092595979,0.00818524819946273
"Q3y_1986",0.0184340469350149,0.00820388831895269
"Q4y_1986",0.0173270821838462,0.00810002811858479
"Q1y_1987",0.0162017906164401,0.00807381451535552
"Q2y_1987",0.0154796813683714,0.00831638986722349
"Q3y_1987",0.0165065510168077,0.00820622803536027
"Q4y_1987",0.0171967920771497,0.00787688117049497
"Q1y_1988",0.0179762524281929,0.00734601881157832
"Q2y_1988",0.0185794301909187,0.00750274693557156
"Q3y_1988",0.0177735368988145,0.00750522004676634
"Q4y_1988",0.0166796585809534,0.00739766321906643
"Q1y_1989",0.0164653337885983,0.00762496219600539
"Q2y_1989",0.0157441425599992,0.00767311641959449
"Q3y_1989",0.0161124756395484,0.00806692668230864
"Q4y_1989",0.0158969030559809,0.00805297726158924
"Q1y_1990",0.0153709767008634,0.00803964003071415
"Q2y_1990",0.0149691145410344,0.00781799441867705
"Q3y_1990",0.0149727428311626,0.00783468351063098
"Q4y_1990",0.0166276526056353,0.00780786284884009
"Q1y_1991",0.0147492049843147,0.00796363171585264
"Q2y_1991",0.0138234493025963,0.00787330094151263
"Q3y_1991",0.0130626586646103,0.00783900689209568
"Q4y_1991",0.013020909685751,0.00807673851337174
"Q1y_1992",0.0139396955804246,0.00810613745077908
"Q2y_1992",0.0136842123475354,0.00794971639186534
"Q3y_1992",0.0130128320859086,0.00803148465251907
"Q4y_1992",0.012398450147617,0.00808208538429507
"Q1y_1993",0.0128001969529913,0.00799729222874318
"Q2y_1993",0.0124454377003806,0.00797550204538523
"Q3y_1993",0.0122536785943319,0.00792942880884881
"Q4y_1993",0.0115050470688169,0.00792545621103997
"Q1y_1994",0.0119389363529791,0.00774398744366935
"Q2y_1994",0.0150063128810597,0.00758516616566655
"Q3y_1994",0.0141026521478379,0.00751578238662734
"Q4y_1994",0.0145538067546534,0.00744414488592339
"Q1y_1995",0.0136487057308288,0.00723644081174128
"Q2y_1995",0.0131652700912601,0.00733345554028664
"Q3y_1995",0.0140505939939294,0.00749038606072663
"Q4y_1995",0.0130384787098101,0.00751309597573947
"Q1y_1996",0.0131331521899664,0.00775031908675586
"Q2y_1996",0.0136133622610432,0.00800911607945698
"Q3y_1996",0.0111785396893617,0.00944956430572393
"Q4y_1996",0.0126298171145214,0.00758788988454796
"Q1y_1997",0.0131696911537366,0.0075624570509518
"Q2y_1997",0.0131591004361012,0.00743951059485282
"Q3y_1997",0.0124873573874193,0.00744123013633055
"Q4y_1997",0.0129235504214267,0.00746817619248492
"Q1y_1998",0.0126733871418009,0.0075049090511018
"Q2y_1998",0.0118527084497458,0.00741447023040078
"Q3y_1998",0.011111544800191,0.00732464685204932
"Q4y_1998",0.0118097171803315,0.00737432820233106
"Q1y_1999",0.0115738573906701,0.00730233982795688
"Q2y_1999",0.0130739542694782,0.00727282249589483
"Q3y_1999",0.0131279370134419,0.00712842929938378
"Q4y_1999",0.0124653402826832,0.00706585560521975
"Q1y_2000",0.0120296040344348,0.0069983443303252
"Q2y_2000",0.0115722500843397,0.00704111933531412
"Q3y_2000",0.011855424111294,0.00708233443909398
"Q4y_2000",0.0113224707179478,0.00708153783793328
"Q1y_2001",0.0112439997569917,0.00714366389928026
"Q2y_2001",0.0105784145540733,0.00716276093892307
"Q3y_2001",0.0104491302019522,0.00709244174796156
"Q4y_2001",0.0107403202741122,0.0071563810724673
"Q1y_2002",0.0123536039639122,0.00709519559887499
"Q2y_2002",0.0130953691024757,0.00709472708799739
