"risk","expreturn"
"Q1y_1984",0.0231596515468550,0.00955647284862184
"Q2y_1984",0.0228755039867262,0.0102208887316015
"Q3y_1984",0.0206668176657927,0.00659765787358398
"Q4y_1984",0.0245021139959926,0.00752276860188337
"Q1y_1985",0.0245498610691546,0.00834832650479835
"Q2y_1985",0.0240284074588944,0.00903473196892418
"Q3y_1985",0.0211141806475207,0.00795801771999593
"Q4y_1985",0.0202404587307018,0.00864971455508092
"Q1y_1986",0.0209332203261036,0.0112653031839110
"Q2y_1986",0.0230286824051485,0.0127213433661168
"Q3y_1986",0.0226154711663671,0.0127181759370793
"Q4y_1986",0.0225220898040282,0.0128494329771023
"Q1y_1987",0.0225067441031412,0.0128619513080240
"Q2y_1987",0.0223768056578337,0.0146575516342277
"Q3y_1987",0.0229050981229106,0.0149951604138167
"Q4y_1987",0.0227080577827653,0.0137854677659001
"Q1y_1988",0.0223971162409262,0.00985266972157335
"Q2y_1988",0.0214689541386319,0.0109465588117951
"Q3y_1988",0.0201509378339362,0.0105174329058372
"Q4y_1988",0.0197662267197113,0.00908303506089118
"Q1y_1989",0.019952227699715,0.0112079125146640
"Q2y_1989",0.0194339275925749,0.0121285588361262
"Q3y_1989",0.0190639207186773,0.0129407132530686
"Q4y_1989",0.0187562719184165,0.0133727311635301
"Q1y_1990",0.0183333964567302,0.0139903171872585
"Q2y_1990",0.0186020403213979,0.0115723949787318
"Q3y_1990",0.0182869221877157,0.0107841549790961
"Q4y_1990",0.0222537790635575,0.0119479466898076
"Q1y_1991",0.0236036164500759,0.0099714005571509
"Q2y_1991",0.0222940965059063,0.0106095866065240
"Q3y_1991",0.0171546991142714,0.00950790630026123
"Q4y_1991",0.0172987659036700,0.0107738632826946
"Q1y_1992",0.0186662576951045,0.00957702998834054
"Q2y_1992",0.0176302770371024,0.0079295357690137
"Q3y_1992",0.0171329983302382,0.00870461272276316
"Q4y_1992",0.0165839853961877,0.00850845196133282
"Q1y_1993",0.0169077555200596,0.00718279650899746
"Q2y_1993",0.0160458349729439,0.0081645572594596
"Q3y_1993",0.0169255902161900,0.0071268171288683
"Q4y_1993",0.0159705844795828,0.00691090892592197
"Q1y_1994",0.0183397006565149,0.00541790658629553
"Q2y_1994",0.0184422461104247,0.00428619487350791
"Q3y_1994",0.0171631671655347,0.00444398547364127
"Q4y_1994",0.0189135286216623,0.00409199218808978
"Q1y_1995",0.0175239861384576,0.00315519108783762
"Q2y_1995",0.0166080202291355,0.00416876539114733
"Q3y_1995",0.0171077213228730,0.00531529014001799
"Q4y_1995",0.0166486219969362,0.00667520245577844
"Q1y_1996",0.0166827647263217,0.00902165094052343
"Q2y_1996",0.0162069197093421,0.00981656707614983
"Q3y_1996",0.0145421891360775,0.0103991426352659
"Q4y_1996",0.0168622906044813,0.00951367830528502
"Q1y_1997",0.0188179021831750,0.0101690536435528
"Q2y_1997",0.0195308784519069,0.00828432241338531
"Q3y_1997",0.017797220474406,0.00895127372010875
"Q4y_1997",0.0199151286971680,0.0100143833317291
"Q1y_1998",0.0229164857456841,0.0088818143674543
"Q2y_1998",0.0202572682906982,0.0082434859234125
"Q3y_1998",0.0183274392962621,0.00592871827479647
"Q4y_1998",0.0234943854757814,0.00331713307948747
"Q1y_1999",0.0260001921047226,0.00589938163753146
"Q2y_1999",0.0239542701065539,0.00542671524461528
"Q3y_1999",0.0249799577819637,0.00717529318246402
"Q4y_1999",0.0232969872022794,0.00674539784918699
"Q1y_2000",0.0224405289999201,0.00841818714919413
"Q2y_2000",0.0226391213337652,0.00871555365619468
"Q3y_2000",0.0226854467616766,0.0088200769403347
"Q4y_2000",0.0242058607070220,0.00734258189553914
"Q1y_2001",0.0235050056434485,0.00678649616269304
"Q2y_2001",0.0239651192164843,0.00382935403825976
"Q3y_2001",0.0234507439149162,0.00335376210551112
"Q4y_2001",0.0229981502528407,-0.000168453968765958
"Q1y_2002",0.0249127633593017,0.000122386932253506
"Q2y_2002",0.0225367122350167,0.00129452599256854
"Q3y_2002",0.0229179979381460,0.000142016869036197
"Q4y_2002",0.0229743566815063,-0.000686422039386106
"Q1y_2003",0.0229478479635529,0.00165452076474155
"Q2y_2003",0.0235555784339569,-0.00111000676275599
"Q3y_2003",0.0266012959012566,0.00214456357110295
"Q4y_2003",0.0237824015602788,0.00291391062903143
"Q1y_2004",0.0222929241946704,0.00571697462209154
"Q2y_2004",0.0214078804633276,0.00664502739754749
"Q3y_2004",0.0200021021888176,0.00601528029665937
"Q4y_2004",0.0200348031542756,0.00660634874603184
"Q1y_2005",0.0199643680800037,0.00595368279682835
"Q2y_2005",0.0200211981070373,0.00607488415928044
