"risk","expreturn"
"Q1y_1981",0.0259748671894509,0.0078780052143781
"Q2y_1981",0.0240364889577827,0.00763692732132782
"Q3y_1981",0.0246655799409333,0.00695804017708461
"Q4y_1981",0.0246919554808925,0.00559020342774041
"Q1y_1982",0.0298417137415587,0.00549327047552298
"Q2y_1982",0.0278263865226969,0.00580871385328715
"Q3y_1982",0.0266687425709687,0.00584241737758519
"Q4y_1982",0.0282655649661304,0.00670295479214291
"Q1y_1983",0.0276832978004569,0.00737576479329498
"Q2y_1983",0.0263485681487847,0.00792200298972746
"Q3y_1983",0.0249838215414495,0.00833230793424399
"Q4y_1983",0.024208762972955,0.00833636038461848
"Q1y_1984",0.0229122244505445,0.00873534056763924
"Q2y_1984",0.0220467761468525,0.008954494995594
"Q3y_1984",0.0180716363595288,0.00736388592288842
"Q4y_1984",0.021465688275175,0.00812417331283787
"Q1y_1985",0.0202579393023269,0.00818580916015681
"Q2y_1985",0.0192775394380344,0.00803436613941855
"Q3y_1985",0.0189929982691201,0.0081703276726431
"Q4y_1985",0.0195227652667132,0.00759134091951654
"Q1y_1986",0.0201688866130766,0.00828922788429148
"Q2y_1986",0.0210618840900069,0.00905966266204721
"Q3y_1986",0.0201317239357102,0.00932596501169042
"Q4y_1986",0.0199452591445813,0.0094406501732684
"Q1y_1987",0.0190030955834619,0.00938148122667574
"Q2y_1987",0.0185005665477169,0.00996317957295104
"Q3y_1987",0.018853404236237,0.00967282174421301
"Q4y_1987",0.0191717518532519,0.00917101560984097
"Q1y_1988",0.0217852744633245,0.00795253905460837
"Q2y_1988",0.021346920972949,0.0082037829934078
"Q3y_1988",0.0204388459909549,0.00829627158166859
"Q4y_1988",0.0193250419980327,0.00814057235013707
"Q1y_1989",0.0194988288936452,0.00859239221673563
"Q2y_1989",0.019016363675822,0.00871706513601723
"Q3y_1989",0.0185291802459414,0.00891848233511121
"Q4y_1989",0.0183067106587983,0.00893927018401123
"Q1y_1990",0.0187797972014474,0.00894221826793827
"Q2y_1990",0.0184324337561301,0.00862281329961729
"Q3y_1990",0.0177529910024255,0.00843088986620264
"Q4y_1990",0.0259282746349993,0.00918702565699318
"Q1y_1991",0.0196583490208572,0.00874799009293961
"Q2y_1991",0.0197350949224282,0.00890543811016282
"Q3y_1991",0.0183881474691477,0.00869147058174336
"Q4y_1991",0.0170844423948385,0.00878176780634662
"Q1y_1992",0.0193347386073013,0.00888629010629386
"Q2y_1992",0.0174649362055196,0.00856714001210265
"Q3y_1992",0.0168738535005133,0.00862507167360096
"Q4y_1992",0.0162330252416351,0.00863657616378607
"Q1y_1993",0.0159867658642499,0.00855166936212533
"Q2y_1993",0.0171407799492609,0.00871633311725402
"Q3y_1993",0.0177476895135619,0.0086638828545701
"Q4y_1993",0.016106024937641,0.00856055480673215
"Q1y_1994",0.0178363386345702,0.00841283766703808
"Q2y_1994",0.0185816897640076,0.00817403853656917
"Q3y_1994",0.0172295575265796,0.00809878822632597
"Q4y_1994",0.018105960664284,0.00810424409594542
"Q1y_1995",0.018393255809517,0.00790074214713539
"Q2y_1995",0.0170007204153496,0.0078324166643044
"Q3y_1995",0.0171110318105629,0.00794684940143105
"Q4y_1995",0.0158479355939938,0.00813390375303603
"Q1y_1996",0.0179333290660545,0.00904774305254998
"Q2y_1996",0.015804100784924,0.00916227520310587
"Q3y_1996",0.0117426230069122,0.00937286321845221
"Q4y_1996",0.0158664050801289,0.00872574938286367
"Q1y_1997",0.0178401183393948,0.00894402314414126
"Q2y_1997",0.0176655096771613,0.00869843981136678
"Q3y_1997",0.0178448828032398,0.00879155819757025
"Q4y_1997",0.0178534001369505,0.00856319863920646
"Q1y_1998",0.0190139845598824,0.00896964118974006
"Q2y_1998",0.017175946360041,0.00856643841418562
"Q3y_1998",0.0171368306666084,0.00843758226853415
"Q4y_1998",0.022529002635835,0.00870736738130517
"Q1y_1999",0.0215533752224989,0.00862845277508912
"Q2y_1999",0.020762875040599,0.00849306163334598
"Q3y_1999",0.0208840374731363,0.00844467099938421
"Q4y_1999",0.0203777702148123,0.00819036364879683
"Q1y_2000",0.0188600267931949,0.00793321966702512
"Q2y_2000",0.0179255098348272,0.00782603557255749
"Q3y_2000",0.0186135214066789,0.00818468454514309
"Q4y_2000",0.0205860134334499,0.00848057741058995
"Q1y_2001",0.0201387229952487,0.00841495538172999
"Q2y_2001",0.0182017194007848,0.00802131432664772
"Q3y_2001",0.0187154424020359,0.00814992973613937
"Q4y_2001",0.0202561406812938,0.00806235735407328
"Q1y_2002",0.0193488817339714,0.00795248814755281
"Q2y_2002",0.0198833187284851,0.00813665164719755
"Q3y_2002",0.0182123253365592,0.00793881154865597
"Q4y_2002",0.0195094498613213,0.00758667526783689
"Q1y_2003",0.0192537698396642,0.00764470895821838
"Q2y_2003",0.0203271783985099,0.00804579950636776
"Q3y_2003",0.0203779527318358,0.00812300053554759
"Q4y_2003",0.019647921818301,0.00803966281141394
"Q1y_2004",0.0186999005179623,0.00802832970616033
"Q2y_2004",0.0182282996798304,0.00804732570247133
"Q3y_2004",0.0199090412925699,0.00777279213635325
"Q4y_2004",0.0199039660221125,0.0081811975485601
"Q1y_2005",0.0195338367068714,0.00835076075249133
"Q2y_2005",0.0193847041122167,0.00821037007373705
"Q3y_2005",0.0184831784286914,0.00826074317341836
"Q4y_2005",0.0185290861162677,0.00833481928490095
"Q1y_2006",0.0179917489436495,0.00828605325973543
"Q2y_2006",0.0176058953240277,0.00833810186484896
"Q3y_2006",0.0170292396867334,0.00814434794284255
"Q4y_2006",0.0164382372925475,0.0083407229159768
"Q1y_2007",0.0157152674369552,0.00833650987754235
"Q2y_2007",0.015100118950437,0.00818000053165592
"Q3y_2007",0.0155180175417468,0.00793924603893027
"Q4y_2007",0.0164098053149869,0.00806584792245421
"Q1y_2008",0.0173216376926515,0.00798758990433945
"Q2y_2008",0.0182958769757368,0.00781774922067303
"Q3y_2008",0.0217601262282573,0.00773401209177119
"Q4y_2008",0.0232588584768003,0.00776418138513365
"Q1y_2009",0.0461337687295298,0.00700327704018482
"Q2y_2009",0.0433838781120287,0.00655565021462678
"Q3y_2009",0.0373831751180066,0.00673376273036072
"Q4y_2009",0.0281288925518009,0.00636993764919939
"Q1y_2010",0.0219683743065021,0.00613405085168515
"Q2y_2010",0.0229587317710666,0.00644941598759429
"Q3y_2010",0.0271932281698102,0.00661183030431872
