"risk","expreturn"
"Q1y_1984",0.0217609037389467,0.00909402348748327
"Q2y_1984",0.0207689631499957,0.0094510026876507
"Q3y_1984",0.0200199535599786,0.00650186205643272
"Q4y_1984",0.0230982628837920,0.00714660632268282
"Q1y_1985",0.0237030030667419,0.00827926713934816
"Q2y_1985",0.0229225515082624,0.00857760635744297
"Q3y_1985",0.0208089784295470,0.00793563287603356
"Q4y_1985",0.0196393965828948,0.00887949468349719
"Q1y_1986",0.0196153832431934,0.011379853817127
"Q2y_1986",0.0216972787706574,0.0114420725134945
"Q3y_1986",0.0208013621843904,0.0112622179013438
"Q4y_1986",0.0198181337535317,0.0112442199896116
"Q1y_1987",0.0188922961034955,0.0110186982098459
"Q2y_1987",0.0181577164712261,0.0116685666740558
"Q3y_1987",0.0197141140797880,0.0119253403091678
"Q4y_1987",0.0193560287402549,0.0104235498421988
"Q1y_1988",0.0199073287772107,0.00905538854471748
"Q2y_1988",0.0196499626145144,0.0100679476066617
"Q3y_1988",0.0182240319789732,0.00979238068084128
"Q4y_1988",0.0175464391733716,0.00867226509817876
"Q1y_1989",0.017485558373725,0.0101384862874556
"Q2y_1989",0.0167116825154419,0.0107696928617380
"Q3y_1989",0.016418297011068,0.0120167875449416
"Q4y_1989",0.0165765216767873,0.0121851199874767
"Q1y_1990",0.0157003248234587,0.0126631508035818
"Q2y_1990",0.0157027250589526,0.010648011763805
"Q3y_1990",0.0156241834060554,0.0100713210146707
"Q4y_1990",0.0170491360663351,0.0116567109850490
"Q1y_1991",0.0168491000711553,0.0101553889889058
"Q2y_1991",0.0156667046648750,0.0100404016376411
"Q3y_1991",0.0133320983235192,0.00929534754034751
"Q4y_1991",0.0134116535110635,0.0105292018267813
"Q1y_1992",0.0135219668564856,0.00982349178858775
"Q2y_1992",0.0142144007559236,0.0082981252305947
"Q3y_1992",0.0135819267796537,0.00901802174703561
"Q4y_1992",0.0132037867765802,0.00903734869427147
"Q1y_1993",0.0138813685479436,0.00774486354507457
"Q2y_1993",0.0131603249371084,0.00851651806464516
"Q3y_1993",0.0130606375078111,0.0077186227589598
"Q4y_1993",0.0124052069209535,0.00755448234053784
"Q1y_1994",0.0136598037207453,0.00608596156918906
"Q2y_1994",0.0149608095322654,0.00455412819060802
"Q3y_1994",0.0149370207876746,0.00442017563478797
"Q4y_1994",0.0157627847410586,0.00375752395183006
