"risk","expreturn"
"Q1y_1981",0.0242937482882903,0.00692920243589104
"Q2y_1981",0.0191922234502364,0.0055835446959428
"Q3y_1981",0.022047330896203,0.00538331918466752
"Q4y_1981",0.0208910571771214,0.00428675581924143
"Q1y_1982",0.0298398482318463,0.00547057019920549
"Q2y_1982",0.027583727834862,0.00544753417414265
"Q3y_1982",0.0260078895811068,0.00527578270678272
"Q4y_1982",0.0281231620031088,0.00644776990421134
"Q1y_1983",0.0273391924063315,0.00696503230007833
"Q2y_1983",0.0254214091721369,0.00714948375033637
"Q3y_1983",0.023356847105725,0.00729674805596556
"Q4y_1983",0.0224401594201373,0.00718533465377734
"Q1y_1984",0.0205664331797614,0.00737216681077097
"Q2y_1984",0.0194455745684079,0.00748716993148829
"Q3y_1984",0.0174257898948859,0.00693940179014542
"Q4y_1984",0.0201143720343879,0.00735003457500896
"Q1y_1985",0.019756221644791,0.00775445288205017
"Q2y_1985",0.0187645148784416,0.00771553290539806
"Q3y_1985",0.0188048558623583,0.00787274787246458
"Q4y_1985",0.0187318569093163,0.00749154915299153
"Q1y_1986",0.019580159525889,0.00803497607733817
"Q2y_1986",0.0202476178612501,0.00845217752478734
"Q3y_1986",0.0190184682042407,0.0085959620643422
"Q4y_1986",0.0181912044556165,0.00854609760837397
"Q1y_1987",0.0171007890539648,0.00846514845039046
"Q2y_1987",0.0164857716963707,0.00893827090373044
"Q3y_1987",0.0173074047152502,0.00887171970836343
"Q4y_1987",0.0178787443805696,0.00844212881313562
"Q1y_1988",0.019147279350021,0.00770050232756659
"Q2y_1988",0.0194619535545035,0.00793078233390708
"Q3y_1988",0.0186169859974913,0.00796087573050874
"Q4y_1988",0.0175118401015489,0.00782650164156324
"Q1y_1989",0.0173878843766394,0.00806212493669285
"Q2y_1989",0.0167252489298688,0.0081346610518259
"Q3y_1989",0.016851911131621,0.00843146189197656
"Q4y_1989",0.0166356985456977,0.00842790231630197
"Q1y_1990",0.0163703671395348,0.00843194032018938
"Q2y_1990",0.0159858140851788,0.00818935114808933
"Q3y_1990",0.015795374244914,0.00811927965675613
"Q4y_1990",0.0194365081181515,0.00844797757811188
"Q1y_1991",0.0161439725493476,0.00831201441129402
"Q2y_1991",0.0154380627320173,0.00834747026634701
"Q3y_1991",0.0145184759863432,0.00819974379004414
"Q4y_1991",0.0141577728779955,0.00839432147231633
"Q1y_1992",0.0154939155973133,0.00838841130129976
"Q2y_1992",0.0147301761412059,0.00820398162803985
"Q3y_1992",0.0140757629529038,0.00828035992664547
"Q4y_1992",0.0134446756868974,0.0083135519567706
"Q1y_1993",0.0137096861775235,0.00821568049693336
"Q2y_1993",0.0137572054122111,0.00830745422848512
"Q3y_1993",0.0137341550304337,0.00819985210528403
"Q4y_1993",0.012745916936186,0.00818912965798135
"Q1y_1994",0.0135536565196912,0.00795260513573369
"Q2y_1994",0.0161087968786103,0.00781780277347239
"Q3y_1994",0.0150516724866194,0.00776460405206393
"Q4y_1994",0.0156691729363544,0.00765010518791471
"Q1y_1995",0.0150993840103341,0.00752571461888478
"Q2y_1995",0.0143292873372805,0.00750461911670642
"Q3y_1995",0.0150045276247737,0.007624058278865
"Q4y_1995",0.0139424636267533,0.00770840315711179
"Q1y_1996",0.0147829296161275,0.00827613885380891
"Q2y_1996",0.0144298535253678,0.00859543497526909
"Q3y_1996",0.0113111636727681,0.00934013181281222
"Q4y_1996",0.0137158117308108,0.00804692637490053
"Q1y_1997",0.0146143409266299,0.00817662332680147
"Q2y_1997",0.0145979683148655,0.00789347584126728
"Q3y_1997",0.0141264737164768,0.00786357553651795
"Q4y_1997",0.0144058440172282,0.00788900152909642
"Q1y_1998",0.0146399903487233,0.00792952570899039
"Q2y_1998",0.0134573337621991,0.00770404701396172
"Q3y_1998",0.012868662294028,0.00754507077101891
"Q4y_1998",0.0145375670332258,0.00772807213155294
"Q1y_1999",0.0143639234778147,0.00751510897027009
"Q2y_1999",0.0155960404047413,0.00759196624364991
"Q3y_1999",0.0155843105257398,0.00745306705198293
"Q4y_1999",0.0148403774282032,0.00730351353039773
"Q1y_2000",0.0140851177334863,0.00712450372337431
"Q2y_2000",0.0134661393120016,0.00717513139304397
"Q3y_2000",0.0139243948365491,0.00733664383148076
"Q4y_2000",0.0139708464355386,0.00738170410760718
"Q1y_2001",0.0137698726637573,0.00749449269127634
"Q2y_2001",0.0127343276963731,0.00734497142536177
"Q3y_2001",0.0127455896581742,0.00727818207661902
"Q4y_2001",0.0132762476579353,0.00727048282473055
"Q1y_2002",0.0144408103644984,0.00730555250247521
"Q2y_2002",0.0151420778856318,0.00742035058373085
"Q3y_2002",0.0139425476026655,0.00738294810909243
"Q4y_2002",0.0138376821250768,0.00721346562221567
"Q1y_2003",0.0139456795879909,0.00725905128529787
"Q2y_2003",0.0141326736087843,0.00751584477936379
"Q3y_2003",0.0139544022022089,0.00749541464485356
"Q4y_2003",0.0163607259496054,0.00758512346099277
"Q1y_2004",0.0154337914983,0.00753033540613825
"Q2y_2004",0.0144988713700567,0.00751405521266629
"Q3y_2004",0.0157949472855789,0.00727615424781801
"Q4y_2004",0.0155389759177952,0.00755954894246354
"Q1y_2005",0.0151574221148716,0.00765398055762747
"Q2y_2005",0.014820133740494,0.00752379523074588
"Q3y_2005",0.0140027087413564,0.00754503095568883
"Q4y_2005",0.01444804299322,0.00763087005750518
"Q1y_2006",0.0140410510261082,0.00758018567503084
"Q2y_2006",0.0138846896516318,0.00760631333367916
"Q3y_2006",0.0132848567628591,0.0074299360721105
"Q4y_2006",0.0128968964959068,0.00760010721259618
"Q1y_2007",0.012495331343139,0.00759630159472676
"Q2y_2007",0.0120256949096921,0.00750426730743254
"Q3y_2007",0.012164458925194,0.00729606654362911
"Q4y_2007",0.0120635977823324,0.00731057894759818
"Q1y_2008",0.01221197323712,0.00724227117540225
"Q2y_2008",0.0123098961955009,0.00710806747528387
"Q3y_2008",0.0132170836580283,0.00697073809620677
"Q4y_2008",0.0143187373502855,0.00696759915098814
"Q1y_2009",0.0227257512228594,0.00664886212186205
"Q2y_2009",0.0210990033377309,0.0063694579610735
"Q3y_2009",0.0187992050745407,0.00641987010640352
"Q4y_2009",0.0162482830845291,0.006345812546904
"Q1y_2010",0.0153301821261042,0.0062414540440679
"Q2y_2010",0.0150210196748875,0.0063320603204133
"Q3y_2010",0.0153147879304225,0.0063617321001114
