"risk","expreturn"
"Q1y_1984",0.0352385730431369,0.0099457664076933
"Q2y_1984",0.0327903585720833,0.0101590413727048
"Q3y_1984",0.038706837794684,0.00700035335350179
"Q4y_1984",0.0427084337302996,0.00805661571720826
"Q1y_1985",0.0432147497795511,0.00904394228619872
"Q2y_1985",0.0421627206218355,0.009667559899901
"Q3y_1985",0.0399588274924688,0.0101962008797772
"Q4y_1985",0.0370076054531586,0.0103923563400000
"Q1y_1986",0.034810489865437,0.0133092431193069
"Q2y_1986",0.0379569224760845,0.0155147939956907
"Q3y_1986",0.0365908363324754,0.0151134733861296
"Q4y_1986",0.0342815986631666,0.0143443988769910
"Q1y_1987",0.0324578148000014,0.0139727818926148
"Q2y_1987",0.0306745077273015,0.0154784719131461
"Q3y_1987",0.0351583045104993,0.0152610987493767
"Q4y_1987",0.0360557033891886,0.0139270884893825
"Q1y_1988",0.0266564381622283,0.0101090833432255
"Q2y_1988",0.0268326485688949,0.0115428116623109
"Q3y_1988",0.0255976404606331,0.0107910131781477
"Q4y_1988",0.0254737817321544,0.009520213134578
"Q1y_1989",0.0242601677475176,0.0111344466032684
"Q2y_1989",0.0227671830740915,0.0114947078243951
"Q3y_1989",0.0212143600940605,0.0121493318261193
"Q4y_1989",0.0220354999757163,0.0126635479437416
"Q1y_1990",0.0187988436824347,0.0129545075068061
"Q2y_1990",0.0218687999978798,0.0102811337839893
"Q3y_1990",0.0222777639393786,0.00993540094868315
"Q4y_1990",0.0233557820489092,0.0108581521784946
"Q1y_1991",0.0238079441215986,0.00940201616035975
"Q2y_1991",0.0213383323118482,0.00939758009692068
"Q3y_1991",0.0172520153954980,0.00878267015728042
"Q4y_1991",0.0158497854337905,0.0100923801078830
"Q1y_1992",0.0162347039813618,0.00968751839558273
"Q2y_1992",0.0202155006821450,0.00783212652159819
"Q3y_1992",0.0178014074603584,0.00846008283784443
"Q4y_1992",0.0162984811155389,0.00869339231258254
"Q1y_1993",0.0190668084797822,0.00746317060361135
"Q2y_1993",0.0167712985473402,0.00842477952855129
"Q3y_1993",0.0165823890482203,0.00800219090489
"Q4y_1993",0.0155397666436023,0.0079660921894727
"Q1y_1994",0.0193962368719263,0.00670403524877863
"Q2y_1994",0.0252597187296542,0.00498857860251998
"Q3y_1994",0.0262260822463354,0.00475485869907706
"Q4y_1994",0.0278997855793502,0.00422432244029205
"Q1y_1995",0.0271093449436566,0.00358514939406899
"Q2y_1995",0.025355824168703,0.00472115526355353
"Q3y_1995",0.0259273247584025,0.00590506597211699
"Q4y_1995",0.0235401683106873,0.00684464606547362
"Q1y_1996",0.0207847804173895,0.00876224683744526
"Q2y_1996",0.0210544427745353,0.00917527545271135
"Q3y_1996",0.0186949068319789,0.00979995834437862
"Q4y_1996",0.0212086363489585,0.00850989640930878
"Q1y_1997",0.0228596515257073,0.00909173046894236
"Q2y_1997",0.0249135691219440,0.00738476780812773
"Q3y_1997",0.0223318826722526,0.00863272471406254
"Q4y_1997",0.0247234141215863,0.00922770988949507
"Q1y_1998",0.0269125298554208,0.00773220369719692
"Q2y_1998",0.0240582578062547,0.00804761628959229
"Q3y_1998",0.0217467266319857,0.00715609286704162
"Q4y_1998",0.0233750657733750,0.00587164384879163
"Q1y_1999",0.0250813069870461,0.00659575381807788
"Q2y_1999",0.0286881805416491,0.00628625083388686
"Q3y_1999",0.0294691818645002,0.00638512851721415
"Q4y_1999",0.027762783639227,0.00606332512403185
"Q1y_2000",0.0254944656688605,0.00720450251931923
"Q2y_2000",0.0251373227716317,0.0072716074217441
"Q3y_2000",0.0250139901624442,0.00721261366747543
"Q4y_2000",0.0261238518197593,0.00655251798890695
"Q1y_2001",0.0240146391746077,0.00661681454392444
"Q2y_2001",0.0241851771702194,0.00515581403994851
"Q3y_2001",0.0242523046399781,0.00448864367480432
"Q4y_2001",0.0236763761162148,0.00377247743386440
"Q1y_2002",0.0270287552462349,0.00315986372366787
"Q2y_2002",0.0224418032031061,0.00342688791593801
"Q3y_2002",0.0240134762836425,0.00336052498574112
"Q4y_2002",0.0215631515627878,0.00390702587214862
"Q1y_2003",0.020626091021685,0.00464344665110453
"Q2y_2003",0.0210177368842331,0.00396661958482592
"Q3y_2003",0.0196256788910745,0.00538915512350591
"Q4y_2003",0.0276736292272565,0.00451706879184138
"Q1y_2004",0.0257631110240174,0.00569868545862691
"Q2y_2004",0.0229191323582864,0.00639687840782971
"Q3y_2004",0.0261090459227384,0.00538864055563109
"Q4y_2004",0.0245113191098392,0.00616130677687919
"Q1y_2005",0.0236975932275826,0.00586459985253176
"Q2y_2005",0.0233408837375838,0.00565146718147903
"Q3y_2005",0.0221525857283013,0.00558743433584351
"Q4y_2005",0.0205306871246127,0.00584605197672918
"Q1y_2006",0.0217035215261699,0.0052062853390015
"Q2y_2006",0.02081832674291,0.00491355058188184
"Q3y_2006",0.0208733037523320,0.00443095064030692
"Q4y_2006",0.0188236561696414,0.00498561453284056
"Q1y_2007",0.0175611475494151,0.00553178125936626
"Q2y_2007",0.0154909489156949,0.00553410965037216
"Q3y_2007",0.0148563201853686,0.00540361360874563
"Q4y_2007",0.0142185305124966,0.00593859816861016
"Q1y_2008",0.0149041162586190,0.00593023093621542
"Q2y_2008",0.0156159055377518,0.00518896362934832
"Q3y_2008",0.0161465861082633,0.00480853072784962
"Q4y_2008",0.0227233532125854,0.0019793975735378
"Q1y_2009",0.0470982572319415,0.000764879799089848
"Q2y_2009",0.0481896953101231,-0.000824961513274667
"Q3y_2009",0.0426288405182924,0.00149382281981884
"Q4y_2009",0.0357195462187262,0.00296222920392023
"Q1y_2010",0.0317754427951171,0.00273166024941023
"Q2y_2010",0.0311813558421071,0.00297176424930523
"Q3y_2010",0.0296595360496783,0.00299354027734228
