"risk","expreturn"
"Q1y_1981",0.0616188838575436,0.0100432658588287
"Q2y_1981",0.051741529019292,0.00892761871580196
"Q3y_1981",0.0540591090134109,0.00863550530959558
"Q4y_1981",0.0565174931916227,0.00712237813825902
"Q1y_1982",0.0655477941240657,0.00843859037970686
"Q2y_1982",0.0619259867821677,0.00793243720556338
"Q3y_1982",0.0596769475045775,0.00752203791213299
"Q4y_1982",0.0606461035778577,0.00855817639359629
"Q1y_1983",0.0583801717862952,0.00954311666452507
"Q2y_1983",0.0559713932685549,0.0100403406826099
"Q3y_1983",0.0524304607920417,0.0101637529830082
"Q4y_1983",0.050611155674979,0.00990570299729555
"Q1y_1984",0.0469697811667369,0.00977086818330594
"Q2y_1984",0.044714768295542,0.00953863399568919
"Q3y_1984",0.0409586954797678,0.0087892784696013
"Q4y_1984",0.046125811284149,0.009414744437296
"Q1y_1985",0.0430431976575448,0.00964179362326719
"Q2y_1985",0.0409188241425059,0.00970766597293436
"Q3y_1985",0.0398660506825656,0.00998357242925714
"Q4y_1985",0.0414516357419094,0.00921630457963503
"Q1y_1986",0.0418041387057106,0.0098825122147063
"Q2y_1986",0.041641554505132,0.0103424790500516
"Q3y_1986",0.0393205601214778,0.0103687229927412
"Q4y_1986",0.0401940432070467,0.0108524961420233
"Q1y_1987",0.0363727893313317,0.0100516211138771
"Q2y_1987",0.0344225190714773,0.0104168800733635
"Q3y_1987",0.0361061955412155,0.0104020993687518
"Q4y_1987",0.0371241476597559,0.0101785880348116
"Q1y_1988",0.0449290766833203,0.00906624246302986
"Q2y_1988",0.0441146033481124,0.0093559870429033
"Q3y_1988",0.041763514458625,0.00938806069245535
"Q4y_1988",0.0391654846686311,0.00919202157639727
"Q1y_1989",0.0384841589010882,0.00930034335053402
"Q2y_1989",0.0370408241618914,0.0093282831772053
"Q3y_1989",0.0367461941509883,0.00962355862527154
"Q4y_1989",0.0362613552737812,0.00968016834004043
"Q1y_1990",0.0367647894883696,0.00957754369218275
"Q2y_1990",0.0359372163795991,0.00921576356143791
"Q3y_1990",0.0352524923016553,0.0091725567759913
"Q4y_1990",0.0411781674678392,0.00892041527553803
"Q1y_1991",0.0343874960421412,0.0089485868454218
"Q2y_1991",0.0332129871470238,0.00908816415147401
"Q3y_1991",0.0309682282133053,0.00896765646355521
"Q4y_1991",0.029672463471226,0.00914708463431962
"Q1y_1992",0.0319131728566195,0.00921242295595646
"Q2y_1992",0.0307546293208072,0.0090209908618556
"Q3y_1992",0.0292449811467595,0.00903830643019658
"Q4y_1992",0.0276151907146285,0.00904194926181406
"Q1y_1993",0.0279113602429169,0.00900222332262988
"Q2y_1993",0.0284751534556128,0.00909449328159754
"Q3y_1993",0.0279786825384367,0.00897009601318753
"Q4y_1993",0.0257369363947727,0.00895254262104995
"Q1y_1994",0.0277051554128404,0.00876339058769519
"Q2y_1994",0.0341006791495602,0.008720747612068
"Q3y_1994",0.0316721351661892,0.00862959599084411
"Q4y_1994",0.0324494712346902,0.0085630318086892
"Q1y_1995",0.0319962567360387,0.00833870120896367
"Q2y_1995",0.0300234741601563,0.00840021435450028
"Q3y_1995",0.0309717480489383,0.00859470341861734
"Q4y_1995",0.0277751368970803,0.00875051010770912
