"risk","expreturn"
"Q1y_1984",0.0492,0.00986586156719703
"Q2y_1984",0.0484,0.0106640593287062
"Q3y_1984",0.0478,0.00736976316847598
"Q4y_1984",0.0539,0.00783178050316451
"Q1y_1985",0.0527,0.00835479112660864
"Q2y_1985",0.0522,0.00957319670235315
"Q3y_1985",0.048,0.0100704814182822
"Q4y_1985",0.046,0.0106205182058194
"Q1y_1986",0.0458,0.0138394081768520
"Q2y_1986",0.0476,0.0154993860704071
"Q3y_1986",0.0466,0.0156399418424626
"Q4y_1986",0.0485,0.0153050011254978
"Q1y_1987",0.0482,0.015014094619303
"Q2y_1987",0.0478,0.0179962030202698
"Q3y_1987",0.0476,0.0180557605617979
"Q4y_1987",0.0471,0.0170034488216828
"Q1y_1988",0.0542,0.0120731382036395
"Q2y_1988",0.0405,0.0135443815706928
"Q3y_1988",0.0392,0.0125403098949415
"Q4y_1988",0.0413,0.0110224601104955
"Q1y_1989",0.04,0.0131240687379972
"Q2y_1989",0.04,0.0134290215303806
"Q3y_1989",0.0407,0.0132465801779412
"Q4y_1989",0.0391,0.0143741566057254
"Q1y_1990",0.0377,0.0146297449406840
"Q2y_1990",0.0426,0.0101870381175903
"Q3y_1990",0.0429,0.0104058902647791
"Q4y_1990",0.0532,0.00916970476057333
"Q1y_1991",0.0572,0.00874261921166237
"Q2y_1991",0.0513,0.00938760652288207
"Q3y_1991",0.0432,0.00769256962994217
"Q4y_1991",0.0421,0.0093037746594082
"Q1y_1992",0.0448,0.0086818654768736
"Q2y_1992",0.045,0.00620946276301406
"Q3y_1992",0.0452,0.00667583645085144
"Q4y_1992",0.0432,0.00671792969444473
"Q1y_1993",0.0423,0.00574009454328133
"Q2y_1993",0.0395,0.00745630346951931
"Q3y_1993",0.043,0.00703392402210331
"Q4y_1993",0.0405,0.00733218959657131
"Q1y_1994",0.0477,0.00564057457314786
"Q2y_1994",0.0451,0.00485296075851737
"Q3y_1994",0.0422,0.00531221323540528
"Q4y_1994",0.0414,0.00448245540131755
"Q1y_1995",0.0421,0.00389888076939077
"Q2y_1995",0.0375,0.0050094120668603
"Q3y_1995",0.0366,0.00594641263355776
"Q4y_1995",0.0359,0.00704731132545986
"Q1y_1996",0.0307,0.00894477448626812
"Q2y_1996",0.0286,0.0094947267180978
"Q3y_1996",0.0268,0.0098197245530492
"Q4y_1996",0.0299,0.00935574155952974
"Q1y_1997",0.0322,0.0102623052843634
"Q2y_1997",0.0357,0.00831386715217532
"Q3y_1997",0.0317,0.0101333741507535
"Q4y_1997",0.0375,0.0106763843345698
"Q1y_1998",0.0454,0.00757667316735641
"Q2y_1998",0.0388,0.00852955052212932
"Q3y_1998",0.0353,0.00703483064815443
"Q4y_1998",0.0519,0.00333280810893454
"Q1y_1999",0.0546,0.00459114201312977
"Q2y_1999",0.0472,0.00566160546381132
"Q3y_1999",0.05,0.00620438077470239
"Q4y_1999",0.0457,0.00682650093538146
"Q1y_2000",0.0407,0.00917158662343568
"Q2y_2000",0.0424,0.00965346746745244
"Q3y_2000",0.0426,0.00963728249095619
"Q4y_2000",0.0499,0.00815601091011484
"Q1y_2001",0.0485,0.00714835509488444
"Q2y_2001",0.0559,0.0025472692087619
"Q3y_2001",0.0548,0.00199551102975162
"Q4y_2001",0.0622,-0.00222939412977105
"Q1y_2002",0.0668,-0.00155811926245965
"Q2y_2002",0.0605,7.08553790084085e-05
"Q3y_2002",0.0636,-0.00130341537794564
"Q4y_2002",0.0709,-0.00392771309960048
"Q1y_2003",0.0752,-0.00172741344567223
"Q2y_2003",0.075,-0.00242932163490579
"Q3y_2003",0.0831,0.0014274863253591
"Q4y_2003",0.0715,0.00229982906972477
"Q1y_2004",0.0643,0.00578003323750381
"Q2y_2004",0.0612,0.00685292320463695
"Q3y_2004",0.0575,0.00621625584718026
"Q4y_2004",0.0568,0.00705106517468903
"Q1y_2005",0.0604,0.00728817615953907
"Q2y_2005",0.0593,0.00804048452330084
"Q3y_2005",0.0596,0.0069966023829192
"Q4y_2005",0.0565,0.00921460408148905
"Q1y_2006",0.0592,0.00758742803437786
"Q2y_2006",0.0576,0.00766433225201351
"Q3y_2006",0.0533,0.00724701652344809
"Q4y_2006",0.0462,0.00584567104527414
"Q1y_2007",0.0467,0.00633413767673393
"Q2y_2007",0.042,0.00670445727517822
"Q3y_2007",0.0371,0.00716618007905443
"Q4y_2007",0.0365,0.00807823412980082
"Q1y_2008",0.0418,0.00786155106278463
"Q2y_2008",0.0492,0.00611576807986067
"Q3y_2008",0.047,0.00699379497011008
"Q4y_2008",0.0759,-0.000904662997420902
"Q1y_2009",0.1799,-0.0123721467608374
"Q2y_2009",0.1553,-0.0147922220450951
"Q3y_2009",0.1495,-0.0077614425990431
"Q4y_2009",0.1062,-0.00356764626709533
"Q1y_2010",0.0803,-0.00157089696744907
"Q2y_2010",0.0717,-0.000671863647548254
"Q3y_2010",0.0979,-0.00430505759470645
