"risk","expreturn"
"Q1y_1981",6.42980543000951,1.03040839714438
"Q2y_1981",5.73353759089782,0.981074824625646
"Q3y_1981",5.71167950524203,0.900082795108234
"Q4y_1981",6.08827393308954,0.771025346727668
"Q1y_1982",6.97644188973496,0.792648208400287
"Q2y_1982",6.42123986590743,0.767170528677003
"Q3y_1982",6.1331269850077,0.738712751966982
"Q4y_1982",6.22430322467975,0.829475229673685
"Q1y_1983",5.95923111366763,0.929056463130856
"Q2y_1983",5.73999230489449,0.986929165145562
"Q3y_1983",5.43925596516878,1.00760145684933
"Q4y_1983",5.28309684939047,0.984809646607344
"Q1y_1984",5.01169898890576,0.982330946680435
"Q2y_1984",4.85171030703064,0.967864022391144
"Q3y_1984",4.17129107396068,0.918059595335258
"Q4y_1984",4.75587799057225,0.943796714085732
"Q1y_1985",4.35304857953217,0.953565378766808
"Q2y_1985",4.13661049904634,0.972163030696287
"Q3y_1985",4.0240233430592,0.979722552663807
"Q4y_1985",4.27472920488812,0.945130148493139
"Q1y_1986",4.2483146642108,0.98893663149521
"Q2y_1986",4.38911998392451,0.999404932662208
"Q3y_1986",4.24460650741894,1.00616459181966
"Q4y_1986",4.25940268573903,0.990804555657135
"Q1y_1987",4.06266235429237,0.994601772990519
"Q2y_1987",4.02893560288646,1.03427614017922
"Q3y_1987",4.04645120620575,1.03762828897105
"Q4y_1987",4.06353519611688,1.02007825290023
"Q1y_1988",5.01122477212119,0.945355813482838
"Q2y_1988",4.77572539308148,0.969636491826576
"Q3y_1988",4.52181547018946,0.972059291155639
"Q4y_1988",4.28960581228886,0.952319240055908
"Q1y_1989",4.27580286368763,0.963225287742838
"Q2y_1989",4.18413568443988,0.972405029282011
"Q3y_1989",4.06471682784365,0.994343187284083
"Q4y_1989",4.02401447684642,1.00337951853511
"Q1y_1990",4.1588357499202,0.997262016693386
"Q2y_1990",4.12575507371283,0.965362205349393
"Q3y_1990",3.98782159245884,0.955626347422417
"Q4y_1990",6.82258111937273,0.953965083469588
"Q1y_1991",4.25988336088456,0.938607386394042
"Q2y_1991",4.3450248254722,0.964464004925481
"Q3y_1991",4.04703988617005,0.952872657584578
