"risk","expreturn"
"Q1y_1984",0.0406819017036687,0.0102209759299084
"Q2y_1984",0.0388862872568153,0.00988078370299117
"Q3y_1984",0.0421395108543237,0.00668011148147419
"Q4y_1984",0.039978988336004,0.00877597662857626
"Q1y_1985",0.0365575448210506,0.0104724546097660
"Q2y_1985",0.0356281160814227,0.00988586057546744
"Q3y_1985",0.0327443799185184,0.0119973656139415
"Q4y_1985",0.0310651608231959,0.0115587161914055
"Q1y_1986",0.0286811247715807,0.0136824048354754
"Q2y_1986",0.0267048153069855,0.0154623870968474
"Q3y_1986",0.0259829419579057,0.0142930009014764
"Q4y_1986",0.0249486896061816,0.0133561312850464
"Q1y_1987",0.0250978286946857,0.0125976060315836
"Q2y_1987",0.0241852542371223,0.0144842963296409
"Q3y_1987",0.0267759256684789,0.0135344373527471
"Q4y_1987",0.0283555638722864,0.0121247655296115
"Q1y_1988",0.0207748272517440,0.0089559798907788
"Q2y_1988",0.0232626372749417,0.0098007478324404
"Q3y_1988",0.0208163443228514,0.00898027507685662
"Q4y_1988",0.0202541963106498,0.00825875123863633
"Q1y_1989",0.0193430640736641,0.00862565783795091
"Q2y_1989",0.0178899585165617,0.00852958227444926
"Q3y_1989",0.0158443211635651,0.0102607581305248
"Q4y_1989",0.0213890037541752,0.0102309725200147
"Q1y_1990",0.0151731194954870,0.0105351528280999
"Q2y_1990",0.0159807355450308,0.00874543212452647
"Q3y_1990",0.0157926859139054,0.00867227012879618
"Q4y_1990",0.0139184801458113,0.0115636322053948
"Q1y_1991",0.0134921365082303,0.0102210496091567
"Q2y_1991",0.0124437596083538,0.00933389479889589
"Q3y_1991",0.0118526450161606,0.00870237663280538
"Q4y_1991",0.0106959745903664,0.00993695476219018
"Q1y_1992",0.0104859782604132,0.0100191852092964
"Q2y_1992",0.0126717293430263,0.00849467741079686
"Q3y_1992",0.0116084686758809,0.0091306950052921
"Q4y_1992",0.0106387610526233,0.00951735108592668
"Q1y_1993",0.0134091173898432,0.0083085034029741
"Q2y_1993",0.0119452302903466,0.00883513850775045
"Q3y_1993",0.0124215077737502,0.00834774029990656
"Q4y_1993",0.0114654389914928,0.00822944482900341
"Q1y_1994",0.0140168939655006,0.00734304226285403
"Q2y_1994",0.022243655860426,0.00497737255514341
"Q3y_1994",0.0215647685553799,0.00442313053402194
"Q4y_1994",0.0225487496902838,0.00378172643334504
"Q1y_1995",0.0213557123440844,0.00343015261856207
"Q2y_1995",0.0201241938186533,0.00458792957059016
"Q3y_1995",0.0205886416639756,0.00585107747218838
"Q4y_1995",0.0194359174212627,0.00626965939261764
"Q1y_1996",0.0186591575817557,0.00777953048596308
"Q2y_1996",0.0203660808220192,0.0076433391840584
"Q3y_1996",0.0185937959257522,0.008997279614704
"Q4y_1996",0.0190974354829945,0.00694791423562551
"Q1y_1997",0.0189098143197793,0.00756804471079685
"Q2y_1997",0.0199855542141074,0.00575266474683951
"Q3y_1997",0.0187660096348967,0.00610447215824898
"Q4y_1997",0.0186417255826833,0.0070444390115182
"Q1y_1998",0.0187562170500034,0.00652215803311664
"Q2y_1998",0.0183127931008414,0.00603570972821979
"Q3y_1998",0.0174756396178432,0.00586859814862538
"Q4y_1998",0.0172376607682076,0.00695748024960057
"Q1y_1999",0.0171209242460780,0.00635137411624823
"Q2y_1999",0.0204954312171854,0.00544839825002622
"Q3y_1999",0.0210519961282029,0.00437924952437587
"Q4y_1999",0.0199604405664613,0.00432711321522678
"Q1y_2000",0.0195782955349858,0.00378515336192727
"Q2y_2000",0.0190268193456191,0.00449220371346752
"Q3y_2000",0.0185415982062051,0.0050261292761312
"Q4y_2000",0.0173369137871016,0.00547872240290506
"Q1y_2001",0.0163773481787337,0.00666656646377488
"Q2y_2001",0.0152482848548802,0.00666474531411855
"Q3y_2001",0.0153541094848444,0.00590342517368384
"Q4y_2001",0.0145890905707551,0.0068456926805822
"Q1y_2002",0.0187052693134430,0.00560140461876477
"Q2y_2002",0.0183399415956445,0.00470770830183138
"Q3y_2002",0.0170794341283858,0.00529947146186056
"Q4y_2002",0.0158408598087880,0.00656175070363089
"Q1y_2003",0.0158177098686995,0.00630140799293909
"Q2y_2003",0.0162301647902107,0.00583398856389462
"Q3y_2003",0.0153610700724265,0.00633069520951285
"Q4y_2003",0.0228150962205111,0.00513365684698449
"Q1y_2004",0.0208868199717331,0.00579659640100141
"Q2y_2004",0.0192132596499379,0.00650951833467127
"Q3y_2004",0.0216877667497432,0.00524007257964382
"Q4y_2004",0.0207206062338150,0.00597664788371832
"Q1y_2005",0.0205027500616520,0.00583556217875784
"Q2y_2005",0.0201042066416624,0.00516916126407903
"Q3y_2005",0.0189550897885766,0.00526677452903073
"Q4y_2005",0.0186054844703330,0.0058016731435549
"Q1y_2006",0.0190405239236881,0.00498728995663004
"Q2y_2006",0.0185384502082918,0.00471399447480787
"Q3y_2006",0.0180092138981424,0.00405487818422396
"Q4y_2006",0.0166909345632198,0.00445106747274454
"Q1y_2007",0.0153322525349320,0.00501860551747445
"Q2y_2007",0.0134305765230034,0.00485084516218153
"Q3y_2007",0.0133570680343184,0.00459241638513197
"Q4y_2007",0.0128431092587864,0.00513717465905357
"Q1y_2008",0.0127872764225582,0.00521328178745100
"Q2y_2008",0.0131419353792480,0.00470516773340262
"Q3y_2008",0.0144186038514722,0.00453066339079986
"Q4y_2008",0.0186901507087324,0.00276776079535872
"Q1y_2009",0.0305820476904419,0.00354257882844103
"Q2y_2009",0.0297252897673304,0.00331966628867841
"Q3y_2009",0.0275138016917735,0.00363275775554361
"Q4y_2009",0.0251060952704014,0.00473281193904554
"Q1y_2010",0.0263687380863367,0.00420223386532010
"Q2y_2010",0.0251128639098747,0.00450030973296585
"Q3y_2010",0.0230121237926250,0.0055009277533659
