"risk","expreturn"
"Q1y_1984",0.0352390981694144,0.00994583599174927
"Q2y_1984",0.0327905612540066,0.0101590909141101
"Q3y_1984",0.0387077513605588,0.00700036525114996
"Q4y_1984",0.0427087762986634,0.00805684088744323
"Q1y_1985",0.0432150678516598,0.00904361266898683
"Q2y_1985",0.0421633289991703,0.00966784879727122
"Q3y_1985",0.0399591995832988,0.0101963078995846
"Q4y_1985",0.0370083387967988,0.0103925760919087
"Q1y_1986",0.0348116177860308,0.0133095637213636
"Q2y_1986",0.0379569924974182,0.0155143062939285
"Q3y_1986",0.0365916998109956,0.0151132828293269
"Q4y_1986",0.0342821774966977,0.0143439492765086
"Q1y_1987",0.0324586207117468,0.0139726250272511
"Q2y_1987",0.0306754778770772,0.0154786022864905
"Q3y_1987",0.0351592814778497,0.0152614074123418
"Q4y_1987",0.0360562489449161,0.0139276993200644
"Q1y_1988",0.0266567253751691,0.0101091471202132
"Q2y_1988",0.0268322623136222,0.0115426382550217
"Q3y_1988",0.0255976483381277,0.0107910824104509
"Q4y_1988",0.0254753923921476,0.00952043558917064
"Q1y_1989",0.0242606690785016,0.0111343106185352
"Q2y_1989",0.0227674949735849,0.0114947589819837
"Q3y_1989",0.0212156125367269,0.0121493730353140
"Q4y_1989",0.0220346883415936,0.0126634320935265
"Q1y_1990",0.0187986720598136,0.0129543430546008
"Q2y_1990",0.0218699986707968,0.0102812018685973
"Q3y_1990",0.0222785534831265,0.00993540640466755
"Q4y_1990",0.0233559748601107,0.0108581858598962
"Q1y_1991",0.0238067473544915,0.00940212383290671
"Q2y_1991",0.0213363547898802,0.00939783349760367
"Q3y_1991",0.0172523455745009,0.0087826827921834
"Q4y_1991",0.0158511914057428,0.0100921979825314
"Q1y_1992",0.0162345696626034,0.00968752902322989
"Q2y_1992",0.0202173919341038,0.00783222609467775
"Q3y_1992",0.0178022672982752,0.008460004975863
"Q4y_1992",0.0162995953180272,0.00869325810117123
"Q1y_1993",0.0190654854217043,0.00746344392566903
"Q2y_1993",0.0167715086948122,0.00842474836977071
"Q3y_1993",0.0165832673676877,0.00800220331091846
"Q4y_1993",0.0155396902256757,0.00796605245299115
"Q1y_1994",0.0193967986657938,0.0067040388795949
"Q2y_1994",0.0252605391172414,0.00498864932765971
"Q3y_1994",0.0262268485900789,0.00475483728331958
"Q4y_1994",0.0279003102573675,0.00422432383363753
"Q1y_1995",0.0271108874013439,0.00358525037191621
"Q2y_1995",0.0253561747665612,0.00472103209545771
"Q3y_1995",0.0259280765733791,0.00590519874979682
"Q4y_1995",0.0235402069581214,0.0068444021201272
"Q1y_1996",0.0207862235675061,0.00876246515414194
"Q2y_1996",0.0210542989221084,0.00917549025229365
"Q3y_1996",0.0186954725476643,0.00980000397021754
"Q4y_1996",0.0212089100579831,0.00851031413562038
"Q1y_1997",0.0228615521386926,0.0090920164441961
"Q2y_1997",0.0249139492453629,0.00738464915623173
"Q3y_1997",0.0223324296228012,0.00863318677599357
"Q4y_1997",0.0247241860651701,0.0092279099676743
"Q1y_1998",0.0269136444020843,0.00773234766410525
"Q2y_1998",0.0240560804687703,0.00804765710036113
"Q3y_1998",0.0217460307491931,0.00715673159645872
"Q4y_1998",0.0233759046268769,0.00587163780736446
"Q1y_1999",0.0250807828108753,0.0065963203945085
"Q2y_1999",0.0286894226789486,0.00628613396974159
"Q3y_1999",0.0294697360277536,0.00638522693166899
"Q4y_1999",0.027762558212012,0.00606349478780582
"Q1y_2000",0.0254957007474296,0.00720472168409923
"Q2y_2000",0.0251396373995029,0.0072719856242929
"Q3y_2000",0.0250145712324053,0.00721270701485054
"Q4y_2000",0.0261247931692123,0.00655253638550063
"Q1y_2001",0.0240154809121234,0.0066167383179659
"Q2y_2001",0.0241862169462846,0.00515577703845776
"Q3y_2001",0.0242529985240702,0.00448845528867592
"Q4y_2001",0.0236772995709313,0.00377215163452904
"Q1y_2002",0.027028945240051,0.00315988331671983
"Q2y_2002",0.0224422750078226,0.00342673509784173
"Q3y_2002",0.0240143517831669,0.00336040069005424
"Q4y_2002",0.0215637058509404,0.0039067611929145
"Q1y_2003",0.020626505841282,0.00464317192979283
"Q2y_2003",0.0210181385224052,0.00396661587006848
"Q3y_2003",0.0196264296267017,0.00538914114795304
"Q4y_2003",0.0276735071260573,0.00451709612455443
"Q1y_2004",0.0257637046357106,0.00569868051356235
"Q2y_2004",0.0229192946895331,0.00639685356826518
"Q3y_2004",0.026109685932886,0.00538865841319528
"Q4y_2004",0.0245098741843680,0.00616174866998588
"Q1y_2005",0.0236977152479336,0.0058645765683127
"Q2y_2005",0.0233415025330634,0.00565150251866195
"Q3y_2005",0.0221528110614114,0.0055876367247897
"Q4y_2005",0.0205301090762552,0.00584573182162241
"Q1y_2006",0.0217032724965267,0.00520667413294575
"Q2y_2006",0.0208190514467087,0.00491353196116158
"Q3y_2006",0.0208740328145643,0.00443116052376458
"Q4y_2006",0.0188228689775935,0.0049855225026488
"Q1y_2007",0.0175599925984103,0.00553199299769591
"Q2y_2007",0.0154910066114717,0.00553431505783242
"Q3y_2007",0.0148568032822649,0.00540394927296781
"Q4y_2007",0.0142182529469116,0.00593870163498307
"Q1y_2008",0.0149038027174590,0.00593035054371642
"Q2y_2008",0.0156160045873676,0.00518959759254261
"Q3y_2008",0.0161466901905022,0.00480903416774209
