"risk","expreturn"
"Q1y_1981",0.061618369353808,0.0100441094624194
"Q2y_1981",0.0517377776827742,0.00892625721944807
"Q3y_1981",0.0540494169142704,0.008632851851481
"Q4y_1981",0.0565164352218144,0.00712137324276685
"Q1y_1982",0.0655454052747505,0.0084385822038328
"Q2y_1982",0.0619222857258734,0.00793238060978797
"Q3y_1982",0.0596763852995989,0.00752243624892061
"Q4y_1982",0.0606490963061525,0.00855786303906526
"Q1y_1983",0.0583800522568068,0.00954238775419495
"Q2y_1983",0.055971334553052,0.0100402774308045
"Q3y_1983",0.0524330482568837,0.0101622641656747
"Q4y_1983",0.0506114608788875,0.00990412768230759
"Q1y_1984",0.0469651393566891,0.00977091769663023
"Q2y_1984",0.0447099162554849,0.0095383667153381
"Q3y_1984",0.0409584578315013,0.00878933820724383
"Q4y_1984",0.046126565351681,0.00941485312228855
"Q1y_1985",0.0430423741829282,0.00964094525503096
"Q2y_1985",0.0409196332395145,0.00970816631752096
"Q3y_1985",0.0398648693965661,0.00998435749372928
"Q4y_1985",0.0414511402423343,0.00921687753165677
"Q1y_1986",0.0418044912253207,0.00988170396825702
"Q2y_1986",0.0416421105805297,0.0103419729845151
"Q3y_1986",0.0393186038124768,0.0103680939682313
"Q4y_1986",0.0385595897045839,0.0100812923476169
"Q1y_1987",0.0363748913403482,0.0100515101231043
"Q2y_1987",0.0344207645115029,0.0104154050308391
"Q3y_1987",0.0361015975405773,0.0104016045196271
"Q4y_1987",0.0371222501750718,0.0101781302507242
"Q1y_1988",0.0449202189490329,0.00906618893831057
"Q2y_1988",0.0441152020232017,0.00935627882229144
"Q3y_1988",0.0417594275560552,0.00938791422799471
"Q4y_1988",0.039163693343959,0.00919161862315129
"Q1y_1989",0.0384804733366941,0.0092998118735368
"Q2y_1989",0.0370356436800952,0.00932863927129798
"Q3y_1989",0.0367346361067839,0.00962268352088292
"Q4y_1989",0.036259785352641,0.00967908676220832
"Q1y_1990",0.0367611141775711,0.00957695425957701
"Q2y_1990",0.0359309428339305,0.00921527568861691
"Q3y_1990",0.0352464943926504,0.00917213406517203
"Q4y_1990",0.0411723829821094,0.00892016939539965
"Q1y_1991",0.0343834540404458,0.00894803369479874
"Q2y_1991",0.03320345501035,0.00908822700616044
"Q3y_1991",0.0309599439987837,0.00896757376431334
"Q4y_1991",0.0296631901597469,0.00914554080535122
"Q1y_1992",0.0319102044464275,0.00921225577247732
"Q2y_1992",0.0307532622970508,0.00902078285445826
"Q3y_1992",0.0292397513309789,0.00903765611561257
"Q4y_1992",0.0276144213408377,0.00904172842157298
"Q1y_1993",0.0279009336972115,0.0090020842796407
"Q2y_1993",0.0284704223347409,0.00909389266276231
"Q3y_1993",0.0279753003107567,0.00897026535228062
"Q4y_1993",0.0257334684807588,0.00895229220780307
"Q1y_1994",0.0277040707753469,0.00876317704194871
"Q2y_1994",0.0340993228446082,0.00872070569875756
"Q3y_1994",0.0316699129095216,0.00862950258741766
"Q4y_1994",0.0324422081090687,0.00856220155145971
"Q1y_1995",0.0319928395202148,0.00833887292994977
"Q2y_1995",0.0300193650476022,0.0083999125279342
"Q3y_1995",0.0309667972351887,0.00859406626923614
"Q4y_1995",0.027766454906372,0.0087505711850382
"Q1y_1996",0.0284860006716697,0.00901907746385588
"Q2y_1996",0.026406468095116,0.00923371207409014
"Q3y_1996",0.0176839632518244,0.00986335115990152
"Q4y_1996",0.0259900750330392,0.00900569111619999
"Q1y_1997",0.0299482546807594,0.00905643858676574
"Q2y_1997",0.0289806738645937,0.0089426804126422
"Q3y_1997",0.0277400695460942,0.00896198765002515
"Q4y_1997",0.0293163492478273,0.0089696370300512
"Q1y_1998",0.0283196752393149,0.00897211836908771
"Q2y_1998",0.0260087860184114,0.0088574445118878
"Q3y_1998",0.0245446361857139,0.00868782877823708
"Q4y_1998",0.0311580239788163,0.00838958274220718
"Q1y_1999",0.028649769868494,0.00840521354351113
"Q2y_1999",0.0313021928945537,0.00850704357305842
"Q3y_1999",0.0316408490156736,0.00846652580631201
"Q4y_1999",0.0303614305113573,0.00825720726541842
"Q1y_2000",0.0285419769013747,0.00820822120552561
"Q2y_2000",0.0271004491252737,0.00818153826278421
"Q3y_2000",0.0275873867427662,0.0083001078940659
"Q4y_2000",0.0276500006899647,0.00824968087669743
"Q1y_2001",0.0273463722327784,0.00822049546130416
"Q2y_2001",0.0250601229075705,0.00803554916290816
"Q3y_2001",0.024736891458514,0.00803697151937159
"Q4y_2001",0.0268241638262946,0.00792371466164985
"Q1y_2002",0.0293999934151521,0.00799275081950451
"Q2y_2002",0.0312392009966258,0.00807852095847028
"Q3y_2002",0.0289647558417278,0.00791814317405898
"Q4y_2002",0.0299551268739477,0.00767441113763573
"Q1y_2003",0.0299707679848487,0.00769596799811242
"Q2y_2003",0.0291419818302893,0.00777403977464901
"Q3y_2003",0.0284198273103772,0.00784512300230401
"Q4y_2003",0.033929602954815,0.00800282475275744
"Q1y_2004",0.0318055652659034,0.00804638434298602
"Q2y_2004",0.0296246021635394,0.00805931532055127
"Q3y_2004",0.0340878939436536,0.00784423026926356
"Q4y_2004",0.0317854868141169,0.00802288337021834
"Q1y_2005",0.0303920697046329,0.00808768476404124
"Q2y_2005",0.0298572571265118,0.00796248870056946
"Q3y_2005",0.0276454345517286,0.00798852664644679
"Q4y_2005",0.0286472196546803,0.00804956596483622
"Q1y_2006",0.0275065522994352,0.00798638792050088
"Q2y_2006",0.0271540027288081,0.00801709106307748
"Q3y_2006",0.0260254014470566,0.00788355153692861
"Q4y_2006",0.0244200272085933,0.00797681178269144
"Q1y_2007",0.0235834006358031,0.00799646400385383
"Q2y_2007",0.0229582583460624,0.0079197122986485
"Q3y_2007",0.0239906638209851,0.00771302032577618
"Q4y_2007",0.0235556984291598,0.00768792745174793
"Q1y_2008",0.0246813741555161,0.00758295202269786
"Q2y_2008",0.0244874856391101,0.00748724029685994
"Q3y_2008",0.0276991663190455,0.00732665101132861
"Q4y_2008",0.0301431838735827,0.00724772447951432
"Q1y_2009",0.0579219567040437,0.00677124581255596
"Q2y_2009",0.0535391440765503,0.0064930153099806
"Q3y_2009",0.0470321285379832,0.00658352813054195
"Q4y_2009",0.0397973772905168,0.00658982717717187
"Q1y_2010",0.036881646003874,0.00654212768395433
"Q2y_2010",0.0351073766290304,0.00665609631104287
"Q3y_2010",0.0355622413465917,0.00666400558886207
