"risk","expreturn"
"Q1y_1984",0.0388209872634921,0.0101165344304974
"Q2y_1984",0.0377328734179504,0.0104896885727363
"Q3y_1984",0.0397234191296699,0.00706005682615065
"Q4y_1984",0.0446265069323099,0.00809252416592174
"Q1y_1985",0.0443280048743984,0.00897168380416922
"Q2y_1985",0.0435884740733813,0.00971420253159909
"Q3y_1985",0.0403792637146281,0.0101757724810831
"Q4y_1985",0.0382416579901011,0.0103439270156472
"Q1y_1986",0.0374553463168205,0.0134072699452072
"Q2y_1986",0.0396146753076906,0.0156439609576704
"Q3y_1986",0.0386001515462650,0.0153644372537167
"Q4y_1986",0.0392815981770608,0.0148660700837117
"Q1y_1987",0.0387115711893145,0.0146064528337537
"Q2y_1987",0.0373698024993885,0.0169877352245463
"Q3y_1987",0.0388126771804239,0.0163794000799137
"Q4y_1987",0.0390003470404101,0.0150089762948864
"Q1y_1988",0.0415171634651756,0.0110998825821684
"Q2y_1988",0.0297739211098771,0.0120729564806885
"Q3y_1988",0.0279319447904503,0.0111971108366928
"Q4y_1988",0.0286900299305240,0.00983570612306453
"Q1y_1989",0.0269379326467108,0.0117838875276606
"Q2y_1989",0.0255560957813847,0.0122949294137996
"Q3y_1989",0.0249747931700986,0.0128086686368166
"Q4y_1989",0.0244590209978885,0.0133261909162228
"Q1y_1990",0.0224861848563401,0.0139041171755623
"Q2y_1990",0.0260340509767034,0.0108401748645377
"Q3y_1990",0.0263545506861104,0.0103644685828215
"Q4y_1990",0.0335853500148652,0.0119428388836984
"Q1y_1991",0.0408570741830901,0.00967314194124196
"Q2y_1991",0.0372413619476774,0.0098784196092254
"Q3y_1991",0.0258885240160821,0.00887301693199667
"Q4y_1991",0.0249117627879567,0.0102706856882326
"Q1y_1992",0.0301338770114088,0.00912181264262038
"Q2y_1992",0.0290211491834113,0.0073010071985542
"Q3y_1992",0.0282456271437315,0.0078791802112605
"Q4y_1992",0.0271232619359402,0.00784372703589489
"Q1y_1993",0.0286006573217279,0.00662844395145415
"Q2y_1993",0.0260240121011767,0.00786257823465352
"Q3y_1993",0.0294241165079119,0.00710812239998208
"Q4y_1993",0.0270897405866611,0.00716405268752521
"Q1y_1994",0.0347748432069594,0.00561775909187971
"Q2y_1994",0.0337652637208608,0.0045466763747843
"Q3y_1994",0.0308131541413756,0.00475602519316428
"Q4y_1994",0.0338798431207757,0.00420930018475322
"Q1y_1995",0.0321157746985127,0.00348712038916507
"Q2y_1995",0.0286266270095862,0.00462020742541183
"Q3y_1995",0.0280343963995704,0.00578202512144156
"Q4y_1995",0.0264160539723286,0.00687469397785895
"Q1y_1996",0.0231464048529376,0.00900808596964342
"Q2y_1996",0.0216420956836125,0.00938596677526425
"Q3y_1996",0.0186951874375849,0.00980001802543715
"Q4y_1996",0.0236471076949827,0.00908199425083206
"Q1y_1997",0.0263075610855129,0.00984046903653
"Q2y_1997",0.029172258043271,0.00806190216318014
"Q3y_1997",0.0256428121845316,0.00939990191994623
"Q4y_1997",0.0287697562512733,0.0100361103887152
"Q1y_1998",0.0357168261091984,0.00833459197444389
"Q2y_1998",0.0307589206645081,0.00888329372053028
"Q3y_1998",0.0284752317613871,0.00756548964959388
"Q4y_1998",0.0403804470933891,0.00427236389585478
"Q1y_1999",0.0423979350242902,0.00631313829756831
"Q2y_1999",0.0380141909114622,0.0065588135978037
"Q3y_1999",0.0387708762664032,0.00723582710103589
"Q4y_1999",0.0365016944848056,0.00685095691523404
"Q1y_2000",0.0328414141922157,0.00865195351891582
"Q2y_2000",0.0342499839442304,0.00881884410173473
"Q3y_2000",0.0345214446184307,0.00872848384912367
"Q4y_2000",0.0390759066435979,0.00754058522957106
"Q1y_2001",0.0388084311531506,0.00692880166729997
"Q2y_2001",0.043897309399805,0.00365883940055623
"Q3y_2001",0.0431933216565234,0.00298565145079702
"Q4y_2001",0.0485547130281703,-0.000262905584758764
"Q1y_2002",0.0522268851801275,2.03759235886099e-06
"Q2y_2002",0.0469550361687786,0.00111455008342214
"Q3y_2002",0.0491862045119708,0.000186634366363110
"Q4y_2002",0.0527281967083453,-0.000856902121538045
"Q1y_2003",0.0531913458436311,0.00108097702008076
"Q2y_2003",0.0569692671663152,-0.000460261232011205
"Q3y_2003",0.0636688602250378,0.00240268619182203
"Q4y_2003",0.0541755287752937,0.00309261350863899
"Q1y_2004",0.0478672678829871,0.00587598314695829
"Q2y_2004",0.0451383433530307,0.00691904952756747
"Q3y_2004",0.0415072815562267,0.00613938389646701
"Q4y_2004",0.0417105701028440,0.00710328105090321
"Q1y_2005",0.0453934630788851,0.00679460921716702
"Q2y_2005",0.0453374012954576,0.00718976235995313
"Q3y_2005",0.045331180482667,0.00646365947172223
"Q4y_2005",0.0421806721013868,0.00782840565610104
"Q1y_2006",0.043322777432483,0.0066879185078051
"Q2y_2006",0.041025848113644,0.00673495355464187
"Q3y_2006",0.0393110255769548,0.00611454344208457
"Q4y_2006",0.0296497138067209,0.00572860552257353
"Q1y_2007",0.0276340390124534,0.00657271052071812
"Q2y_2007",0.0252472624559394,0.00657033636896176
"Q3y_2007",0.0242224642278654,0.00680218004499583
"Q4y_2007",0.0247836151390423,0.00737973455695668
"Q1y_2008",0.0283572886964281,0.00702325215732459
"Q2y_2008",0.03565296033779,0.00542382266742674
"Q3y_2008",0.0349206741429549,0.00581254139719368
"Q4y_2008",0.0546508062972864,-0.000383619253689413
"Q1y_2009",0.123233681839820,-0.00791239454503912
"Q2y_2009",0.114203297919958,-0.0102702661516932
"Q3y_2009",0.111881927182259,-0.00486839689526792
"Q4y_2009",0.0843545184004337,-0.00142781870497946
"Q1y_2010",0.064896921284281,-8.47377985494583e-05
"Q2y_2010",0.0579190563391656,0.000776390027701822
"Q3y_2010",0.0752108381991146,-0.00188018471537788
