"risk","expreturn"
"Q1y_1981",0.061615651374417,0.0100429221806316
"Q2y_1981",0.0517410083884303,0.00892559417232455
"Q3y_1981",0.0540630536394838,0.00863614554461905
"Q4y_1981",0.0565098439771145,0.00712162816122433
"Q1y_1982",0.0655434892525729,0.00843987692084521
"Q2y_1982",0.0619250729890313,0.00793237266286962
"Q3y_1982",0.0596775898098929,0.00752264272022187
"Q4y_1982",0.0606475066034477,0.008558955819674
"Q1y_1983",0.05837828772719,0.00954317160083791
"Q2y_1983",0.0559701988567841,0.0100406187327855
"Q3y_1983",0.0524308621033755,0.0101636718318135
"Q4y_1983",0.0506103992759536,0.00990566810095762
"Q1y_1984",0.0469687954837402,0.00977055962523491
"Q2y_1984",0.0447142000389232,0.00953873724971417
"Q3y_1984",0.0409556586700155,0.00878684691617909
"Q4y_1984",0.0461210516683548,0.00941439107886291
"Q1y_1985",0.0430432593052235,0.00964175756128068
"Q2y_1985",0.0409192790468078,0.00970692972518224
"Q3y_1985",0.0398664344189858,0.00998169315166452
"Q4y_1985",0.0414525378119447,0.00921602553219017
"Q1y_1986",0.041803297567832,0.00988222429330895
"Q2y_1986",0.04163649835565,0.0103446464557019
"Q3y_1986",0.0393191721841567,0.0103681270671165
"Q4y_1986",0.0385606947473767,0.0100809606039338
"Q1y_1987",0.036364600248374,0.0100526110870647
"Q2y_1987",0.0344166717729794,0.0104173558471678
"Q3y_1987",0.0361052299934147,0.0104025054527275
"Q4y_1987",0.0371265339013258,0.0101783678888027
"Q1y_1988",0.0449285022799778,0.00906593459942476
"Q2y_1988",0.0441090123281597,0.00935653157353957
"Q3y_1988",0.0417580771991544,0.00938737397676815
"Q4y_1988",0.039161133977093,0.0091915184288753
"Q1y_1989",0.0384861025312929,0.00930047606961153
"Q2y_1989",0.0371331004658825,0.0093398346815706
"Q3y_1989",0.0367452117766325,0.00962301629290292
"Q4y_1989",0.0362617201893903,0.00968010963129274
"Q1y_1990",0.0368854811911892,0.00959136705371752
