"risk","expreturn"
"Q1y_1984",0.0352224975519379,0.00993815371832105
"Q2y_1984",0.0327860610860662,0.0101606317286126
"Q3y_1984",0.0387432351735679,0.00700284029753478
"Q4y_1984",0.0427071424813411,0.00805931276469794
"Q1y_1985",0.0432299637430418,0.00904410589898558
"Q2y_1985",0.0421657695303163,0.0096672448117843
"Q3y_1985",0.0399249114087862,0.0101975928663863
"Q4y_1985",0.0370214884734749,0.0103945299566082
"Q1y_1986",0.0348247568262207,0.0133114168866532
"Q2y_1986",0.0379366292499394,0.0155256473871919
"Q3y_1986",0.0365884727878435,0.0151159923332820
"Q4y_1986",0.0341894347017778,0.0142960159866303
"Q1y_1987",0.0324192889520534,0.0139743341764144
"Q2y_1987",0.0306588750801443,0.0154863060700913
"Q3y_1987",0.0351127127534449,0.0152667256059329
"Q4y_1987",0.03602526804808,0.0139147004485064
"Q1y_1988",0.0266321815987233,0.0100929978070491
"Q2y_1988",0.0268155546569167,0.0115431116429374
"Q3y_1988",0.0255687611477027,0.0107904295766052
"Q4y_1988",0.025461980271871,0.00952084520341987
"Q1y_1989",0.0241898655182421,0.0111359227042786
"Q2y_1989",0.0227375503877303,0.0114993625443817
"Q3y_1989",0.0212025177868758,0.0121509308328126
"Q4y_1989",0.0220554348310900,0.0126681615010407
"Q1y_1990",0.0187985091118720,0.0129499910472214
"Q2y_1990",0.0218233934347894,0.0102799069454297
"Q3y_1990",0.0222592498170259,0.00993780896680202
"Q4y_1990",0.0233494292334159,0.0108559204443463
"Q1y_1991",0.0236987275575833,0.00940378258725452
"Q2y_1991",0.0213208439337098,0.00939695422085384
"Q3y_1991",0.0172242851673419,0.00878336321197707
"Q4y_1991",0.0157847311366932,0.0100933488264919
"Q1y_1992",0.0161136156329771,0.00970625082176487
"Q2y_1992",0.0201366779700414,0.00783785885751724
"Q3y_1992",0.0177188930308766,0.0084690286412174
"Q4y_1992",0.0162786102336066,0.00869979492054674
"Q1y_1993",0.0189779051134971,0.00748193426957086
"Q2y_1993",0.0168032848803710,0.00842008318973238
"Q3y_1993",0.0164986144342106,0.00799763751220185
"Q4y_1993",0.0154881118832492,0.00797144832662034
"Q1y_1994",0.0194002240641704,0.00671013013956707
"Q2y_1994",0.0252317699178443,0.0049912671844047
"Q3y_1994",0.026222039868418,0.00475367451613746
"Q4y_1994",0.0278406920464398,0.00422766776780462
"Q1y_1995",0.0271576203798709,0.00358609739181258
"Q2y_1995",0.0253490629305456,0.00472054601305549
"Q3y_1995",0.0258558999537234,0.00590586841514982
"Q4y_1995",0.0235201493896624,0.006829048570656
"Q1y_1996",0.0207791886766552,0.00874691960779434
"Q2y_1996",0.0209584768762970,0.00915933225327708
"Q3y_1996",0.0187118018272202,0.0097945792039356
"Q4y_1996",0.0212054722014064,0.00850544408556634
"Q1y_1997",0.0228349815820066,0.0090993988206126
"Q2y_1997",0.0249168136380800,0.00737909544953112
"Q3y_1997",0.0222266934172321,0.00862557604792053
"Q4y_1997",0.0245948500856682,0.00921682434933674
"Q1y_1998",0.0269265559434325,0.0077354184355214
"Q2y_1998",0.0240465018612949,0.00805743280939063
"Q3y_1998",0.0217544093942548,0.00715536069774887
"Q4y_1998",0.0233318165048884,0.00590738324229729
"Q1y_1999",0.0249583396202599,0.006617336829456
"Q2y_1999",0.0287033889589724,0.00629990801248577
"Q3y_1999",0.0294440775572417,0.00638581908023118
"Q4y_1999",0.0277534926865484,0.00606146293899805
"Q1y_2000",0.0254080886367148,0.00717232722601955
"Q2y_2000",0.0251372626897701,0.00725655205156306
"Q3y_2000",0.0248923264508681,0.00720084684382478
"Q4y_2000",0.0261368064911387,0.00655419541830132
"Q1y_2001",0.0240298487511395,0.00661530942638624
"Q2y_2001",0.0242499101882872,0.00514832754394787
"Q3y_2001",0.0242223936294033,0.00449677374764537
"Q4y_2001",0.0236343872258155,0.00378028726442889
"Q1y_2002",0.0270146613827029,0.00315758825063933
"Q2y_2002",0.0224093259899424,0.00342783033799692
"Q3y_2002",0.0240158968537732,0.00335899106761284
"Q4y_2002",0.0215531816254478,0.00389899127014658
"Q1y_2003",0.0206087521040582,0.00464129016640163
"Q2y_2003",0.0209646430811060,0.00398028597406957
"Q3y_2003",0.0195968479763225,0.00539524483971693
"Q4y_2003",0.0276731407659722,0.00451635711571554
"Q1y_2004",0.0257601018885956,0.00569831889606789
"Q2y_2004",0.0229118618352807,0.00639757146576253
"Q3y_2004",0.0261020223368305,0.00538998207578375
"Q4y_2004",0.0245089304226080,0.00616292207994499
"Q1y_2005",0.0236835810832472,0.00586372257002527
"Q2y_2005",0.0233438540505735,0.00565317422714124
"Q3y_2005",0.022175657997498,0.00559103172716263
"Q4y_2005",0.0205260604667036,0.00584456270938209
"Q1y_2006",0.0217052329639116,0.00520672461152849
"Q2y_2006",0.0208350158398864,0.00491761295645829
"Q3y_2006",0.0208642233571095,0.00443492830601262
"Q4y_2006",0.0188187944039118,0.00499263113881709
"Q1y_2007",0.0175315411839793,0.00554329309286538
"Q2y_2007",0.0154654049103924,0.00551493912187783
"Q3y_2007",0.0148458717264664,0.00539671731179008
"Q4y_2007",0.014179499474819,0.00594293703157426
"Q1y_2008",0.0148863638215996,0.00593107863008184
"Q2y_2008",0.0155940563239212,0.00518428535728699
"Q3y_2008",0.0161469069974533,0.00480909995272238
"Q4y_2008",0.0226907382945419,0.00197997675642310
"Q1y_2009",0.0469934373915007,0.00078244505445815
"Q2y_2009",0.0481539898370138,-0.000818585719099017
"Q3y_2009",0.0424826850906839,0.00150366281885791
"Q4y_2009",0.0357138466981365,0.00296414471857789
"Q1y_2010",0.0317997592803052,0.00273076262271404
"Q2y_2010",0.0311693133032068,0.00297194985389291
"Q3y_2010",0.0296246013080336,0.00299955490277553
