"risk","expreturn"
"Q1y_1981",0.0598101670927027,0.00957242767531216
"Q2y_1981",0.0470612559970511,0.00719130661618976
"Q3y_1981",0.0516230770765227,0.00795008081100019
"Q4y_1981",0.0527542705743483,0.00591845429474962
"Q1y_1982",0.0635673586270265,0.00907245465276924
"Q2y_1982",0.0607409009435527,0.00822693094702637
"Q3y_1982",0.0568727853361794,0.00417232614629121
"Q4y_1982",0.0503891257985469,0.00537712894489548
"Q1y_1983",0.0481868223056576,0.00601291600875617
"Q2y_1983",0.0492699756151011,0.00626620491954414
"Q3y_1983",0.0417998883578089,0.00626055756513372
"Q4y_1983",0.0393249322082742,0.00620860718446093
"Q1y_1984",0.0337570974787402,0.00619891268464384
"Q2y_1984",0.0312893361735864,0.00621904664402504
"Q3y_1984",0.0336223318052949,0.00566762082979012
"Q4y_1984",0.0323075394196251,0.00602437353274273
"Q1y_1985",0.0277614359596043,0.00649939446684637
"Q2y_1985",0.0260903301514305,0.00639624908652033
"Q3y_1985",0.0256523315056371,0.00668423889775715
"Q4y_1985",0.0244106674011917,0.00688230377660378
"Q1y_1986",0.0236143415100089,0.00731423274935555
"Q2y_1986",0.0248678299335137,0.00755973125928527
"Q3y_1986",0.0235373225473474,0.00759183307150677
"Q4y_1986",0.0206932988116997,0.00767567506022095
"Q1y_1987",0.018976844256249,0.00775349597049085
"Q2y_1987",0.0182160886504149,0.00778903730109208
"Q3y_1987",0.0216981579972857,0.00757278883301946
"Q4y_1987",0.025566392909597,0.00723142441655429
"Q1y_1988",0.0251150277569,0.00739722479024329
"Q2y_1988",0.0262538380981983,0.00748879145098099
"Q3y_1988",0.0244174448177243,0.00743018029666296
"Q4y_1988",0.0221704184034643,0.00736777693121501
"Q1y_1989",0.0215928562928981,0.00743140139454387
"Q2y_1989",0.0203423094670896,0.00744892073300782
"Q3y_1989",0.0220929239147889,0.00776260118696136
"Q4y_1989",0.0220237614606842,0.00771064755031186
"Q1y_1990",0.0199545449773389,0.00782126470441326
"Q2y_1990",0.0207306442907148,0.00764246441236058
"Q3y_1990",0.0213341231440501,0.00766100159314105
"Q4y_1990",0.0214575712225555,0.0076823352475646
"Q1y_1991",0.0187286300122452,0.00786417627060492
"Q2y_1991",0.0177091534538028,0.00780888952930549
"Q3y_1991",0.0170827109372443,0.00776043110845026
"Q4y_1991",0.0176899081266632,0.00793992647190105
"Q1y_1992",0.019003693383733,0.00799770182126587
"Q2y_1992",0.0190869435451819,0.00783191026045725
"Q3y_1992",0.0178026637070021,0.00791953581483311
"Q4y_1992",0.0168164465966622,0.00798982720854041
"Q1y_1993",0.0183412597499801,0.00786426377410413
"Q2y_1993",0.0179708371136893,0.00794874892391795
"Q3y_1993",0.0174610181407242,0.00792344790950993
"Q4y_1993",0.0162149582870622,0.00792109745880071
"Q1y_1994",0.0173546006175257,0.00779489121117147
"Q2y_1994",0.0265271410331866,0.0075586140558955
"Q3y_1994",0.0244021725905348,0.00743658800304251
"Q4y_1994",0.0253749671547967,0.00734960979630689
"Q1y_1995",0.0232412137483827,0.007274342197609
"Q2y_1995",0.0225535642456324,0.00736405267113043
"Q3y_1995",0.024178880306152,0.0074862675741477
"Q4y_1995",0.0221593349291429,0.00749419970112894
"Q1y_1996",0.0214345853516419,0.00764700917446354
"Q2y_1996",0.0239670169382476,0.00896201546155273
"Q3y_1996",0.0152987946681325,0.0104092415218795
"Q4y_1996",0.0213296035960304,0.00741681584562372
"Q1y_1997",0.0224770014767468,0.00745962693730242
"Q2y_1997",0.0223643024135481,0.00733361755940516
"Q3y_1997",0.0207055766057773,0.00737677007010516
"Q4y_1997",0.022087676461688,0.00742407331348466
"Q1y_1998",0.020705869694586,0.00743456107914621
"Q2y_1998",0.0193327116640746,0.00739075516027224
"Q3y_1998",0.0176194492658602,0.00738660314641891
"Q4y_1998",0.0189793709700886,0.00748585470826235
"Q1y_1999",0.0182281244004877,0.00743155298041384
"Q2y_1999",0.0221629078635349,0.00732980556531134
"Q3y_1999",0.0225166486467629,0.00721650658222435
"Q4y_1999",0.0212186264755704,0.00715989839947112
"Q1y_2000",0.0203461885864146,0.00707403638666998
"Q2y_2000",0.0194335847942963,0.00708138853576262
"Q3y_2000",0.0198463608698734,0.00707091874028542
"Q4y_2000",0.0183186500278752,0.00710101217130709
"Q1y_2001",0.0184150741904459,0.00717013631804204
"Q2y_2001",0.0170601324914504,0.00719499239226334
"Q3y_2001",0.0166578666134076,0.007138546912569
"Q4y_2001",0.0171384507924675,0.00721957507650979
"Q1y_2002",0.0214154447422801,0.00715792459859523
"Q2y_2002",0.0234396257096961,0.00715787536322399
"Q3y_2002",0.0214822527721086,0.00724458697239861
"Q4y_2002",0.0208683935049412,0.00720849638549942
"Q1y_2003",0.0210859319401159,0.00721767485181199
"Q2y_2003",0.0198897547103573,0.00722801321427899
"Q3y_2003",0.0193739040166544,0.00722091167765734
"Q4y_2003",0.0285499463577947,0.00763809096810906
"Q1y_2004",0.0268776787177162,0.00757408524809879
"Q2y_2004",0.0246019256528254,0.00747754170678617
"Q3y_2004",0.0281004409038577,0.00718737257579984
"Q4y_2004",0.0258863765250812,0.00737415324056813
"Q1y_2005",0.0244420477616539,0.00742822624743538
"Q2y_2005",0.0238815731562095,0.00726052622110697
"Q3y_2005",0.021974125968485,0.00729975154575949
"Q4y_2005",0.0231275785190736,0.00734324513172198
"Q1y_2006",0.0220859561856331,0.00731418895750735
