"risk","expreturn"
"Q1y_1984",0.0379651187659921,0.0108490450114550
"Q2y_1984",0.0369124038514511,0.0108694289679086
"Q3y_1984",0.0385495404680006,0.00693433645581773
"Q4y_1984",0.0436625792067209,0.00873516727177894
"Q1y_1985",0.0435245118003681,0.00944659321424174
"Q2y_1985",0.0425992519905464,0.0103081428196750
"Q3y_1985",0.0392605276405145,0.00975673860424351
"Q4y_1985",0.0373683554738739,0.00923176839748843
"Q1y_1986",0.0367683995871407,0.0129354635743348
"Q2y_1986",0.0384719230991668,0.0170453238629547
"Q3y_1986",0.0374153139147405,0.0165366291125108
"Q4y_1986",0.0388265868497217,0.0150670686271304
"Q1y_1987",0.0379975448562344,0.0146564111640293
"Q2y_1987",0.0358205842521677,0.0175445172635485
"Q3y_1987",0.0372450711475665,0.0164995992594411
"Q4y_1987",0.0375588316138073,0.0151515723003283
"Q1y_1988",0.0410463580398697,0.0107870121101246
"Q2y_1988",0.0288652327713717,0.0119380487915981
"Q3y_1988",0.0270895568179685,0.0109679330912256
"Q4y_1988",0.0277108951439401,0.00948973008140902
"Q1y_1989",0.0259595752546257,0.0117688298845685
"Q2y_1989",0.024571452812322,0.0123704870264642
"Q3y_1989",0.0238434181651308,0.0130050719228507
"Q4y_1989",0.0233603435706309,0.0133912658435151
"Q1y_1990",0.0213201089634008,0.014085815689616
"Q2y_1990",0.0242431390136541,0.0117948160458771
"Q3y_1990",0.0248517110149780,0.010747577635028
"Q4y_1990",0.0309826589849617,0.0142933837547543
"Q1y_1991",0.0378219388310897,0.0108390830868994
"Q2y_1991",0.0353919783018198,0.0111249380622373
"Q3y_1991",0.0241840715803960,0.0100912403458763
"Q4y_1991",0.0233712451854429,0.0111907673359718
"Q1y_1992",0.0290231502205791,0.0096778583043788
"Q2y_1992",0.0275027112580713,0.0083668249999594
"Q3y_1992",0.0263832443068754,0.00903592704038346
"Q4y_1992",0.0254564362638896,0.00873539404566706
"Q1y_1993",0.0271699032355424,0.007554868749201
"Q2y_1993",0.0248570117582498,0.00816731568188002
"Q3y_1993",0.0282567342491595,0.00699532150077391
"Q4y_1993",0.0260274219320594,0.00681565520290956
"Q1y_1994",0.0328397114049078,0.00534734118269569
"Q2y_1994",0.0318927845384995,0.00392801931427061
"Q3y_1994",0.0288920531889124,0.0041800790154293
"Q4y_1994",0.0333153234417612,0.0038769357521398
"Q1y_1995",0.030150973863576,0.00303396202656277
"Q2y_1995",0.0267613968001153,0.00434666296295648
"Q3y_1995",0.0259045957495459,0.00577191854653936
"Q4y_1995",0.0238033356586762,0.0071115363218068
"Q1y_1996",0.0209698284751748,0.00956730457857702
"Q2y_1996",0.0193832117533549,0.0101359265613591
"Q3y_1996",0.0162426671815223,0.0104001832423782
"Q4y_1996",0.0219102996234374,0.0100470666255856
"Q1y_1997",0.0252045975920670,0.0110145020557093
"Q2y_1997",0.0282855438197604,0.00908416708116875
"Q3y_1997",0.0246196698896781,0.009975732754804
"Q4y_1997",0.0268015691813217,0.0108532301830140
"Q1y_1998",0.0337017855843795,0.0103489670604344
"Q2y_1998",0.0290325669601856,0.0106574563777372
"Q3y_1998",0.0276814203772719,0.0087361877350867
"Q4y_1998",0.0388280622500831,0.00519065319925225
"Q1y_1999",0.0408498437174478,0.00870607727891689
"Q2y_1999",0.0374446554015327,0.00794448817456987
"Q3y_1999",0.0373464407954283,0.00931369404664725
"Q4y_1999",0.0359791509064304,0.00749132712496432
"Q1y_2000",0.0323837842278386,0.00940216035758632
"Q2y_2000",0.0335826232667694,0.009274432003613
"Q3y_2000",0.0338983804693223,0.00914971602602078
"Q4y_2000",0.038277749759782,0.00791802621814668
"Q1y_2001",0.0385303995293277,0.00715845920216048
"Q2y_2001",0.0429008838186749,0.00460551864398164
"Q3y_2001",0.0423459771332738,0.00390194328726132
"Q4y_2001",0.048254172302122,0.000453123886315032
"Q1y_2002",0.0521435523192811,-0.000146446216480680
"Q2y_2002",0.0468101925527043,0.00077322564143284
"Q3y_2002",0.0481313811060879,8.24788493706807e-05
"Q4y_2002",0.0514467853579425,0.000877392637796826
"Q1y_2003",0.0503588560893992,0.00266446335531406
"Q2y_2003",0.0543594280055193,-0.00142839988193007
"Q3y_2003",0.0618947257584322,0.00182528393492133
"Q4y_2003",0.051847662288377,0.00305738251247884
"Q1y_2004",0.0461764493046804,0.00625577430332107
"Q2y_2004",0.0437871270344018,0.00744049077360498
"Q3y_2004",0.0406661560697494,0.00651812910007321
"Q4y_2004",0.0401478040615002,0.0075478351681272
"Q1y_2005",0.0440361473587058,0.00607847096704918
"Q2y_2005",0.0445581394370088,0.00678091207258924
"Q3y_2005",0.045168343122413,0.0065286074324958
"Q4y_2005",0.0416231951511106,0.0079165482984661
