"risk","expreturn"
"Q1y_1981",0.0598101670928207,0.00957244487396835
"Q2y_1981",0.0497402047681549,0.00890527714500996
"Q3y_1981",0.0518895358697945,0.00836854090738483
"Q4y_1981",0.0540487628291776,0.00683966653372435
"Q1y_1982",0.0639687471006264,0.00897295662804119
"Q2y_1982",0.0607899007932735,0.00822597504589332
"Q3y_1982",0.0586657679788616,0.00766265452994617
"Q4y_1982",0.059731298167507,0.00888107245893208
"Q1y_1983",0.0576180066338862,0.00986036333185949
"Q2y_1983",0.0549276459322698,0.0102407320403421
"Q3y_1983",0.0508184687515675,0.0102183614300844
"Q4y_1983",0.0488550922823647,0.00997029230110153
"Q1y_1984",0.0450879072925076,0.00994728877068906
"Q2y_1984",0.0429865877863589,0.00974395452024058
"Q3y_1984",0.0406458816961016,0.00839486482037563
"Q4y_1984",0.0449275142457945,0.00939919042395515
"Q1y_1985",0.0426178490886029,0.00971901957994146
"Q2y_1985",0.0404999511042831,0.00960159614116879
"Q3y_1985",0.039600470340122,0.01020827707117
"Q4y_1985",0.0405399293669322,0.00900543604617983
"Q1y_1986",0.0411441608432954,0.00982591276270598
"Q2y_1986",0.0402483389876286,0.0107443040341056
"Q3y_1986",0.0377869703076309,0.0108409946562306
"Q4y_1986",0.037279212313806,0.0105455646760236
"Q1y_1987",0.0354131887404958,0.0105040324497131
"Q2y_1987",0.0334729308954351,0.0110266847304565
"Q3y_1987",0.0348270198945936,0.0107832348265721
"Q4y_1987",0.0358603416109434,0.0104253292921818
"Q1y_1988",0.0445510208584769,0.00901209910432979
"Q2y_1988",0.0434456301637139,0.00928496248207962
"Q3y_1988",0.0412019142055429,0.00934161729969257
"Q4y_1988",0.0387988892083923,0.00916600567430228
"Q1y_1989",0.0382604734365654,0.00936594683804556
"Q2y_1989",0.037051951488825,0.00941293722754737
"Q3y_1989",0.0363215805717533,0.00967186295122841
"Q4y_1989",0.0358377060444861,0.00972165252363167
"Q1y_1990",0.0367955460997382,0.00965632006723231
"Q2y_1990",0.0363740943559043,0.00928394739432318
"Q3y_1990",0.0353380771829846,0.00920979118615409
"Q4y_1990",0.0445815746703904,0.00929987191067116
"Q1y_1991",0.036296686449651,0.00910811747371543
"Q2y_1991",0.0362985439162967,0.00936015136906234
"Q3y_1991",0.0339591804203833,0.00918615563219457
"Q4y_1991",0.0315660485494115,0.00930136754351842
"Q1y_1992",0.0344841850220859,0.00949666332698639
"Q2y_1992",0.0321936615807199,0.00914484758206955
"Q3y_1992",0.0309005162873353,0.00916331381570771
"Q4y_1992",0.0295787749706794,0.00917396412070477
"Q1y_1993",0.0291704189334652,0.00911980819673008
"Q2y_1993",0.0311567279115598,0.00925040086665472
"Q3y_1993",0.031484321609862,0.00920661528485546
"Q4y_1993",0.0287875664015075,0.00912956766555257
"Q1y_1994",0.0315693791336492,0.00901448556305271
"Q2y_1994",0.0347351873272666,0.00880382724091434
"Q3y_1994",0.0322176296692326,0.00868950689506453
"Q4y_1994",0.0330896486015201,0.00870895597571902
"Q1y_1995",0.0339119987618889,0.00847574682335412
"Q2y_1995",0.0313843069962155,0.00848685070245237
