"risk","expreturn"
"Q1y_1984",0.033340523678642,0.00981488349030806
"Q2y_1984",0.0307842480429670,0.0099391792564824
"Q3y_1984",0.0350013453544244,0.00658478622281166
"Q4y_1984",0.0398201508826639,0.00797578334043089
"Q1y_1985",0.0405151397261492,0.00915501763468579
"Q2y_1985",0.0393513683949218,0.00958517007647329
"Q3y_1985",0.0370251936107714,0.00936648253967438
"Q4y_1985",0.0338826069025687,0.00922525858543952
"Q1y_1986",0.0318008868829894,0.0120979889772209
"Q2y_1986",0.0349332239010576,0.0161672320756128
"Q3y_1986",0.033160053875154,0.0154639273914697
"Q4y_1986",0.0296131089720189,0.0156434033967245
"Q1y_1987",0.0273942462369644,0.0133533722871535
"Q2y_1987",0.0259732461133349,0.0140499091728083
"Q3y_1987",0.0298720219107692,0.0144618759293459
"Q4y_1987",0.0311273352487911,0.0126012117308305
"Q1y_1988",0.0245552412946175,0.00975989989851717
"Q2y_1988",0.0240248813399335,0.0108507107788355
"Q3y_1988",0.0232868831996895,0.0101225956700429
"Q4y_1988",0.0229025578261656,0.00893309074467448
"Q1y_1989",0.0218168785443471,0.0106015508757621
"Q2y_1989",0.0204325063534806,0.0109460265246869
"Q3y_1989",0.0188120598080295,0.0118673526516162
"Q4y_1989",0.0196018821180102,0.0120444179419718
"Q1y_1990",0.0166521922805165,0.0125280926459664
"Q2y_1990",0.0187122603831004,0.0106411339063627
"Q3y_1990",0.0193273908417207,0.0098901911179464
"Q4y_1990",0.0192915993873941,0.0116749041015181
"Q1y_1991",0.0197563387338648,0.0099662753255474
"Q2y_1991",0.0178576192962571,0.00981100849541524
"Q3y_1991",0.0144218298336140,0.00936581290900566
"Q4y_1991",0.0132967710827556,0.0105316769470638
"Q1y_1992",0.0136851651310666,0.0101153453894432
"Q2y_1992",0.0170029521161439,0.00866360429615003
"Q3y_1992",0.0152068669059915,0.00920906908579168
"Q4y_1992",0.0139159710826051,0.00935784349082807
"Q1y_1993",0.0161928955771403,0.00825416034890266
"Q2y_1993",0.0143670588254747,0.00889019773375304
"Q3y_1993",0.0142379992166823,0.00812921500110808
"Q4y_1993",0.0134080696969799,0.00795713291120387
"Q1y_1994",0.0164186987321078,0.0066248012723637
"Q2y_1994",0.0218116788203316,0.0046980628180166
"Q3y_1994",0.0228820347010378,0.00434118168633077
"Q4y_1994",0.0246125460382863,0.00378612393607974
"Q1y_1995",0.0233694266707156,0.00326999996210209
"Q2y_1995",0.0219625824170811,0.00444049878689985
"Q3y_1995",0.0225275237175119,0.005775353412249
"Q4y_1995",0.0201478310241650,0.00666194938641867
"Q1y_1996",0.0176425364871432,0.00861617470785073
"Q2y_1996",0.0183551658818731,0.00919684855904644
"Q3y_1996",0.0160559023568404,0.0100559586082183
"Q4y_1996",0.0182876119011591,0.0083763022287822
"Q1y_1997",0.0197348312625679,0.00904033251814004
"Q2y_1997",0.0216962207579286,0.00723429995985088
"Q3y_1997",0.0190823438638085,0.00787172905954504
"Q4y_1997",0.0206011328761578,0.00880400208729019
"Q1y_1998",0.0224904994941691,0.00769645826924824
"Q2y_1998",0.0204826982647402,0.00739066957829721
"Q3y_1998",0.0188151504799623,0.00619802323002611
"Q4y_1998",0.0192905974924595,0.00528496041589821
"Q1y_1999",0.0216680200534132,0.00668144475054027
"Q2y_1999",0.0253685940744631,0.00602360092369289
"Q3y_1999",0.0259634373445634,0.00663058419952975
"Q4y_1999",0.0244764946808123,0.00537951876590283
"Q1y_2000",0.0223774807159644,0.00696579750162137
"Q2y_2000",0.0222049006617233,0.00662744096690566
"Q3y_2000",0.0218508153988998,0.00656462132602458
"Q4y_2000",0.0228639325234062,0.00622983938590187
"Q1y_2001",0.0202640327555968,0.00670199823266005
"Q2y_2001",0.0201879199018613,0.00591749752128397
"Q3y_2001",0.0202421105820507,0.0049846669470133
"Q4y_2001",0.0198200770404915,0.00486980302405667
"Q1y_2002",0.0234947715190747,0.00341321305509199
"Q2y_2002",0.0199080100124162,0.00360376384674107
"Q3y_2002",0.0211799308763751,0.00396948362434047
"Q4y_2002",0.0190021717203841,0.00509773270794937
"Q1y_2003",0.0184010099436962,0.00523991928204009
"Q2y_2003",0.0189359117582716,0.00413218042458587
"Q3y_2003",0.0176550430281716,0.00543925167236931
"Q4y_2003",0.0254061988402255,0.00465376319029999
"Q1y_2004",0.0238683584177445,0.00582924084178215
"Q2y_2004",0.0211379487053012,0.00654737942963735
"Q3y_2004",0.0244786529011872,0.00546944510058368
"Q4y_2004",0.0229833784442523,0.00620193287716508
"Q1y_2005",0.0222606188183141,0.0059872511791517
"Q2y_2005",0.0219106716286174,0.00564354475181094
"Q3y_2005",0.0208221369081732,0.00554861079639561
"Q4y_2005",0.0192548848681443,0.00561227104616257
"Q1y_2006",0.0199831422460752,0.0049994710367914
"Q2y_2006",0.0190111964360933,0.00466022671915338
"Q3y_2006",0.0191889949577177,0.00388883419380845
"Q4y_2006",0.0169225829172440,0.0048953144860049
"Q1y_2007",0.0155881951149719,0.00556759761910669
"Q2y_2007",0.0138634455088918,0.00528897259957262
"Q3y_2007",0.0135652604473831,0.00514762508269935
"Q4y_2007",0.0130554460190467,0.00557552001001028
"Q1y_2008",0.0137166300900782,0.00552553225078609
"Q2y_2008",0.0142929254124678,0.00476387077506913
"Q3y_2008",0.0150779352331194,0.00434673605968804
"Q4y_2008",0.0195487400497867,0.00213618982479481
"Q1y_2009",0.0394376741021263,0.00158959759625413
"Q2y_2009",0.0407566802126322,0.000344513612060825
"Q3y_2009",0.0362733590565486,0.00222831323341970
"Q4y_2009",0.030564253516746,0.00404190592716173
"Q1y_2010",0.0275880207690526,0.00378514211352471
"Q2y_2010",0.0271859834295385,0.00405151042372255
"Q3y_2010",0.0257713971666309,0.00345147692500202
