"risk","expreturn"
"Q1y_1981",0.0598101670935174,0.00957246102719436
"Q2y_1981",0.0481621383098821,0.00837214181716669
"Q3y_1981",0.0517294184514782,0.00825452461484706
"Q4y_1981",0.0533104795061688,0.00658575053766409
"Q1y_1982",0.0637224503150273,0.00902404423248302
"Q2y_1982",0.0607592456892114,0.00822934933906369
"Q3y_1982",0.0586657679995513,0.0076627481879159
"Q4y_1982",0.059731279388458,0.00888096828561013
"Q1y_1983",0.05761800662286,0.00986044278125128
"Q2y_1983",0.0549276459309413,0.0102407405704285
"Q3y_1983",0.0508100664272957,0.0102090487335725
"Q4y_1983",0.0487766236606324,0.00995148802739851
"Q1y_1984",0.0445313937871627,0.00981104725490035
"Q2y_1984",0.0419971002073176,0.00954232598941604
"Q3y_1984",0.0406458817118681,0.00839488323014282
"Q4y_1984",0.0448383040881633,0.00934866554986647
"Q1y_1985",0.0426178490807357,0.00971910515003674
"Q2y_1985",0.0315193036948137,0.00694741750217374
"Q3y_1985",0.030377066790777,0.00724441861883269
"Q4y_1985",0.0294594193016688,0.0070980491071877
"Q1y_1986",0.0283130705725788,0.00764241761387695
"Q2y_1986",0.0297460298092225,0.00791916710239541
"Q3y_1986",0.0282994462501449,0.00795916174011401
"Q4y_1986",0.0251171975786256,0.00796223384449861
"Q1y_1987",0.0230420292887563,0.00802833361650915
"Q2y_1987",0.0222205708447215,0.0081249830482338
"Q3y_1987",0.0264293059309149,0.00799256095684163
"Q4y_1987",0.032190209420257,0.00797384785422221
"Q1y_1988",0.0307228859814761,0.00758434963881803
"Q2y_1988",0.031749726858843,0.00771416140857133
"Q3y_1988",0.0295517123992435,0.00766428551042614
"Q4y_1988",0.0269147383321284,0.00755695229527514
"Q1y_1989",0.0264337269402087,0.00765958247362478
"Q2y_1989",0.0250945568103932,0.00770969466455521
"Q3y_1989",0.0270098346399566,0.00805159145170494
"Q4y_1989",0.0269676635700648,0.00801426987162459
"Q1y_1990",0.0247154018217966,0.00804369353661433
"Q2y_1990",0.0257795886871924,0.00786157073978495
"Q3y_1990",0.0263060401604533,0.00786352538797377
"Q4y_1990",0.027649497856296,0.00796711867403448
"Q1y_1991",0.0234540752496314,0.00799591474780364
"Q2y_1991",0.0225471779447223,0.00796504316624834
"Q3y_1991",0.0217324627788672,0.00792391785768042
"Q4y_1991",0.0223322577849622,0.00813411334961385
"Q1y_1992",0.024236799828533,0.00815646516435428
"Q2y_1992",0.0237860575064076,0.00799946167638443
"Q3y_1992",0.0222930158602007,0.00807661143061048
"Q4y_1992",0.0210930555015795,0.0081377668937726
"Q1y_1993",0.0230222002277113,0.008057006683481
"Q2y_1993",0.0231859400795365,0.0081437796831251
"Q3y_1993",0.0238002045637934,0.00815925826136588
"Q4y_1993",0.0208739942831198,0.00809275525351222
"Q1y_1994",0.0238130209751467,0.00796748598145188
"Q2y_1994",0.0322867933886419,0.00866332795884391
