"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.490752998865627,0.193385370581575,0.166242441270412,0.149619189282387
"Q2y_1984",0.516931303819811,0.176901955093436,0.163017106614744,0.143149634472009
"Q3y_1984",0.430129761195496,0.189462579598631,0.144453808594646,0.235953850611227
"Q4y_1984",0.450011606106967,0.209849934653592,0.155532431101186,0.184606028138255
"Q1y_1985",0.432174835241656,0.214846568533734,0.162268430894487,0.190710165330124
"Q2y_1985",0.440105950446617,0.215799596050041,0.159006510398491,0.185087943104851
"Q3y_1985",0.41427062253092,0.210597832586242,0.149653287688401,0.225478257194437
"Q4y_1985",0.437868232662894,0.186779694354353,0.147599396005138,0.227752676977616
"Q1y_1986",0.47228845356776,0.185738027599961,0.141012503759228,0.200961015073051
"Q2y_1986",0.449953924630076,0.214145180465925,0.167161033626034,0.168739861277966
"Q3y_1986",0.458768668208305,0.213565287596846,0.159431555782803,0.168234488412045
"Q4y_1986",0.517445100894176,0.177673873594932,0.150832178337904,0.154048847172988
"Q1y_1987",0.539579269074768,0.173338981633655,0.140091447172234,0.146990302119344
"Q2y_1987",0.546004022503127,0.180336016831397,0.134685433866634,0.138974526798842
"Q3y_1987",0.491265223519848,0.202435886382146,0.149174629948163,0.157124260149843
"Q4y_1987",0.477390886854597,0.203697836820058,0.152518575951522,0.166392700373823
"Q1y_1988",0.639299528742118,0.107978098027167,0.109247184576075,0.143475188654640
"Q2y_1988",0.501247097348612,0.125821049969068,0.135087643731595,0.237844208950726
"Q3y_1988",0.476668488123478,0.126909106596845,0.132509069041345,0.263913336238332
"Q4y_1988",0.496190769206372,0.120920878036348,0.122981123137269,0.259907229620011
"Q1y_1989",0.487139529916807,0.118050644448356,0.122747751057405,0.272062074577432
"Q2y_1989",0.492277348827924,0.115138994288256,0.113696182205056,0.278887474678764
"Q3y_1989",0.516407594445746,0.112410244719682,0.100146436034367,0.271035724800204
"Q4y_1989",0.482703496895847,0.122879884076440,0.104526919026040,0.289889700001673
"Q1y_1990",0.517623560264159,0.110917632674017,0.0934490630426262,0.278009744019198
"Q2y_1990",0.519471886187798,0.113019445039151,0.0886298969967692,0.278878771776281
"Q3y_1990",0.516907328267690,0.108251042045522,0.094930788367026,0.279910841319762
"Q4y_1990",0.601053519986399,0.110759621297744,0.0695390227053506,0.218647836010506
"Q1y_1991",0.666427206005499,0.119571885306294,0.0644961443202692,0.149504764367938
"Q2y_1991",0.669902861617627,0.113074172517255,0.0673758706138533,0.149647095251265
"Q3y_1991",0.610425479366945,0.0941605720770165,0.0673584958342053,0.228055452721833
"Q4y_1991",0.622017505570011,0.0895607362035659,0.0653810659656544,0.223040692260769
"Q1y_1992",0.675289419065945,0.086319114577814,0.0647318361111943,0.173659630245047
"Q2y_1992",0.598479474160475,0.100387314661575,0.0766083647978771,0.224524846380074
"Q3y_1992",0.627493210538317,0.0916576071492491,0.0706648872563742,0.210184295056060
"Q4y_1992",0.640280943688512,0.0902631431281914,0.0675107697939373,0.201945143389359
"Q1y_1993",0.616256312760236,0.103650171927644,0.0781737190056915,0.201919796306429
"Q2y_1993",0.623509718655928,0.0948810886331634,0.0776801575306998,0.203929035180209
"Q3y_1993",0.667551746273235,0.092375039788554,0.0688003530296345,0.171272860908576
"Q4y_1993",0.661175410342039,0.0854754213526393,0.0722362577033834,0.181112910601938
"Q1y_1994",0.68138258566016,0.106732370389139,0.0638299866318253,0.148055057318875
"Q2y_1994",0.595796217123164,0.12417928871864,0.0930603118378426,0.186964182320354
"Q3y_1994",0.532420958031608,0.127456298564751,0.106696915470415,0.233425827933227
"Q4y_1994",0.552352076103147,0.14645907962011,0.122449960192715,0.178738884084028
"Q1y_1995",0.536606668447393,0.142857759520619,0.103903518729509,0.216632053302478
"Q2y_1995",0.507367097216022,0.153293218083902,0.107403803191550,0.231935881508525
"Q3y_1995",0.477143779020182,0.169707235515777,0.110167483572907,0.242981501891134
"Q4y_1995",0.503240722821947,0.174045352914912,0.0955869723746839,0.227126951888457
"Q1y_1996",0.501161090224395,0.19264399040165,0.0985044914537078,0.207690427920247
"Q2y_1996",0.436906313833106,0.257979551213035,0.107649295850929,0.197464839102930
"Q3y_1996",0.392561548783878,0.317732658973526,0.0960834120607997,0.193622380181796
"Q4y_1996",0.502394489003235,0.200852787836624,0.110701117920865,0.186051605239276
"Q1y_1997",0.524648362662817,0.185273527304017,0.121057834521007,0.16902027551216
"Q2y_1997",0.537745681319976,0.185678282039150,0.129540879417977,0.147035157222897
"Q3y_1997",0.521179320503013,0.168131703689297,0.11456019045025,0.196128785357440
"Q4y_1997",0.528590920955590,0.155046311032396,0.100292830525568,0.216069937486446
"Q1y_1998",0.603929384629380,0.164111186458689,0.104196027684359,0.127763401227572
"Q2y_1998",0.58426179567431,0.167812201387704,0.106048172834416,0.141877830103569
"Q3y_1998",0.594084457926288,0.154882499446125,0.114176389711531,0.136856652916057
"Q4y_1998",0.6939103648323,0.108455260214209,0.0800077772490913,0.117626597704400
"Q1y_1999",0.687091079819719,0.128408557521873,0.0964831478050018,0.0880172148534066
"Q2y_1999",0.597275397209148,0.155192339471443,0.131878153305078,0.115654110014331
"Q3y_1999",0.595438936036532,0.171729961977013,0.130250428935341,0.102580673051113
"Q4y_1999",0.594578407710903,0.156031905017060,0.138748978618533,0.110640708653504
"Q1y_2000",0.58412721395858,0.160887409861793,0.141428606400829,0.113556769778798
"Q2y_2000",0.60909628212222,0.151021545034944,0.118409529699723,0.121472643143114
"Q3y_2000",0.615237578474048,0.144401531102892,0.115299660856797,0.125061229566263
"Q4y_2000",0.645141561002711,0.141067130884467,0.118035391394914,0.0957559167179083
