"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0,0.104376042075825,0.494872203000487,0.400751754923689
"Q2y_1981",0.204280079881532,0.364116089503853,0.216698359625027,0.214905470989587
"Q3y_1981",0.214315184255587,0.368088475230017,0.214931092679902,0.202665247834494
"Q4y_1981",0.23114526197511,0.353904867625631,0.212642003736098,0.202307866663161
"Q1y_1982",0.159992159237158,0.376655390194039,0.242596964390983,0.220755486177821
"Q2y_1982",0.171994621998137,0.364178734396086,0.244014124008931,0.219812519596845
"Q3y_1982",0,0.5,0.5,0
"Q4y_1982",0.177290649943519,0.361753241360112,0.243305766109328,0.21765034258704
"Q1y_1983",0.180438623782179,0.362208131339783,0.237796925736385,0.219556319141653
"Q2y_1983",0.167064674015048,0.35328803018218,0.35328803018218,0.126359265620592
"Q3y_1983",0.216015576817902,0.339339611443283,0.228285024772636,0.216359786966178
"Q4y_1983",0.214967579912181,0.303954183497571,0.278361917834513,0.202716318755735
"Q1y_1984",0.333333333333333,0.333333333333333,0.333333333333333,0
"Q2y_1984",0.220910258530304,0.316764868139335,0.277277033488374,0.185047839841987
"Q3y_1984",0.22842469568654,0.31152041529108,0.273820270667666,0.186234618354714
"Q4y_1984",0.23331377437612,0.317577290225664,0.265986777374567,0.18312215802365
"Q1y_1985",0.333333333333333,0.333333333333333,0.333333333333333,0
"Q2y_1985",0.235617112414063,0.295085291828725,0.286740346798658,0.182557248958555
"Q3y_1985",0.236785766490375,0.289819878957029,0.304895994113152,0.168498360439444
"Q4y_1985",0.267255914416064,0.309309032094567,0.242280157422962,0.181154896066408
"Q1y_1986",0.48179342266531,0.48179342266531,0,0.0364131546693803
"Q2y_1986",0.269611951997033,0.298729821984716,0.261791483173971,0.16986674284428
"Q3y_1986",0.270249366854782,0.293510264579976,0.271215288648285,0.165025079916957
"Q4y_1986",0.0830332177204757,0.458483391139762,0.458483391139762,0
"Q1y_1987",0.281242841298512,0.272853378138368,0.274973515296785,0.170930265266335
"Q2y_1987",0.284152321491439,0.252371355826957,0.293253020273743,0.17022330240786
"Q3y_1987",0.285321787466455,0.255262180325148,0.286534610471913,0.172881421736484
"Q4y_1987",0.320145692256545,0.243753141717666,0.272489494176471,0.163611671849318
"Q1y_1988",0.361233431978923,0.246976722907276,0.193280600013052,0.198509245100749
"Q2y_1988",0.460177039996876,0.0796459200062479,0,0.460177039996876
"Q3y_1988",0.155171502265916,0.646193952734248,0.198634544999836,0
"Q4y_1988",0.368309812571154,0.222322531646836,0.226763482695043,0.182604173086967
"Q1y_1989",0.318145384309956,0.238965158064959,0.25470309732778,0.188186360297305
"Q2y_1989",0.340205811833313,0.236969312619181,0.225942948542672,0.196881927004834
"Q3y_1989",0.339419233955709,0.235183994967374,0.226745075893883,0.198651695183034
"Q4y_1989",0.412148658088696,0.208251982700953,0.208350120407765,0.171249238802585
"Q1y_1990",0.424384880366386,0.203326361725689,0.20251634390924,0.169772413998685
"Q2y_1990",0.432997648027887,0.196589470084245,0.199373040845338,0.17103984104253
"Q3y_1990",0.436627233626717,0.194689943971169,0.199134323815716,0.169548498586398
"Q4y_1990",0.461457779992958,0.181790403353132,0.183584031339182,0.173167785314728
"Q1y_1991",0.488953082106561,0.174823445660856,0.17734766588843,0.158875806344153
"Q2y_1991",0.507714947406984,0.181742495908945,0.157655908539941,0.15288664814413
"Q3y_1991",0.51258344451764,0.170401292625851,0.170660936910886,0.146354325945624
"Q4y_1991",0.508093532550474,0.163355468467432,0.189114614257852,0.139436384724242
"Q1y_1992",0.507119915550244,0.162930552146775,0.193964855217905,0.135984677085077
"Q2y_1992",0.499248325740141,0.166551751458597,0.190911720382125,0.143288202419136
"Q3y_1992",0.507212877879864,0.15995374355489,0.195576223487077,0.137257155078168
"Q4y_1992",0.504420488110376,0.148179847813616,0.185477542311819,0.161922121764189
"Q1y_1993",0.485032410733806,0.150877042904126,0.199022693837956,0.165067852524112
"Q2y_1993",0.501336208722995,0.152643872141718,0.159379696565249,0.186640222570039
"Q3y_1993",0.529510017871749,0.151615155287574,0.162515264711663,0.156359562129015
"Q4y_1993",0.5252803821119,0.141533958416505,0.163641055594021,0.169544603877574
"Q1y_1994",0.545143149952803,0.155890667103131,0.162497024902091,0.136469158041975
"Q2y_1994",0.473239790540202,0.185547582723525,0.18886774221733,0.152344884518943
"Q3y_1994",0.456724620474677,0.177975899430532,0.196124187311185,0.169175292783606
"Q4y_1994",0.459937709431924,0.182369649900039,0.2095616227852,0.148131017882837
"Q1y_1995",0.485655916077691,0.181290133411924,0.17644672385377,0.156607226656615
"Q2y_1995",0.471490239782535,0.176815405973613,0.187669736987069,0.164024617256784
"Q3y_1995",0.422870385117493,0.220761773386958,0.193232434280806,0.163135407214743
"Q4y_1995",0.418548027112782,0.217986816429926,0.196132066339548,0.167333090117744
"Q1y_1996",0.457790916365405,0.237072701580486,0.182685336457927,0.122451045596181
"Q2y_1996",0.412496401630136,0.269684251853957,0.194891292274845,0.122928054241062
"Q3y_1996",0.371001522254227,0.338757743006668,0.177830078617532,0.112410656121573
"Q4y_1996",0.442070088965254,0.223635965910984,0.203730746939692,0.13056319818407
"Q1y_1997",0,0,1,0
"Q2y_1997",0.475103301899425,0.204516772707505,0.188637409305977,0.131742516087093
"Q3y_1997",0.496504065244396,0.192089220388331,0.183438749788354,0.12796796457892
"Q4y_1997",0.500385067059029,0.172729002589373,0.175874897547934,0.151011032803664
"Q1y_1998",0.527513580995023,0.174426686590374,0.193705031372569,0.104354701042034
"Q2y_1998",0.530014676621543,0.166847333122924,0.196398130031759,0.106739860223774
"Q3y_1998",0.547470968644898,0.164778853002708,0.181045987613908,0.106704190738486
"Q4y_1998",0.597591954505297,0.115389612931952,0.191371483498539,0.0956469490642118
"Q1y_1999",0.611672197706512,0.117504808180084,0.18835932517214,0.082463668941264
"Q2y_1999",0.579218066262513,0.137502254993821,0.203089451859238,0.0801902268844278
"Q3y_1999",0.571037956709577,0.151926268333966,0.18355192648769,0.0934838484687669
"Q4y_1999",0,1,0,0
"Q1y_2000",0.562955112803434,0.148641142237897,0.180453180901158,0.107950564057511
"Q2y_2000",0.563135915775745,0.136608074141408,0.191040457627665,0.109215552455182
"Q3y_2000",0.566279992602348,0.143666495461639,0.190436035657853,0.0996174762781605
"Q4y_2000",0.607161805181993,0.143814178534815,0.164747596317012,0.0842764199661799
"Q1y_2001",0.612208367235661,0.137271282927836,0.156559848213323,0.0939605016231799
"Q2y_2001",0.614250112180695,0.112207087207725,0.176935737651309,0.0966070629602703
"Q3y_2001",0.623271938488205,0.115926574190759,0.168707370998927,0.09209411632211
"Q4y_2001",0.64164737623692,0.110680390158516,0.164417437948657,0.0832547956559075
"Q1y_2002",0.586949110728298,0.128091311302035,0.185295720034912,0.0996638579347552
"Q2y_2002",0.569184181600594,0.141330145620628,0.194364458347808,0.0951212144309698
"Q3y_2002",0.568585215038222,0.124211945954315,0.204477360016792,0.102725478990671
"Q4y_2002",0.60146771976422,0.106631590249551,0.175466121818325,0.116434568167904
"Q1y_2003",0.595830429445821,0.106740492999392,0.182591452925802,0.114837624628985
"Q2y_2003",0,0,0,1
"Q3y_2003",0.618281518008036,0.118317105103197,0.187250173813802,0.076151203074966
"Q4y_2003",0.51574348169295,0.149713847046721,0.228459941307622,0.106082729952706
"Q1y_2004",0.508256771988662,0.15123115277595,0.223667084488496,0.116844990746892
"Q2y_2004",0.519413044707097,0.155444462875636,0.2026752376821,0.122467254735167
"Q3y_2004",0,1,0,0
"Q4y_2004",0.531273464657685,0.188697084500836,0.16928651195292,0.11074293888856
"Q1y_2005",0.52977972223995,0.190760279403689,0.185440004551884,0.0940199938044776
"Q2y_2005",0.53873470707855,0.193952926712323,0.167632633428351,0.0996797327807766
"Q3y_2005",0.540144940463923,0.190916002421384,0.17442151906944,0.0945175380452521
"Q4y_2005",0.529178238260264,0.204588336676462,0.175107006480143,0.0911264185831307
"Q1y_2006",0.528069110217825,0.203498823812145,0.181515901534861,0.0869161644351689
"Q2y_2006",0.521191411513956,0.222956921234619,0.173610025788288,0.0822416414631372
"Q3y_2006",0,0.5,0.5,0
"Q4y_2006",0.527411455042359,0.225723359020826,0.172920260031204,0.073944925905611
