"Bond","SP500","EAFE","SPGSCI"
"Q1y_1984",0.490753047063187,0.193385369919013,0.166242348266236,0.149619234751563
"Q2y_1984",0.516939055094202,0.176893212021321,0.163023199105433,0.143144533779045
"Q3y_1984",0.430129754883997,0.189462644574285,0.144453746795103,0.235953853746614
"Q4y_1984",0.450037340742635,0.209844336226481,0.155499267720053,0.184619055310831
"Q1y_1985",0.432178550220575,0.214845677821596,0.162262154699078,0.190713617258751
"Q2y_1985",0.440123548549052,0.215794939877567,0.158982100125477,0.185099411447905
"Q3y_1985",0.414299022148706,0.210590178780445,0.14961078273065,0.225500016340199
"Q4y_1985",0.437873651303304,0.186785176535752,0.147590162095963,0.227751010064981
"Q1y_1986",0.472303455425043,0.185719394045576,0.141018346753710,0.200958803775671
"Q2y_1986",0.449953952632373,0.214145121436760,0.16716105945862,0.168739866472247
"Q3y_1986",0.458776015165578,0.21356228302377,0.159430117032399,0.168231584778253
"Q4y_1986",0.517476128641898,0.177651184058937,0.150810147266058,0.154062540033107
"Q1y_1987",0.539595800756352,0.173332106193303,0.140078805537389,0.146993287512956
"Q2y_1987",0.546023736550967,0.180317334298780,0.134673853428900,0.138985075721352
"Q3y_1987",0.491265802368954,0.202434945727994,0.149174549562774,0.157124702340278
"Q4y_1987",0.477395452652849,0.203689293556171,0.152521059686372,0.166394194104608
"Q1y_1988",0.639307010339109,0.107987542856875,0.109234976183426,0.143470470620590
"Q2y_1988",0.501258106230672,0.125822816131487,0.135060936223889,0.237858141413951
"Q3y_1988",0.476682754715491,0.126886900587428,0.132519880148922,0.263910464548159
"Q4y_1988",0.496212397158037,0.120931113026478,0.122981699132686,0.259874790682800
"Q1y_1989",0.487123009368330,0.118068095299472,0.122730936665617,0.272077958666581
"Q2y_1989",0.492294460174784,0.115139671490846,0.113678406977205,0.278887461357164
"Q3y_1989",0.516400245695226,0.112411069981214,0.100147584705261,0.271041099618299
"Q4y_1989",0.482718551665337,0.122855469608703,0.104537014896605,0.289888963829356
"Q1y_1990",0.517663225954464,0.110890604552998,0.0934368743728464,0.278009295119692
"Q2y_1990",0.519510850844892,0.113010383273276,0.088605317806968,0.278873448074863
"Q3y_1990",0.516907494931236,0.108251017765783,0.0949306203862436,0.279910866916737
"Q4y_1990",0.601053711297915,0.110781594173301,0.0695072493369239,0.218657445191860
"Q1y_1991",0.66646494880237,0.119574688187805,0.064459606526188,0.149500756483637
"Q2y_1991",0.669918711885551,0.113084719085362,0.0673800541539213,0.149616514875165
"Q3y_1991",0.610457515296046,0.0941730357367417,0.067310756224752,0.22805869274246
"Q4y_1991",0.622003355211805,0.0895523481163361,0.0653929341970901,0.223051362474769
"Q1y_1992",0.675300028510656,0.0863337916821839,0.064713415936219,0.173652763870942
"Q2y_1992",0.598479465795315,0.100387327451722,0.0766083672488475,0.224524839504116
"Q3y_1992",0.627501566330655,0.0916389915964483,0.0706724642230643,0.210186977849833
"Q4y_1992",0.640289149318974,0.0902549417465501,0.0675162185651154,0.201939690369361
"Q1y_1993",0.616256519068632,0.103650406022416,0.0781728041137928,0.201920270795158
"Q2y_1993",0.623523544635904,0.094889211363349,0.0776496583267354,0.203937585674012
"Q3y_1993",0.667568534855598,0.0923743793687642,0.06878455168531,0.171272534090328
"Q4y_1993",0.661167542099645,0.0854778617371446,0.0722385581874432,0.181116037975767
"Q1y_1994",0.681386711101294,0.106737033532571,0.0638168786011303,0.148059376765005
"Q2y_1994",0.59580920255097,0.124168548101245,0.0930642888859977,0.186957960461787
"Q3y_1994",0.532429426349076,0.127453939176236,0.106696046984926,0.233420587489762
"Q4y_1994",0.552351473629424,0.146459884190282,0.122450501861900,0.178738140318394
"Q1y_1995",0.536606103695425,0.142858218702925,0.103903871172178,0.216631806429472
"Q2y_1995",0.507395725822023,0.153259952603375,0.107406660056284,0.231937661518318
"Q3y_1995",0.477153717799575,0.169700570144080,0.110161272295479,0.242984439760866
"Q4y_1995",0.503272027827689,0.174007564782221,0.0955908260454115,0.227129581344678
"Q1y_1996",0.501189138837486,0.192632350925793,0.098498198488195,0.207680311748526
"Q2y_1996",0.436920155142564,0.257991832120748,0.107617278743431,0.197470733993257
"Q3y_1996",0.392563022711048,0.317746181665335,0.096063167843345,0.193627627780273
"Q4y_1996",0.502412039743182,0.200863608491042,0.110669438127006,0.186054913638771
"Q1y_1997",0.524661957281973,0.185279953773073,0.121033623549734,0.169024465395220
"Q2y_1997",0.537765569004544,0.185677811722815,0.129530636398910,0.147025982873731
"Q3y_1997",0.521188875799783,0.168128410314801,0.114552071751175,0.196130642134241
"Q4y_1997",0.528618903938211,0.155060971782460,0.100249598662419,0.216070525616911
"Q1y_1998",0.603946405581253,0.164098696100961,0.104190429685827,0.127764468631958
"Q2y_1998",0.584311844072013,0.167772358246638,0.106038445179415,0.141877352501934
"Q3y_1998",0.594118535725313,0.154882983194552,0.114147396824162,0.136851084255972
"Q4y_1998",0.693977926695694,0.108377735194854,0.080022813109452,0.117621525000001
"Q1y_1999",0.687104022562609,0.128407756618387,0.096475623777679,0.0880125970413257
"Q2y_1999",0.597291512025053,0.155193847911815,0.131865479206172,0.115649160856961
"Q3y_1999",0.595476880519252,0.171724237706288,0.130269603208203,0.102529278566258
"Q4y_1999",0.59459583175481,0.156015691015440,0.138746021507714,0.110642455722036
"Q1y_2000",0.58414315963108,0.160885390498872,0.141433760133444,0.113537689736603
"Q2y_2000",0.609127602457075,0.151035012185243,0.118351659259339,0.121485726098342
"Q3y_2000",0.61524325584011,0.144399865588230,0.115301102485519,0.125055776086141
"Q4y_2000",0.645154704305394,0.141073797443563,0.118021778715766,0.0957497195352765
"Q1y_2001",0.670685401990919,0.117201090480926,0.106601119139299,0.105512388388857
"Q2y_2001",0.703169884841056,0.096418307949355,0.0878068678437705,0.112604939365819
"Q3y_2001",0.69858629080966,0.098284721031045,0.0896553233312017,0.113473664828094
"Q4y_2001",0.725883495301191,0.0853399787640383,0.0869404522513816,0.101836073683389
